function	file	line	col	source	char	type	optimization
print_ta	tools/ta.c	124	22	 printf("\t\t%s,\n", (ta->flags & BR_X509_TA_CA)	(	mmem	O0-fprofile-generate|O0-fprofile-instr-generate
p256_mulgen	src/ec/ec_p256_m15.c	1932	10	   xy[u] |= m & Gwin[k][u];	|	mmem	O1--disable-peephole|Os--disable-peephole|Oz--disable-peephole
br_i15_modpow_opt	src/int/i15_modpow2.c	141	12	     t2[v] |= mask & base[v];	|	mmem	O1--disable-peephole|O1--fast-isel|O1-fcs-profile-generate|O2--disable-peephole|O2-fcs-profile-generate|O3--disable-peephole|O3-fcs-profile-generate|Ofast--disable-peephole|Ofast-fcs-profile-generate|Os--disable-peephole|Os-fcs-profile-generate|Oz--disable-peephole|Oz--fast-isel|Oz-fcs-profile-generate
p256_mulgen	src/ec/ec_p256_m31.c	1281	10	   xy[u] |= m & Gwin[k][u];	|	mmem	O1--disable-peephole|Os--disable-peephole|Oz--disable-peephole
br_i31_modpow_opt	src/int/i31_modpow2.c	141	12	     t2[v] |= mask & base[v];	|	mmem	O1--disable-peephole|O2--disable-peephole|O3--disable-peephole|Ofast--disable-peephole|Os--disable-peephole|Oz--disable-peephole
mul_f256	src/ec/ec_p256_m31.c	488	7	 d[7] -= c << 14;	-	mmem	O1--disable-peephole|Os--disable-peephole|Oz--disable-peephole
square_f256	src/ec/ec_p256_m15.c	1227	8	 t[17] -= cc << 3;	-	mmem	O1--disable-peephole|O2--disable-peephole|O3--disable-peephole|Ofast--disable-peephole|Os--disable-peephole|Oz--disable-peephole
square_f256	src/ec/ec_p256_m31.c	600	7	 d[7] -= c << 14;	-	mmem	O1--disable-peephole|Os--disable-peephole|Oz--disable-peephole
mul_f256	src/ec/ec_p256_m15.c	1138	8	 t[17] -= cc << 3;	-	mmem	O1--disable-peephole|O2--disable-peephole|O3--disable-peephole|Ofast--disable-peephole|Os--disable-peephole|Oz--disable-peephole
decode_key	tools/keys.c	71	41	  sk->key.rsa.dq = xblobdup(rk->dq, rk->dqlen);	d	mmem	O1--fast-isel|O3--fast-isel|Ofast--fast-isel
decode_key	tools/keys.c	65	39	  sk->key.rsa.p = xblobdup(rk->p, rk->plen);	p	mmem	O1--fast-isel|O3--fast-isel|Ofast--fast-isel
certificate_to_trust_anchor_inner	tools/certs.c	74	57	  ta->pkey.key.ec.q = xblobdup(pk->key.ec.q, pk->key.ec.qlen);	q	mmem	O1--fast-isel
decode_key	tools/keys.c	73	41	  sk->key.rsa.iq = xblobdup(rk->iq, rk->iqlen);	i	mmem	O1--fast-isel|O3--fast-isel|Ofast--fast-isel
decode_key	tools/keys.c	69	41	  sk->key.rsa.dp = xblobdup(rk->dp, rk->dplen);	d	mmem	O1--fast-isel|O3--fast-isel|Ofast--fast-isel
certificate_to_trust_anchor_inner	tools/certs.c	74	43	  ta->pkey.key.ec.q = xblobdup(pk->key.ec.q, pk->key.ec.qlen);	q	mmem	O1--fast-isel
decode_key	tools/keys.c	82	38	  sk->key.ec.x = xblobdup(ek->x, ek->xlen);	x	mmem	O1--fast-isel|O3--fast-isel|Ofast--fast-isel
certificate_to_trust_anchor_inner	tools/certs.c	66	60	  ta->pkey.key.rsa.n = xblobdup(pk->key.rsa.n, pk->key.rsa.nlen);	n	mmem	O1--fast-isel
decode_key	tools/keys.c	67	39	  sk->key.rsa.q = xblobdup(rk->q, rk->qlen);	q	mmem	O1--fast-isel|O3--fast-isel|Ofast--fast-isel
