function	file	line	col	source	char	type	optimization
decode_key	tools/keys.c	82	38	  sk->key.ec.x = xblobdup(ek->x, ek->xlen);	x	mmem	O1--disable-cgp|O1--disable-complex-addr-modes|O1--enable-mem-prof|O1--fast-isel|O1-fmemory-profile|O3--disable-cgp|O3--disable-complex-addr-modes|O3--enable-mem-prof|O3--fast-isel|O3-fmemory-profile|Ofast--disable-cgp|Ofast--disable-complex-addr-modes|Ofast--enable-mem-prof|Ofast--fast-isel|Ofast-fmemory-profile
decode_key	tools/keys.c	65	39	  sk->key.rsa.p = xblobdup(rk->p, rk->plen);	p	mmem	O1--disable-cgp|O1--disable-complex-addr-modes|O1--enable-mem-prof|O1--fast-isel|O1-fmemory-profile|O3--disable-cgp|O3--disable-complex-addr-modes|O3--enable-mem-prof|O3--fast-isel|O3-fmemory-profile|Ofast--disable-cgp|Ofast--disable-complex-addr-modes|Ofast--enable-mem-prof|Ofast--fast-isel|Ofast-fmemory-profile
certificate_to_trust_anchor_inner	tools/certs.c	68	45	  ta->pkey.key.rsa.e = xblobdup(pk->key.rsa.e, pk->key.rsa.elen);	e	mmem	O1--disable-cgp|O1--disable-complex-addr-modes|O1--enable-mem-prof|O1--fast-isel|O1-fmemory-profile
certificate_to_trust_anchor_inner	tools/certs.c	66	60	  ta->pkey.key.rsa.n = xblobdup(pk->key.rsa.n, pk->key.rsa.nlen);	n	mmem	O1--disable-cgp|O1--disable-complex-addr-modes|O1--enable-mem-prof|O1--fast-isel|O1-fmemory-profile
certificate_to_trust_anchor_inner	tools/certs.c	68	60	  ta->pkey.key.rsa.e = xblobdup(pk->key.rsa.e, pk->key.rsa.elen);	e	mmem	O1--disable-cgp|O1--disable-complex-addr-modes|O1--enable-mem-prof|O1--fast-isel|O1-fmemory-profile
decode_key	tools/keys.c	67	39	  sk->key.rsa.q = xblobdup(rk->q, rk->qlen);	q	mmem	O1--disable-cgp|O1--disable-complex-addr-modes|O1--enable-mem-prof|O1--fast-isel|O1-fmemory-profile|O3--disable-cgp|O3--disable-complex-addr-modes|O3--enable-mem-prof|O3--fast-isel|O3-fmemory-profile|Ofast--disable-cgp|Ofast--disable-complex-addr-modes|Ofast--enable-mem-prof|Ofast--fast-isel|Ofast-fmemory-profile
certificate_to_trust_anchor_inner	tools/certs.c	74	43	  ta->pkey.key.ec.q = xblobdup(pk->key.ec.q, pk->key.ec.qlen);	q	mmem	O1--disable-cgp|O1--disable-complex-addr-modes|O1--enable-mem-prof|O1--fast-isel|O1-fmemory-profile
decode_key	tools/keys.c	73	41	  sk->key.rsa.iq = xblobdup(rk->iq, rk->iqlen);	i	mmem	O1--disable-cgp|O1--disable-complex-addr-modes|O1--fast-isel|O3--disable-cgp|O3--disable-complex-addr-modes|O3--fast-isel|Ofast--disable-cgp|Ofast--disable-complex-addr-modes|Ofast--fast-isel
decode_key	tools/keys.c	69	41	  sk->key.rsa.dp = xblobdup(rk->dp, rk->dplen);	d	mmem	O1--disable-cgp|O1--disable-complex-addr-modes|O1--fast-isel|O3--disable-cgp|O3--disable-complex-addr-modes|O3--fast-isel|Ofast--disable-cgp|Ofast--disable-complex-addr-modes|Ofast--fast-isel
certificate_to_trust_anchor_inner	tools/certs.c	74	57	  ta->pkey.key.ec.q = xblobdup(pk->key.ec.q, pk->key.ec.qlen);	q	mmem	O1--disable-cgp|O1--disable-complex-addr-modes|O1--enable-mem-prof|O1--fast-isel|O1-fmemory-profile
decode_key	tools/keys.c	71	41	  sk->key.rsa.dq = xblobdup(rk->dq, rk->dqlen);	d	mmem	O1--disable-cgp|O1--disable-complex-addr-modes|O1--fast-isel|O3--disable-cgp|O3--disable-complex-addr-modes|O3--fast-isel|Ofast--disable-cgp|Ofast--disable-complex-addr-modes|Ofast--fast-isel
br_i62_modpow_opt	src/int/i62_modpow2.c	438	26	   x[u] = (mask1 & x[u]) | (mask2 & t1[u]);	|	cjump	O1--enable-mem-prof|O1--fast-isel|O1-fmemory-profile|O2--enable-mem-prof|O2--fast-isel|O2-fmemory-profile|O3--enable-mem-prof|O3--fast-isel|O3-fmemory-profile|Ofast--enable-mem-prof|Ofast--fast-isel|Ofast-fmemory-profile|Os--enable-mem-prof|Os--fast-isel|Os-fmemory-profile|Oz--enable-mem-prof|Oz--fast-isel|Oz-fmemory-profile
decode_key	tools/keys.c	67	32	  sk->key.rsa.q = xblobdup(rk->q, rk->qlen);	q	mmem	O1--enable-mem-prof|O1--fast-isel|O1-fmemory-profile|O3--enable-mem-prof|O3--fast-isel|O3-fmemory-profile|Ofast--enable-mem-prof|Ofast--fast-isel|Ofast-fmemory-profile
br_rsa_i15_public	src/rsa/rsa_i15_pub.c	62	2	 while (z > 0) {	w	mdiv	O1--fast-isel|O2--fast-isel|O3--fast-isel|Ofast--fast-isel|Os--fast-isel
