function	file	line	col	source	char	type	optimization
_sodium_escrypt_gensalt_r	crypto_pwhash/scryptsalsa208sha256/crypto_scrypt-common.c	209	22	    size_t saltlen = BYTES2CHARS(srclen);	B	mdiv	O1--aarch64-stress-promote-const|O1--fast-isel|O2--aarch64-stress-promote-const|O2--fast-isel|O3--aarch64-stress-promote-const|O3--fast-isel|Ofast--aarch64-stress-promote-const|Ofast--fast-isel|Os--aarch64-stress-promote-const|Os--fast-isel
sodium_bin2base64	sodium/codecs.c	210	13	            while (acc_len >= 6) {	w	mdiv	O1--aarch64-stress-promote-const|O1--fast-isel|O2--aarch64-stress-promote-const|O2--fast-isel|O3--aarch64-stress-promote-const|O3--fast-isel|Ofast--aarch64-stress-promote-const|Ofast--fast-isel
sodium_bin2base64	sodium/codecs.c	193	23	    nibbles = bin_len / 3;	/	mdiv	O1--aarch64-stress-promote-const|O1--fast-isel|O2--aarch64-stress-promote-const|O2--fast-isel|O3--aarch64-stress-promote-const|O3--fast-isel|Ofast--aarch64-stress-promote-const|Ofast--fast-isel|Os--aarch64-stress-promote-const|Os--fast-isel
sodium_base64_encoded_len	sodium/codecs.c	176	12	    return sodium_base64_ENCODED_LEN(bin_len, variant);	s	mdiv	O1--aarch64-stress-promote-const|O1--fast-isel|O2--aarch64-stress-promote-const|O2--fast-isel|O3--aarch64-stress-promote-const|O3--fast-isel|Ofast--aarch64-stress-promote-const|Ofast--fast-isel|Os--aarch64-stress-promote-const|Os--fast-isel
_sodium_argon2_encode_string	crypto_pwhash/argon2/argon2-encoding.c	222	11	        x /= (uint32_t) 10U;	/	mdiv	O1--aarch64-stress-promote-const|O1--fast-isel|O2--aarch64-stress-promote-const|O2--fast-isel|O3--aarch64-stress-promote-const|O3--fast-isel|Ofast--aarch64-stress-promote-const|Ofast--fast-isel
u32_to_string	crypto_pwhash/argon2/argon2-encoding.c	222	11	        x /= (uint32_t) 10U;	/	mdiv	O1--aarch64-stress-promote-const|O1--fast-isel|O2--aarch64-stress-promote-const|O2--fast-isel|O2--unroll-force-peel-count=100|O2--unroll-force-peel-count=50|O3--aarch64-stress-promote-const|O3--fast-isel|O3--unroll-force-peel-count=100|O3--unroll-force-peel-count=50|Ofast--aarch64-stress-promote-const|Ofast--fast-isel|Ofast--unroll-force-peel-count=100|Ofast--unroll-force-peel-count=50|Os--aarch64-stress-promote-const|Os--fast-isel|Os--unroll-force-peel-count=100|Os--unroll-force-peel-count=50
sodium_bin2base64	sodium/codecs.c	222	13	            while (acc_len >= 6) {	w	mdiv	O1--aarch64-stress-promote-const|O1--fast-isel|O2--aarch64-stress-promote-const|O2--fast-isel|O3--aarch64-stress-promote-const|O3--fast-isel|Ofast--aarch64-stress-promote-const|Ofast--fast-isel
_sodium_argon2_initialize	crypto_pwhash/argon2/argon2-core.c	87	36	    if (m_cost == 0 || memory_size / m_cost != sizeof(block)) {	/	mdiv	O1--instcombine-max-iterations=0
_sodium_ge25519_double_scalarmult_vartime	crypto_core/ed25519/ref10/ed25519_ref10.c	846	58	            ge25519_sub_precomp(&t, &u, &Bi[(-bslide[i]) / 2]);	/	mdiv	O1--aarch64-enable-global-isel-at-O=100|O1--aarch64-enable-global-isel-at-O=50|O1--aarch64-stress-promote-const|O1-fglobal-isel|Oz--enable-knowledge-retention|Oz--enable-module-inliner
_sodium_ge25519_double_scalarmult_vartime	crypto_core/ed25519/ref10/ed25519_ref10.c	835	54	            ge25519_add_cached(&t, &u, &Ai[aslide[i] / 2]);	/	mdiv	O1--aarch64-enable-global-isel-at-O=100|O1--aarch64-enable-global-isel-at-O=50|O1--aarch64-stress-promote-const|O1-fglobal-isel
_sodium_ge25519_double_scalarmult_vartime	crypto_core/ed25519/ref10/ed25519_ref10.c	843	55	            ge25519_add_precomp(&t, &u, &Bi[bslide[i] / 2]);	/	mdiv	O1--aarch64-enable-global-isel-at-O=100|O1--aarch64-enable-global-isel-at-O=50|O1--aarch64-stress-promote-const|O1-fglobal-isel
_sodium_ge25519_double_scalarmult_vartime	crypto_core/ed25519/ref10/ed25519_ref10.c	838	57	            ge25519_sub_cached(&t, &u, &Ai[(-aslide[i]) / 2]);	/	mdiv	O1--aarch64-enable-global-isel-at-O=100|O1--aarch64-enable-global-isel-at-O=50|O1--aarch64-stress-promote-const|O1-fglobal-isel|Oz--enable-knowledge-retention|Oz--enable-module-inliner
_sodium_argon2_fill_segment_ref	crypto_pwhash/argon2/argon2-fill-block-ref.c	200	26	        start_position = (position->slice == ARGON2_SYNC_POINTS - 1)	(	cjump	O1-fprofile-arcs|O1-fpseudo-probe-for-profiling
pickparams	crypto_pwhash/scryptsalsa208sha256/pwhash_scryptsalsa208sha256.c	50	32	        *p = (uint32_t)(maxrp) / *r;	/	mdiv	O1--inline-threshold=50|O1-finline-hint-functions|O1-finstrument-functions|O1-fno-inline|O1-fno-inline-functions|O2--inline-threshold=50|O2-finline-hint-functions|O2-finstrument-functions|O2-fno-inline|O2-fno-inline-functions
pickparams	crypto_pwhash/scryptsalsa208sha256/pwhash_scryptsalsa208sha256.c	31	25	        maxN = opslimit / (*r * 4);	/	mdiv	O1--inline-threshold=50|O1-finline-hint-functions|O1-finstrument-functions|O1-fno-inline|O1-fno-inline-functions|O2--inline-threshold=50|O2-finline-hint-functions|O2-finstrument-functions|O2-fno-inline|O2-fno-inline-functions
fill_block_with_xor	crypto_pwhash/argon2/argon2-fill-block-ref.c	69	21	    return (x >> b) | (x << (64 - b));	|	cjump	O2--force-vector-interleave=100|O2--force-vector-interleave=50|O2--force-vector-width=100|O2--force-vector-width=50|O3--force-vector-interleave=100|O3--force-vector-interleave=50|O3--force-vector-width=100|O3--force-vector-width=50|Ofast--force-vector-interleave=100|Ofast--force-vector-interleave=50|Ofast--force-vector-width=100|Ofast--force-vector-width=50
fill_block_with_xor	crypto_pwhash/argon2/argon2-fill-block-ref.c	12	18	    return x + y + 2 * xy;	+	cjump	O2--force-vector-width=100|O2--force-vector-width=50|O3--force-vector-width=100|O3--force-vector-width=50|Ofast--force-vector-width=100|Ofast--force-vector-width=50
_sodium_argon2_fill_segment_ref	crypto_pwhash/argon2/argon2-fill-block-ref.c	12	18	    return x + y + 2 * xy;	+	cjump	O2--force-vector-width=100|O2--force-vector-width=50|O3--force-vector-width=100|O3--force-vector-width=50|Ofast--force-vector-width=100|Ofast--force-vector-width=50
_sodium_argon2_fill_segment_ref	crypto_pwhash/argon2/argon2-fill-block-ref.c	69	21	    return (x >> b) | (x << (64 - b));	|	cjump	O2--force-vector-interleave=100|O2--force-vector-interleave=50|O2--force-vector-width=100|O2--force-vector-width=50|O3--force-vector-interleave=100|O3--force-vector-interleave=50|O3--force-vector-width=100|O3--force-vector-width=50|Ofast--force-vector-interleave=100|Ofast--force-vector-interleave=50|Ofast--force-vector-width=100|Ofast--force-vector-width=50
_sodium_blake2b_compress_ref	crypto_generichash/blake2b/ref/blake2b-compress-ref.c	87	40	        S->h[i] = S->h[i] ^ v[i] ^ v[i + 8];	+	cjump	Os--force-target-instruction-cost=100|Os--force-target-instruction-cost=50
u32_to_string	crypto_pwhash/argon2/argon2-encoding.c	221	23	        tmp[--i] = (x % (uint32_t) 10U) + '0';	%	mdiv	Oz--unroll-force-peel-count=100|Oz--unroll-force-peel-count=50
