function	file	line	col	source	char	type	optimization
_encrypt	crypto_core/softaes/softaes.c	260	27	        of[j][0] = ix0[j] % SOFTAES_STRIDE;	%	mdiv	O0
_sodium_ge25519_double_scalarmult_vartime	crypto_core/ed25519/ref10/ed25519_ref10.c	843	55	            ge25519_add_precomp(&t, &u, &Bi[bslide[i] / 2]);	/	mdiv	O0
_encrypt	crypto_core/softaes/softaes.c	262	27	        of[j][2] = ix2[j] % SOFTAES_STRIDE;	%	mdiv	O0
_sodium_ge25519_double_scalarmult_vartime	crypto_core/ed25519/ref10/ed25519_ref10.c	846	58	            ge25519_sub_precomp(&t, &u, &Bi[(-bslide[i]) / 2]);	/	mdiv	O0
_sodium_ge25519_scalarmult_base	crypto_core/ed25519/ref10/ed25519_ref10.c	986	34	        ge25519_cmov8_base(&t, i / 2, e[i]);	/	mdiv	O0
pickparams	crypto_pwhash/scryptsalsa208sha256/pwhash_scryptsalsa208sha256.c	38	25	        maxN = memlimit / ((size_t) *r * 128);	/	mdiv	O0
crypto_verify_n	crypto_verify/verify.c	48	23	    for (i = 1; i < n / 16; i++) {	/	mdiv	O0
_sodium_argon2_ctx	crypto_pwhash/argon2/argon2.c	52	36	    segment_length = memory_blocks / (context->lanes * ARGON2_SYNC_POINTS);	/	mdiv	O0|O1|O2|O3|Ofast|Os|Oz
_sodium_ge25519_scalarmult_base	crypto_core/ed25519/ref10/ed25519_ref10.c	1001	34	        ge25519_cmov8_base(&t, i / 2, e[i]);	/	mdiv	O0
randombytes_uniform	randombytes/randombytes.c	165	14	    return r % upper_bound;	%	mdiv	O0|O1|O2|O3|Ofast|Os|Oz
_sodium_escrypt_kdf_sse	crypto_pwhash/scryptsalsa208sha256/sse/pwhash_scryptsalsa208sha256_sse.c	350	29	        (N > SIZE_MAX / 128 / r)) {	/	mdiv	O0|O1|O2|O3|Ofast|Os|Oz
_sodium_argon2_fill_segment_ref	crypto_pwhash/argon2/argon2-fill-block-ref.c	181	26	    if (0 == curr_offset % instance->lane_length) {	%	mdiv	O0|O1|O2|O3|Ofast|Os|Oz
_sodium_escrypt_gensalt_r	crypto_pwhash/scryptsalsa208sha256/crypto_scrypt-common.c	209	22	    size_t saltlen = BYTES2CHARS(srclen);	B	mdiv	O0|Oz
_sodium_argon2_fill_segment_ssse3	crypto_pwhash/argon2/argon2-fill-block-ssse3.c	196	25	        if (curr_offset % instance->lane_length == 1) {	%	mdiv	O0|O1|O2|O3|Ofast|Os|Oz
sodium_allocarray	sodium/utils.c	654	58	    if (count > (size_t) 0U && size >= (size_t) SIZE_MAX / count) {	/	mdiv	O0|O1|O2|O3|Ofast|Os|Oz
