function	file	line	col	source	char	type	optimization
convert_jpake_computation_stage_to_driver_step	../tf-psa-crypto/core/psa_crypto.c	9068	26	        key_share_step = (stage->io_mode == PSA_JPAKE_OUTPUT) ?	(	cjump	O0|Os|Oz
mbedtls_lmots_calculate_public_key_candidate	../tf-psa-crypto/drivers/builtin/src/lmots.c	490	32	                           sig + MBEDTLS_LMOTS_SIG_SIGNATURE_OFFSET(params->type),	+	cjump	O0
mbedtls_psa_cipher_update	../tf-psa-crypto/drivers/builtin/src/psa_crypto_cipher.c	511	13	            / operation->block_length * operation->block_length;	/	mdiv	O0
mbedtls_int_div_int	../tf-psa-crypto/drivers/builtin/src/bignum.c	1319	25	    quotient = dividend / d;	/	mdiv	O0
mbedtls_mpi_mod_int	../tf-psa-crypto/drivers/builtin/src/bignum.c	1592	16	        z  = y / b;	/	mdiv	O0
ssl_tls13_write_supported_versions_ext	ssl_tls13_client.c	51	34	    unsigned char versions_len = (ssl->handshake->min_tls_version <=	(	cjump	O0
mbedtls_cipher_cmac_update	../tf-psa-crypto/drivers/builtin/src/cmac.c	235	33	    n = (ilen + block_size - 1) / block_size;	/	mdiv	O0|O1|O2|O3|Ofast|Os|Oz
psa_get_and_lock_key_slot_in_memory	../tf-psa-crypto/core/psa_crypto_slot_management.c	413	18	        status = (slot_idx < MBEDTLS_PSA_KEY_SLOT_COUNT) ?	(	cjump	O0
ecp_precompute_comb	../tf-psa-crypto/drivers/builtin/src/ecp.c	1826	22	        i = 1U << (j / d);	/	mdiv	O0
mbedtls_ssl_resend_hello_request	ssl_tls.c	6697	52	        uint32_t ratio = ssl->conf->hs_timeout_max / ssl->conf->hs_timeout_min + 1;	/	mdiv	O0|O1|O2|O3|Ofast|Os|Oz
psa_cipher_setup	../tf-psa-crypto/core/psa_crypto.c	4347	30	    psa_key_usage_t usage = (cipher_operation == MBEDTLS_ENCRYPT ?	c	cjump	O0|O1|O2|O3|Ofast|Os|Oz
ecp_mul_comb	../tf-psa-crypto/drivers/builtin/src/ecp.c	2231	30	    d = (grp->nbits + w - 1) / w;	/	mdiv	O0
ssl_calc_finished_tls_generic	ssl_tls.c	7321	14	    sender = (from == MBEDTLS_SSL_IS_CLIENT)	(	cjump	O0|O1|O2|O3|Ofast|Os|Oz
ssl_tls13_parse_server_hello	ssl_tls13_client.c	1736	31	    allowed_extensions_mask = is_hrr ?	i	cjump	O0
mbedtls_hkdf_expand	../tf-psa-crypto/drivers/builtin/src/hkdf.c	91	17	    n = okm_len / hash_len;	/	mdiv	O0|O1|O2|O3|Ofast|Os|Oz
mbedtls_mpi_mod_int	../tf-psa-crypto/drivers/builtin/src/bignum.c	1597	16	        z  = y / b;	/	mdiv	O0
convert_jpake_computation_stage_to_driver_step	../tf-psa-crypto/core/psa_crypto.c	9064	26	        key_share_step = is_x1 ?	i	cjump	O0|Os|Oz
mbedtls_mpi_div_mpi	../tf-psa-crypto/drivers/builtin/src/bignum.c	1319	25	    quotient = dividend / d;	/	mdiv	O1|O2|O3|Ofast|Os|Oz
mbedtls_lms_verify	../tf-psa-crypto/drivers/builtin/src/lms.c	387	16	         height++) {	+	cjump	O1|O2|O3|Ofast|Os
mbedtls_pk_get_psa_attributes	../tf-psa-crypto/drivers/builtin/src/pk.c	402	42	            psa_set_key_type(attributes, (want_private ?	(	cjump	O1|O2|O3|Ofast|Os|Oz
mbedtls_ssl_get_record_expansion	ssl_msg.c	5347	29	        transform_expansion += block_size;	+	cjump	O1|O2|O3|Ofast|Os|Oz
mbedtls_ssl_decrypt_buf	ssl_msg.c	1701	23	            pad_count += increment;	+	cjump	O1|O2|O3|Ofast|Os
ecp_mul_restartable_internal	../tf-psa-crypto/drivers/builtin/src/ecp.c	1826	22	        i = 1U << (j / d);	/	mdiv	O1|O2|O3|Ofast|Os|Oz
mbedtls_rsa_rsaes_oaep_decrypt	../tf-psa-crypto/drivers/builtin/src/rsa.c	522	40	    return (mbedtls_ct_condition_t) (x & y);	&	cjump	O1|O2|O3|Ofast|Os
get_pkcs_padding	../tf-psa-crypto/drivers/builtin/src/cipher.c	528	40	    return (mbedtls_ct_condition_t) (x | y);	|	cjump	O1|O2|O3|Ofast|Os
ccm_calculate_first_block_if_ready	../tf-psa-crypto/drivers/builtin/src/ccm.c	194	15	    ctx->y[0] |= ((ctx->tag_len - 2) / 2) << 3;	|	cjump	O1|O2|O3|Ofast|Os|Oz
psa_pake_input	../tf-psa-crypto/core/psa_crypto.c	9064	26	        key_share_step = is_x1 ?	i	cjump	O1
mbedtls_aes_setkey_enc	../tf-psa-crypto/drivers/builtin/src/aes.c	365	11	        x ^= XTIME(x);	^	cjump	O1|O2|O3|Ofast|Os|Oz
get_one_and_zeros_padding	../tf-psa-crypto/drivers/builtin/src/cipher.c	267	51	    return (mbedtls_ct_uint_t) ((condition & if1) | (not_cond & if0));	|	cjump	O1|O2|O3|Ofast|Os
mbedtls_mpi_lt_mpi_ct	../tf-psa-crypto/drivers/builtin/src/bignum.c	528	40	    return (mbedtls_ct_condition_t) (x | y);	|	cjump	O1|O2|O3|Ofast|Os|Oz
psa_pake_output	../tf-psa-crypto/core/psa_crypto.c	9068	26	        key_share_step = (stage->io_mode == PSA_JPAKE_OUTPUT) ?	(	cjump	O1
get_one_and_zeros_padding	../tf-psa-crypto/drivers/builtin/src/cipher.c	522	40	    return (mbedtls_ct_condition_t) (x & y);	&	cjump	O1|O2|O3|Ofast|Os|Oz
mbedtls_ssl_decrypt_buf	ssl_msg.c	522	40	    return (mbedtls_ct_condition_t) (x & y);	&	cjump	O1|O2|O3|Ofast|Os
psa_pake_output	../tf-psa-crypto/core/psa_crypto.c	9064	26	        key_share_step = is_x1 ?	i	cjump	O1
psa_pake_input	../tf-psa-crypto/core/psa_crypto.c	9068	26	        key_share_step = (stage->io_mode == PSA_JPAKE_OUTPUT) ?	(	cjump	O1
mbedtls_lmots_calculate_public_key_candidate	../tf-psa-crypto/drivers/builtin/src/lmots.c	345	76	                             MBEDTLS_LMOTS_P_SIG_DIGIT_COUNT(params->type) *	*	cjump	O1|O2|O3|Ofast|Os
mbedtls_ssl_decrypt_buf	ssl_msg.c	1690	48	        size_t const start_idx = rec->data_len - num_checks;	-	cjump	O1|O2|O3|Ofast|Os|Oz
mbedtls_ssl_tls13_write_client_hello_exts	ssl_tls13_client.c	51	34	    unsigned char versions_len = (ssl->handshake->min_tls_version <=	(	cjump	O1|O2|O3|Ofast|Os|Oz
mbedtls_ssl_tls13_handshake_client_step	ssl_tls13_client.c	1736	31	    allowed_extensions_mask = is_hrr ?	i	cjump	O1|O2|O3|Ofast|Os|Oz
get_zeros_and_len_padding	../tf-psa-crypto/drivers/builtin/src/cipher.c	528	40	    return (mbedtls_ct_condition_t) (x | y);	|	cjump	O1|O2|O3|Ofast|Os|Oz
ecp_mul_restartable_internal	../tf-psa-crypto/drivers/builtin/src/ecp.c	2231	30	    d = (grp->nbits + w - 1) / w;	/	mdiv	O2|O3|Ofast|Os|Oz
mbedtls_ssl_read_record	ssl_msg.c	4421	41	                    hs_buf->is_complete = (ssl_bitmask_check(bitmask,	=	cjump	O2|O3|Ofast|Os
mbedtls_ssl_read_record	ssl_msg.c	4301	39	                hs_buf->is_fragmented =	=	cjump	O2|O3|Ofast|Os|Oz
mbedtls_aes_crypt_xts	../tf-psa-crypto/drivers/builtin/src/aes.c	235	23	        r[i] = a[i] ^ b[i];	b	cjump	O2|O3|Ofast
psa_rsa_oaep_set_padding_mode	../tf-psa-crypto/drivers/builtin/src/psa_crypto_rsa.c	106	41	    return (mbedtls_md_type_t) (psa_alg & PSA_ALG_HASH_MASK);	&	cjump	Os|Oz
mbedtls_timing_get_timer	timing.c	98	52	                + (now.tv_usec - t->start.tv_usec) / 1000;	/	mdiv	Oz
mbedtls_ms_time	../tf-psa-crypto/drivers/builtin/src/platform_util.c	246	41	    return current_ms*1000 + tv.tv_nsec / 1000000;	/	mdiv	Oz
mbedtls_net_poll	net_sockets.c	494	26	    tv.tv_sec  = timeout / 1000;	/	mdiv	Oz
mbedtls_base64_encode	../tf-psa-crypto/drivers/builtin/src/base64.c	73	14	    n = slen / 3 + (slen % 3 != 0);	/	mdiv	Oz
psa_free_key_slot	../tf-psa-crypto/core/psa_crypto_slot_management.c	576	28	    size_t slot_idx = slot - slice;	-	mdiv	Oz
mbedtls_net_usleep	net_sockets.c	526	23	    tv.tv_sec  = usec / 1000000;	/	mdiv	Oz
mbedtls_net_recv_timeout	net_sockets.c	597	26	    tv.tv_sec  = timeout / 1000;	/	mdiv	Oz
