function	file	line	col	source	char	type	optimization
gf_sub	crypto/ec/curve448/f_generic.c	42	36	    uint32_t co1 = ((1 << 28) - 1) * amt, co2 = co1 - amt;	*	cjump	O0-ftrapv
ossl_quic_stream_map_alloc	ssl/quic/quic_stream_map.c	160	21	    s->send_state   = (ossl_quic_stream_is_local_init(s)	=	mmem	O0-fmemory-profile|Oz-fprofile-instr-generate
ossl_quic_stream_map_alloc	ssl/quic/quic_stream_map.c	164	21	    s->recv_state   = (!ossl_quic_stream_is_local_init(s)	=	mmem	O0-fmemory-profile
ossl_gf_mul	crypto/ec/curve448/arch_64/f_impl64.c	48	20	            accum2 += widemul(a[j], b[i + 8 - j]);	+	mmem	O0-fforce-enable-int128
ossl_gf_mul	crypto/ec/curve448/arch_64/f_impl64.c	43	20	            accum2 += widemul(a[j], b[i - j]);	+	mmem	O0-fforce-enable-int128
ossl_ec_GF2m_simple_group_copy	crypto/ec/ec2_smpl.c	92	65	    if (bn_wexpand(dest->b, (int)(dest->poly[0] + BN_BITS2 - 1) / BN_BITS2) ==	/	mdiv	O1--fast-isel|O2--fast-isel|O3--fast-isel|Ofast--fast-isel|Os--fast-isel|Oz--fast-isel
OPENSSL_gmtime_diff	crypto/o_time.c	182	48	        (367 * (m - 2 - 12 * ((m - 14) / 12))) / 12 -	/	mdiv	O1--fast-isel|O2--fast-isel|O3--fast-isel|Ofast--fast-isel
ossl_ecdh_simple_compute_key	crypto/ec/ecdh_ossl.c	118	47	    buflen = (EC_GROUP_get_degree(group) + 7) / 8;	/	mdiv	O1--fast-isel|O2--fast-isel|O3--fast-isel|Ofast--fast-isel|Os--fast-isel|Oz--fast-isel
a2i_ASN1_STRING	crypto/asn1/f_string.c	96	11	        i /= 2;	/	mdiv	O1--fast-isel|O2--fast-isel|O3--fast-isel|Ofast--fast-isel|Os--fast-isel|Oz--fast-isel
fmtfp	crypto/bio/bio_print.c	714	30	        fracpart = (fracpart / 10);	/	mdiv	O1--fast-isel|O2--fast-isel|O3--fast-isel|Ofast--fast-isel|Os--fast-isel
tls1_get_legacy_sigalg	ssl/t1_lib.c	2495	32	            idx = s->cert->key - s->cert->pkeys;	-	mdiv	O1--fast-isel|O2--fast-isel|O3--fast-isel|Ofast--fast-isel|Os--fast-isel
