function	file	line	col	source	char	type	optimization
ossl_quic_stream_map_alloc	ssl/quic/quic_stream_map.c	164	21	    s->recv_state   = (!ossl_quic_stream_is_local_init(s)	=	cjump	O0-fmemory-profile|O1--instcombine-max-iterations=0|O2--instcombine-max-iterations=0|O3--instcombine-max-iterations=0|Ofast--instcombine-max-iterations=0|Os--instcombine-max-iterations=0
ossl_quic_stream_map_alloc	ssl/quic/quic_stream_map.c	160	21	    s->send_state   = (ossl_quic_stream_is_local_init(s)	=	cjump	O0-fmemory-profile|O1--instcombine-max-iterations=0|O2--instcombine-max-iterations=0|O3--instcombine-max-iterations=0|Ofast--instcombine-max-iterations=0|Os--instcombine-max-iterations=0
bn_mod_add_fixed_top	crypto/bn/bn_mod.c	80	34	        tp[i] = ((bp[bi] & mask) + temp) & BN_MASK2;	+	cjump	O1--disable-cgp|O2--disable-cgp|O2--unroll-force-peel-count=50|O3--disable-cgp|O3--unroll-force-peel-count=50|Ofast--disable-cgp|Ofast--unroll-force-peel-count=50|Os--disable-cgp|Os--unroll-force-peel-count=50|Oz--disable-cgp
bn_mod_add_fixed_top	crypto/bn/bn_mod.c	76	33	        temp = ((ap[ai] & mask) + carry) & BN_MASK2;	+	cjump	O1--disable-cgp|O2--disable-cgp|O3--disable-cgp|Ofast--disable-cgp|Os--disable-cgp|Oz--disable-cgp
i2b_PVK_bio_ex	crypto/pem/pvkfmt.c	546	12	    *p++ = dw & 0xff;	d	cjump	O1--disable-cgp|O2--disable-cgp|O3--disable-cgp|Ofast--disable-cgp|Os--disable-cgp|Oz--disable-cgp
EVP_SKEY_import	crypto/evp/s_lib.c	64	77	    *ret = atomic_fetch_sub_explicit(&refcnt->val, 1, memory_order_release) - 1;	-	cjump	O1-ftrapv|O2-ftrapv|O3-ftrapv|Ofast-ftrapv
SSL_CTX_free	ssl/ssl_lib.c	64	77	    *ret = atomic_fetch_sub_explicit(&refcnt->val, 1, memory_order_release) - 1;	-	cjump	O1-ftrapv|O2-ftrapv|O3-ftrapv|Ofast-ftrapv|Os-ftrapv|Oz-ftrapv
SSL_CTX_add_session	ssl/ssl_sess.c	41	77	    *ret = atomic_fetch_add_explicit(&refcnt->val, 1, memory_order_relaxed) + 1;	+	cjump	O1-ftrapv|O2-ftrapv|O3-ftrapv|Ofast-ftrapv|Os-ftrapv|Oz-ftrapv
ossl_core_bio_free	crypto/bio/ossl_core_bio.c	64	77	    *ret = atomic_fetch_sub_explicit(&refcnt->val, 1, memory_order_release) - 1;	-	cjump	O1-ftrapv|O2-ftrapv|O3-ftrapv|Ofast-ftrapv|Os-ftrapv|Oz-ftrapv
ossl_mac_key_free	providers/implementations/keymgmt/mac_legacy_kmgmt.c	64	77	    *ret = atomic_fetch_sub_explicit(&refcnt->val, 1, memory_order_release) - 1;	-	cjump	O1-ftrapv|O2-ftrapv|O3-ftrapv|Ofast-ftrapv|Os-ftrapv|Oz-ftrapv
