function	file	line	col	source	char	type	optimization
PQCLEAN_HQC256_CLEAN_reed_solomon_decode	reed_solomon.c	232	23	            beta_j[j] += mask1 & mask2 & gf_exp[i];	+	mmem	O1--disable-peephole|O1--fast-isel|O2--disable-peephole|O2--fast-isel|Os--disable-peephole|Os--fast-isel|Oz--disable-peephole|Oz--fast-isel
PQCLEAN_HQC128_CLEAN_reed_solomon_decode	reed_solomon.c	232	23	            beta_j[j] += mask1 & mask2 & gf_exp[i];	+	mmem	O1--disable-peephole|O1--fast-isel|O2--disable-peephole|O2--fast-isel|Os--disable-peephole|Os--fast-isel|Oz--disable-peephole|Oz--fast-isel
PQCLEAN_HQC192_CLEAN_reed_solomon_decode	reed_solomon.c	232	23	            beta_j[j] += mask1 & mask2 & gf_exp[i];	+	mmem	O1--disable-peephole|O1--fast-isel|O2--disable-peephole|O2--fast-isel|Os--disable-peephole|Os--fast-isel|Oz--disable-peephole|Oz--fast-isel
PQCLEAN_SPHINCSSHAKE256SSIMPLE_CLEAN_wots_gen_leafx1	wotsx1.c	41	47	        uint32_t wots_k = info->wots_steps[i] | wots_k_mask; /* Set wots_k to */	|	mmem	O1-fcs-profile-generate|O1-fprofile-generate|O2-fcs-profile-generate|O2-fprofile-generate|O3-fcs-profile-generate|O3-fprofile-generate|Ofast-fcs-profile-generate|Ofast-fprofile-generate|Os-fcs-profile-generate|Os-fprofile-generate|Oz-fcs-profile-generate|Oz-fprofile-generate
PQCLEAN_FALCONPADDED512_CLEAN_keygen	keygen.c	723	7	    d += p & -(d >> 31);	+	mmem	O1-fcs-profile-generate|O1-fprofile-generate|Os-fcs-profile-generate
PQCLEAN_MLDSA65_CLEAN_use_hint	rounding.c	47	40	    *a0 -= (((Q - 1) / 2 - *a0) >> 31) & Q;	&	mmem	O1-fcs-profile-generate|O1-fprofile-generate|O2-fcs-profile-generate|O2-fprofile-generate|O3-fcs-profile-generate|O3-fprofile-generate|Ofast-fcs-profile-generate|Ofast-fprofile-generate|Os-fcs-profile-generate|Os-fprofile-generate|Oz-fprofile-generate
PQCLEAN_FALCON1024_CLEAN_verify_raw	vrfy.c	417	7	    z += Q & -(z >> 31);	+	mmem	O1-fcs-profile-generate|O2-fcs-profile-generate|O3-fcs-profile-generate|Ofast-fcs-profile-generate
PQCLEAN_FALCON1024_CLEAN_is_invertible	vrfy.c	355	7	    d += Q & -(d >> 31);	+	mmem	O1-fcs-profile-generate|O2-fcs-profile-generate|O3-fcs-profile-generate|Ofast-fcs-profile-generate
PQCLEAN_FALCONPADDED512_CLEAN_complete_private	vrfy.c	355	7	    d += Q & -(d >> 31);	+	mmem	O1-fcs-profile-generate|O2-fcs-profile-generate|O3-fcs-profile-generate|Ofast-fcs-profile-generate
PQCLEAN_FALCON1024_CLEAN_complete_private	vrfy.c	355	7	    d += Q & -(d >> 31);	+	mmem	O1-fcs-profile-generate|O2-fcs-profile-generate|O3-fcs-profile-generate|Ofast-fcs-profile-generate
PQCLEAN_FALCON512_CLEAN_complete_private	vrfy.c	355	7	    d += Q & -(d >> 31);	+	mmem	O1-fcs-profile-generate|O2-fcs-profile-generate|O3-fcs-profile-generate|Ofast-fcs-profile-generate
