function	file	line	col	source	char	type	optimization
PQCLEAN_FALCONPADDED1024_CLEAN_keygen	keygen.c	1199	11	        w += p & -(w >> 31);	+	mmem	O1-fcs-profile-generate
PQCLEAN_FALCONPADDED512_CLEAN_keygen	keygen.c	285	7	    m &= -(uint64_t)((uint32_t)(e - 64) >> 31);	&	mmem	O1-fcs-profile-generate|O1-fprofile-generate|O2-fcs-profile-generate|O2-fprofile-generate|O3-fprofile-generate|Ofast-fprofile-generate|Os-fcs-profile-generate|Os-fprofile-generate
PQCLEAN_FALCON512_CLEAN_keygen	keygen.c	285	7	    m &= -(uint64_t)((uint32_t)(e - 64) >> 31);	&	mmem	O1-fcs-profile-generate|O1-fprofile-generate|O2-fcs-profile-generate|O2-fprofile-generate|O3-fprofile-generate|Ofast-fprofile-generate|Os-fcs-profile-generate|Os-fprofile-generate
PQCLEAN_FALCONPADDED1024_CLEAN_keygen	keygen.c	285	7	    m &= -(uint64_t)((uint32_t)(e - 64) >> 31);	&	mmem	O1-fcs-profile-generate|O1-fprofile-generate|O2-fcs-profile-generate|O2-fprofile-generate|O3-fprofile-generate|Ofast-fprofile-generate|Os-fcs-profile-generate|Os-fprofile-generate
solve_NTRU_intermediate	keygen.c	1199	11	        w += p & -(w >> 31);	+	mmem	O1-fcs-profile-generate|O2-fcs-profile-generate|O3-fcs-profile-generate|Ofast-fcs-profile-generate
PQCLEAN_HQC256_CLEAN_reed_solomon_decode	reed_solomon.c	132	68	            X_sigma_p[i] = (mask12 & sigma_copy[i - 1]) ^ (~mask12 & X_sigma_p[i - 1]);	&	mmem	O1-fcs-profile-generate|O2-fcs-profile-generate|O3-fcs-profile-generate|Ofast-fcs-profile-generate|Os-fcs-profile-generate
PQCLEAN_FALCON1024_CLEAN_keygen	keygen.c	1199	11	        w += p & -(w >> 31);	+	mmem	O1-fcs-profile-generate
mq_div_12289	vrfy.c	417	7	    z += Q & -(z >> 31);	+	mmem	O1-fcs-profile-generate|O1-fprofile-generate|O2-fcs-profile-generate|O2-fprofile-generate|O3-fcs-profile-generate|O3-fprofile-generate|Ofast-fcs-profile-generate|Ofast-fprofile-generate|Os-fcs-profile-generate|Os-fprofile-generate|Oz-fprofile-generate
PQCLEAN_FALCON512_CLEAN_keygen	keygen.c	1199	11	        w += p & -(w >> 31);	+	mmem	O1-fcs-profile-generate
modp_mkgm2	keygen.c	683	7	    d += p & -(d >> 31);	+	mmem	O1-fcs-profile-generate|O2-fcs-profile-generate|O3-fcs-profile-generate|Ofast-fcs-profile-generate
