function	file	line	col	source	char	type	optimization
_sp_exptmod_nct	wolfcrypt/src/sp_int.c	14403	27	                        n <<= c;	<	mmem	O0-fforce-enable-int128
_sp_exptmod_base_2	wolfcrypt/src/sp_int.c	13823	15	            n <<= SP_WORD_SIZE - c;	<	mmem	O0-fforce-enable-int128
sp_div_2_mod_ct	wolfcrypt/src/sp_int.c	7398	23	            w         += a->dp[i] & mask_a;	+	mmem	O0-fforce-enable-int128
_sp_exptmod_nct	wolfcrypt/src/sp_int.c	14394	27	                        n <<= winBits;	<	mmem	O0-fforce-enable-int128
_sp_exptmod_nct	wolfcrypt/src/sp_int.c	14409	27	                        n <<= winBits;	<	mmem	O0-fforce-enable-int128
_sp_exptmod_nct	wolfcrypt/src/sp_int.c	14325	23	                    n <<= c;	<	mmem	O0-fforce-enable-int128
_sp_exptmod_nct	wolfcrypt/src/sp_int.c	14315	15	            n <<= SP_WORD_SIZE - c;	<	mmem	O0-fforce-enable-int128
_sp_exptmod_base_2	wolfcrypt/src/sp_int.c	13865	15	            n <<= c;	<	mmem	O0-fforce-enable-int128
_sp_exptmod_nct	wolfcrypt/src/sp_int.c	14331	23	                    n <<= winBits;	<	mmem	O0-fforce-enable-int128
GetCA	src/ssl.c	5404	35	    return MakeWordFromHash(hash) % CA_TABLE_SIZE;	%	mdiv	O1--fast-isel|O2--fast-isel|O3--fast-isel|Ofast--fast-isel|Os--fast-isel
wc_DhAgree_Sync	wolfcrypt/src/dh.c	2203	65	                                ((int)*agreeSz + DIGIT_BIT - 1) / DIGIT_BIT,	/	mdiv	O1--fast-isel|O2--fast-isel|O3--fast-isel|Ofast--fast-isel|Os--fast-isel|Oz--fast-isel
sp_unsigned_bin_size	wolfcrypt/src/sp_int.c	18035	38	        cnt = (sp_count_bits(a) + 7) / 8;	/	mdiv	O1--fast-isel|O2--fast-isel|O3--fast-isel|Ofast--fast-isel|Os--fast-isel|Oz--fast-isel
wolfSSL_GetSessionClient	./src/ssl_sess.c	1307	12	    return *error == 0 ? MakeWordFromHash(digest) : 0; /* 0 on failure */	*	mdiv	O1--fast-isel
AddCA	src/ssl.c	5404	35	    return MakeWordFromHash(hash) % CA_TABLE_SIZE;	%	mdiv	O1--fast-isel|O2--fast-isel|O3--fast-isel|Ofast--fast-isel|Os--fast-isel
sp_radix_size	wolfcrypt/src/sp_int.c	18788	46	            int cnt = (sp_count_bits(a) + 3) / 4;	/	mdiv	O1--fast-isel|O2--fast-isel|O3--fast-isel|Ofast--fast-isel|Os--fast-isel|Oz--fast-isel
TimingPadVerify	src/internal.c	20965	46	        r = (macSz - (scanStart - macStart)) % WC_SHA_DIGEST_SIZE;	%	mdiv	O1--fast-isel|O2--fast-isel|O2-fglobal-isel|O3--fast-isel|O3-fglobal-isel|Ofast--fast-isel|Ofast-fglobal-isel|Os--fast-isel|Os-fglobal-isel
AddSigner	src/ssl.c	5404	35	    return MakeWordFromHash(hash) % CA_TABLE_SIZE;	%	mdiv	O1--fast-isel|O2--fast-isel|O3--fast-isel|Ofast--fast-isel|Os--fast-isel
wc_ecc_get_curve_id_from_params	wolfcrypt/src/ecc.c	4455	31	    curveSz = (fieldSize + 1) / 8;    /* round up */	/	mdiv	O1--fast-isel|O2--fast-isel|O3--fast-isel|Ofast--fast-isel|Os--fast-isel|Oz--fast-isel
wolfSSL_CTX_SetMinRsaKey_Sz	src/ssl.c	2978	34	    ctx->minRsaKeySz     = keySz / 8;	/	mdiv	O1--fast-isel
wc_Asn1_PrintAll	wolfcrypt/src/asn.c	41715	37	                out[0] = (word16)(t / 40);	/	mdiv	O1--fast-isel|O2--fast-isel|O3--fast-isel|Ofast--fast-isel|Os--fast-isel
_sp_div_10	wolfcrypt/src/sp_int.c	6906	21	            tr = tr % 10;	%	mdiv	O1--fast-isel|Os--fast-isel
sp_exptmod_nct	wolfcrypt/src/sp_int.c	14310	22	            c = bits % SP_WORD_SIZE;	%	mdiv	O1--fast-isel|O2--fast-isel|O3--fast-isel|Ofast--fast-isel|Os--fast-isel|Oz--fast-isel
sp_div	wolfcrypt/src/sp_int.c	9014	57	            int bits = SP_WORD_SIZE - (sp_count_bits(d) % SP_WORD_SIZE);	%	mdiv	O1--fast-isel|O2--fast-isel|O3--fast-isel|Ofast--fast-isel|Os--fast-isel|Oz--fast-isel
sp_radix_size	wolfcrypt/src/sp_int.c	6932	22	            tt += tr / 10;	/	mdiv	O1--fast-isel|O2--fast-isel|O3--fast-isel|Ofast--fast-isel
AlreadySigner	src/ssl.c	5404	35	    return MakeWordFromHash(hash) % CA_TABLE_SIZE;	%	mdiv	O1--fast-isel|O2--fast-isel|O3--fast-isel|Ofast--fast-isel|Os--fast-isel
AddSessionToCache	./src/ssl_sess.c	1307	12	    return *error == 0 ? MakeWordFromHash(digest) : 0; /* 0 on failure */	*	mdiv	O1--fast-isel
wolfSSL_SetMinRsaKey_Sz	src/ssl.c	2999	38	    ssl->options.minRsaKeySz = keySz / 8;	/	mdiv	O1--fast-isel
sp_to_unsigned_bin_at_pos	wolfcrypt/src/sp_int.c	18035	38	        cnt = (sp_count_bits(a) + 7) / 8;	/	mdiv	O1--fast-isel|O2--fast-isel|O3--fast-isel|Ofast--fast-isel|Os--fast-isel
TimingPadVerify	src/internal.c	20994	45	            good |= expMac[i] ^ mac[(i + r) % WC_SHA384_DIGEST_SIZE];	%	mdiv	O1--fast-isel|O2--fast-isel|O2-fglobal-isel|O3--fast-isel|O3-fglobal-isel|Ofast--fast-isel|Ofast-fglobal-isel|Os--fast-isel|Os-fglobal-isel
_sp_div_10	wolfcrypt/src/sp_int.c	6932	22	            tt += tr / 10;	/	mdiv	O1--fast-isel|Os--fast-isel
wc_ecc_sig_size	wolfcrypt/src/ecc.c	11931	33	        keySz = (orderBits + 7) / 8;	/	mdiv	O1--fast-isel|O2--fast-isel|O3--fast-isel|Ofast--fast-isel|Os--fast-isel|Oz--fast-isel
AddSessionToClientCache	./src/ssl_sess.c	1656	48	                ClientCache[clientRow].nextIdx %= CLIENT_SESSIONS_PER_ROW;	%	mdiv	O1--fast-isel|O2--fast-isel|O3--fast-isel|Ofast--fast-isel|Os--fast-isel
DecodeObjectId	wolfcrypt/src/asn.c	6562	37	                out[0] = (word16)(t / 40);	/	mdiv	O1--fast-isel|O2--fast-isel|O3--fast-isel|Ofast--fast-isel|Os--fast-isel
TlsSessionCacheGetAndLock	./src/ssl_sess.c	1307	12	    return *error == 0 ? MakeWordFromHash(digest) : 0; /* 0 on failure */	*	mdiv	O1--fast-isel
AddSessionToClientCache	./src/ssl_sess.c	1307	12	    return *error == 0 ? MakeWordFromHash(digest) : 0; /* 0 on failure */	*	mdiv	O1--fast-isel|O2--fast-isel|O3--fast-isel|Ofast--fast-isel|Os--fast-isel|Oz--inline-threshold=100
AddSessionToCache	./src/ssl_sess.c	2007	55	            sessRow->nextIdx = (sessRow->nextIdx + 1) % SESSIONS_PER_ROW;	%	mdiv	O1--fast-isel|O2--fast-isel|O3--fast-isel|Ofast--fast-isel|Os--fast-isel
sp_to_unsigned_bin	wolfcrypt/src/sp_int.c	18035	38	        cnt = (sp_count_bits(a) + 7) / 8;	/	mdiv	O1--fast-isel|O2--fast-isel|O3--fast-isel|Ofast--fast-isel|Os--fast-isel
sp_todecimal	wolfcrypt/src/sp_int.c	6932	22	            tt += tr / 10;	/	mdiv	O1--fast-isel|O2--fast-isel|O3--fast-isel|Ofast--fast-isel
ecc_mulmod	wolfcrypt/src/ecc.c	3169	51	    int      bytes = (mp_count_bits(modulus) + 7) / 8;	/	mdiv	O1--fast-isel|O2--fast-isel|O3--fast-isel|Ofast--fast-isel|Os--fast-isel|Oz--fast-isel
TimingPadVerify	src/internal.c	20969	46	        r = (macSz - (scanStart - macStart)) % WC_SHA384_DIGEST_SIZE;	%	mdiv	O1--fast-isel|O2--fast-isel|O2-fglobal-isel|O3--fast-isel|O3-fglobal-isel|Ofast--fast-isel|Ofast-fglobal-isel|Os--fast-isel|Os-fglobal-isel
sp_mod_d	wolfcrypt/src/sp_int.c	6906	21	            tr = tr % 10;	%	mdiv	O1--fast-isel|O2--fast-isel|O3--fast-isel|Ofast--fast-isel|Os--fast-isel
TimingPadVerify	src/internal.c	20988	45	            good |= expMac[i] ^ mac[(i + r) % WC_SHA_DIGEST_SIZE];	%	mdiv	O1--fast-isel|O2--fast-isel|O2-fglobal-isel|O3--fast-isel|O3-fglobal-isel|Ofast--fast-isel|Ofast-fglobal-isel|Os--fast-isel|Os-fglobal-isel
DoServerKeyExchange	src/internal.c	32964	55	                            ssl->options.peerAuthGood =	=	mmem	O1--disable-cgp|O1--regalloc=fast|O2--disable-cgp|O2--pre-RA-sched=source|O2--regalloc=fast|O3--disable-cgp|O3--pre-RA-sched=source|O3--regalloc=fast|Ofast--disable-cgp|Ofast--pre-RA-sched=source|Ofast--regalloc=fast|Os--disable-cgp|Os--pre-RA-sched=source|Os--regalloc=fast
DataToDerBuffer	./src/ssl_load.c	936	13	        ret += (int)i;	+	cjump	O1--enable-mem-prof|O1-fmemory-profile|O1-fprofile-generate|O1-ftrapv|O2--enable-mem-prof|O2-fmemory-profile|O2-fprofile-generate|O2-ftrapv|O3--enable-mem-prof|O3-fmemory-profile|O3-fprofile-generate|O3-ftrapv|Ofast--enable-mem-prof|Ofast-fmemory-profile|Ofast-fprofile-generate|Ofast-ftrapv|Os--enable-mem-prof|Os-fmemory-profile|Os-fprofile-generate|Os-ftrapv|Oz--enable-mem-prof|Oz-fmemory-profile|Oz-fprofile-generate|Oz-ftrapv
wc_PKCS12_PBKDF_ex	wolfcrypt/src/pwdbased.c	467	43	    sLen = v * (((word32)saltLen + v - 1) / v);	/	mdiv	O1--instcombine-max-iterations=0|O2--instcombine-max-iterations=0|O3--instcombine-max-iterations=0|Ofast--instcombine-max-iterations=0|Os--instcombine-max-iterations=0|Oz--instcombine-max-iterations=0
wc_PKCS12_PBKDF_ex	wolfcrypt/src/pwdbased.c	471	43	    pLen = v * (((word32)passLen + v - 1) / v);	/	mdiv	O1--instcombine-max-iterations=0|O2--instcombine-max-iterations=0|O3--instcombine-max-iterations=0|Ofast--instcombine-max-iterations=0|Os--instcombine-max-iterations=0|Oz--instcombine-max-iterations=0
TlsSessionCacheGetAndLock	./src/ssl_sess.c	1093	42	    row = HashObject(id, ID_LEN, &error) % SESSION_ROWS;	%	mdiv	O2--fast-isel|O3--fast-isel|Ofast--fast-isel|Os--fast-isel
sp_div_d	wolfcrypt/src/sp_int.c	6932	22	            tt += tr / 10;	/	mdiv	O2--fast-isel|O3--fast-isel|Ofast--fast-isel
sp_div_d	wolfcrypt/src/sp_int.c	6906	21	            tr = tr % 10;	%	mdiv	O2--fast-isel|O3--fast-isel|Ofast--fast-isel
AddSessionToCache	./src/ssl_sess.c	1843	46	    row = (int)(HashObject(id, ID_LEN, &ret) % SESSION_ROWS);	%	mdiv	O2--fast-isel|O3--fast-isel|Ofast--fast-isel|Os--fast-isel
wolfSSL_GetSessionClient	./src/ssl_sess.c	959	47	    row = HashObject(id, (word32)len, &error) % CLIENT_SESSION_ROWS;	%	mdiv	O2--fast-isel|O3--fast-isel|Ofast--fast-isel|Os--fast-isel
GenerateM0	wolfcrypt/src/aes.c	6624	38	        r8[i] = (byte)(z8[i-1] << 4) | (byte)(z8[i] >> 4);	|	cjump	O2--force-vector-width=100|O2--force-vector-width=50
_sp_invmod	wolfcrypt/src/sp_int.c	7301	46	        r->dp[i] = (a->dp[i] >> 1) | (a->dp[i+1] << (SP_WORD_SIZE - 1));	+	cjump	O2--force-vector-interleave=100|O2--force-vector-interleave=50|O2--force-vector-width=100|O2--force-vector-width=50|O3--force-vector-interleave=100|O3--force-vector-interleave=50|O3--force-vector-width=100|O3--force-vector-width=50|Ofast--force-vector-interleave=100|Ofast--force-vector-interleave=50|Ofast--force-vector-width=100|Ofast--force-vector-width=50
wc_Sha256Final	wolfcrypt/src/sha256.c	111	25	        return (x << y) | (x >> (sizeof(x) * 8 - y));	|	cjump	O2--force-vector-width=100|O2--force-vector-width=50
sp_div_2	wolfcrypt/src/sp_int.c	7301	46	        r->dp[i] = (a->dp[i] >> 1) | (a->dp[i+1] << (SP_WORD_SIZE - 1));	+	cjump	O2--force-vector-interleave=100|O2--force-vector-interleave=50|O2--force-vector-width=100|O2--force-vector-width=50|O3--force-vector-interleave=100|O3--force-vector-interleave=50|O3--force-vector-width=100|O3--force-vector-width=50|Ofast--force-vector-interleave=100|Ofast--force-vector-interleave=50|Ofast--force-vector-width=100|Ofast--force-vector-width=50
sp_read_unsigned_bin	wolfcrypt/src/sp_int.c	18097	14	            j++;	+	cjump	O2--force-vector-interleave=100|O2--force-vector-interleave=50|O2--force-vector-width=100|O2--force-vector-width=50|O3--force-vector-interleave=100|O3--force-vector-interleave=50|O3--force-vector-width=100|O3--force-vector-width=50|Ofast--force-vector-interleave=100|Ofast--force-vector-interleave=50|Ofast--force-vector-width=100|Ofast--force-vector-width=50
sp_div_2_mod_ct	wolfcrypt/src/sp_int.c	7301	46	        r->dp[i] = (a->dp[i] >> 1) | (a->dp[i+1] << (SP_WORD_SIZE - 1));	+	cjump	O2--force-vector-interleave=100|O2--force-vector-interleave=50|O2--force-vector-width=100|O2--force-vector-width=50|O3--force-vector-interleave=100|O3--force-vector-interleave=50|O3--force-vector-width=100|O3--force-vector-width=50|Ofast--force-vector-interleave=100|Ofast--force-vector-interleave=50|Ofast--force-vector-width=100|Ofast--force-vector-width=50
BuildMessage	src/internal.c	23682	71	                                                      args->digestSz) % blockSz;	%	mdiv	O2--enable-gvn-sink|O3--enable-gvn-sink|Ofast--enable-gvn-sink|Os--enable-gvn-sink|Oz--enable-gvn-sink
wc_PKCS12_PBKDF_ex	wolfcrypt/src/pwdbased.c	519	29	        for (i = 0; i < v; i++)	+	mdiv	O2--force-vector-interleave=100|O2--force-vector-interleave=50|O3--force-vector-interleave=100|O3--force-vector-interleave=50|Ofast--force-vector-interleave=100|Ofast--force-vector-interleave=50
sp_div_d	wolfcrypt/src/sp_int.c	6718	7	    w /= d;	/	mdiv	O2--unroll-force-peel-count=100|O2--unroll-force-peel-count=50|O3--unroll-force-peel-count=100|O3--unroll-force-peel-count=50|Ofast--unroll-force-peel-count=100|Ofast--unroll-force-peel-count=50|Os--unroll-force-peel-count=100|Os--unroll-force-peel-count=50
sp_mod_d	wolfcrypt/src/sp_int.c	7198	29	        w -= (sp_int_word)t * d;	*	mdiv	O2--unroll-force-peel-count=100|O2--unroll-force-peel-count=50|O3--unroll-force-peel-count=100|O3--unroll-force-peel-count=50|Ofast--unroll-force-peel-count=100|Ofast--unroll-force-peel-count=50|Os--unroll-force-peel-count=100|Os--unroll-force-peel-count=50
sp_div_d	wolfcrypt/src/sp_int.c	7083	29	        w -= (sp_int_word)t * d;	*	mdiv	O3--unroll-force-peel-count=100|O3--unroll-force-peel-count=50|Ofast--unroll-force-peel-count=100|Ofast--unroll-force-peel-count=50
SetASN_Num	wolfcrypt/src/asn.c	826	23	    len = (byte)(bits / 8);	/	mdiv	Os--fast-isel|Os-fglobal-isel|Oz--fast-isel|Oz-fglobal-isel
AddSessionToCache	./src/ssl_sess.c	1869	38	    for (i = 0; i < SESSIONS_PER_ROW && i < sessRow->totalCount; i++) {	&	mdiv	Os--fast-isel
_sp_mul	wolfcrypt/src/sp_int.c	9357	21	                w = (sp_int_word)a->dp[i] * b->dp[j];	(	cjump	Os--force-vector-width=100|Os--force-vector-width=50
wc_HmacSetKey_ex	wolfcrypt/src/hmac.c	759	19	            ip[i] ^= IPAD;	^	cjump	Os--force-vector-width=100|Os--force-vector-width=50
TimingPadVerify	src/internal.c	20929	37	        good |= mask & (data[sz - 1 - i] ^ paddingSz);	-	cjump	Os--force-vector-width=100|Os--force-vector-width=50
_sp_sqr	wolfcrypt/src/sp_int.c	15036	21	                w = (sp_int_word)a->dp[i] * a->dp[j];	(	cjump	Os--force-vector-width=100|Os--force-vector-width=50
TimingPadVerify	src/internal.c	20983	45	            good |= expMac[i] ^ mac[(i + r) & (macSz - 1)];	&	cjump	Os--force-vector-width=100|Os--force-vector-width=50
wc_HmacSetKey_ex	wolfcrypt/src/hmac.c	758	34	            op[i] = (byte)(ip[i] ^ OPAD);	^	cjump	Os--force-vector-width=100|Os--force-vector-width=50
wc_AesSetKey	wolfcrypt/src/aes.c	111	25	        return (x << y) | (x >> (sizeof(x) * 8 - y));	|	cjump	Os--force-vector-interleave=100|Os--force-vector-interleave=50|Os--force-vector-width=100|Os--force-vector-width=50
SetASN_Num	wolfcrypt/src/asn.c	866	22	        out[idx++] = (byte)(n >> j);	(	cjump	Os--mips-mixed-16-32|Os-fprofile-instr-generate
AddSessionToCache	./src/ssl_sess.c	1932	9	    if (!overwrite)	!	mdiv	Oz--enable-mem-prof|Oz-fmemory-profile|Oz-fprofile-generate|Oz-ftrapv
_sp_exptmod_base_2	wolfcrypt/src/sp_int.c	13819	38	        c -= (digits * SP_WORD_SIZE) % EXP2_WINSIZE;	%	mdiv	Oz-fforce-enable-int128
DoHandShakeMsgType	src/internal.c	32964	55	                            ssl->options.peerAuthGood =	=	mmem	Oz--pre-RA-sched=source|Oz--regalloc=fast
AddSessionToCache	./src/ssl_sess.c	615	5	    while (len--) *z++ = 0;	w	mdiv	Oz--inline-call-penalty=100|Oz--inline-call-penalty=50|Oz--inline-threshold=100|Oz--inline-threshold=50
