function	file	line	col	source	char	type	optimization
wc_PRF_TLSv1	wolfcrypt/src/kdf.c	257	39	    sha_half = secret + half - secLen % 2;	%	mdiv	O0-fglobal-isel
Base64_Decode_nonCT	wolfcrypt/src/coding.c	174	62	    word32 plainSz = inLen - ((inLen + (BASE64_LINE_SZ - 1)) / BASE64_LINE_SZ );	/	mdiv	O0-fglobal-isel
GeneratePrivateDh	wolfcrypt/src/dh.c	1268	79	                sz = min(sz, 2 * DiscreteLogWorkFactor(sz * WOLFSSL_BIT_SIZE) /	/	mdiv	O0-fglobal-isel
GHASH	wolfcrypt/src/aes.c	7452	22	        blocks = aSz / WC_AES_BLOCK_SIZE;	/	mdiv	O0-fglobal-isel
ByteReverseWords	./wolfcrypt/src/misc.c	191	33	        word32 count = byteCount/(word32)sizeof(word32);	/	mdiv	O0-fglobal-isel
AES_GCM_decrypt_C	wolfcrypt/src/aes.c	9116	25	    word32 partial = sz % WC_AES_BLOCK_SIZE;	%	mdiv	O0-fglobal-isel
GHASH	wolfcrypt/src/aes.c	7470	23	        partial = cSz % WC_AES_BLOCK_SIZE;	%	mdiv	O0-fglobal-isel
Base64_Decode	wolfcrypt/src/coding.c	280	33	    plainSz = (plainSz * 3 + 3) / 4;	/	mdiv	O0-fglobal-isel
wc_AesCbcDecrypt	wolfcrypt/src/aes.c	5934	16	        if (sz % WC_AES_BLOCK_SIZE) {	%	mdiv	O0-fglobal-isel
wc_AesCbcEncrypt	wolfcrypt/src/aes.c	5757	21	        blocks = sz / WC_AES_BLOCK_SIZE;	/	mdiv	O0-fglobal-isel
Base64_Decode	wolfcrypt/src/coding.c	277	62	    word32 plainSz = inLen - ((inLen + (BASE64_LINE_SZ - 1)) / BASE64_LINE_SZ );	/	mdiv	O0-fglobal-isel
wc_AesSetKeyLocal	wolfcrypt/src/aes.c	4566	30	        aes->rounds = (keylen/4) + 6;	/	mdiv	O0-fglobal-isel
AES_GCM_encrypt_C	wolfcrypt/src/aes.c	8568	25	    word32 partial = sz % WC_AES_BLOCK_SIZE;	%	mdiv	O0-fglobal-isel
SizeASN_Num	wolfcrypt/src/asn.c	622	32	    len = 1 + 1 + (word32)bits / 8;	/	mdiv	O0-fglobal-isel
AES_GCM_encrypt_C	wolfcrypt/src/aes.c	8567	24	    word32 blocks = sz / WC_AES_BLOCK_SIZE;	/	mdiv	O0-fglobal-isel
Base64_Decode_nonCT	wolfcrypt/src/coding.c	178	33	    plainSz = (plainSz * 3 + 3) / 4;	/	mdiv	O0-fglobal-isel
GHASH	wolfcrypt/src/aes.c	7469	22	        blocks = cSz / WC_AES_BLOCK_SIZE;	/	mdiv	O0-fglobal-isel
wc_AesCbcDecrypt	wolfcrypt/src/aes.c	5933	21	        blocks = sz / WC_AES_BLOCK_SIZE;	/	mdiv	O0-fglobal-isel
AES_GCM_decrypt_C	wolfcrypt/src/aes.c	9115	24	    word32 blocks = sz / WC_AES_BLOCK_SIZE;	/	mdiv	O0-fglobal-isel
wc_PRF_TLSv1	wolfcrypt/src/kdf.c	227	37	    word32      half = (secLen + 1) / 2;	/	mdiv	O0-fglobal-isel
GHASH	wolfcrypt/src/aes.c	7453	23	        partial = aSz % WC_AES_BLOCK_SIZE;	%	mdiv	O0-fglobal-isel
ByteReverseWords64	./wolfcrypt/src/misc.c	362	29	    word32 count = byteCount/(word32)sizeof(word64), i;	/	mdiv	O0-fglobal-isel
sp_to_unsigned_bin_at_pos	wolfcrypt/src/sp_int.c	18035	38	        cnt = (sp_count_bits(a) + 7) / 8;	/	mdiv	O1--fast-isel|O2--fast-isel|O3--fast-isel|Ofast--fast-isel|Os--fast-isel
wc_HKDF_Expand_ex	wolfcrypt/src/hmac.c	1535	35	        if (out == NULL || ((outSz/hashSz) + ((outSz % hashSz) != 0)) > 255) {	/	mdiv	O1--fast-isel|O2--fast-isel|O3--fast-isel|Ofast--fast-isel|Os--fast-isel|Oz--fast-isel
TimingPadVerify	src/internal.c	20988	45	            good |= expMac[i] ^ mac[(i + r) % WC_SHA_DIGEST_SIZE];	%	mdiv	O1--fast-isel|O2--fast-isel|Os--fast-isel
wc_Asn1_PrintAll	wolfcrypt/src/asn.c	41716	37	                out[1] = (word16)(t % 40);	%	mdiv	O1--fast-isel|O2--fast-isel|O3--fast-isel|Ofast--fast-isel|Os--fast-isel
wolfSSL_SetMinRsaKey_Sz	src/ssl.c	2999	38	    ssl->options.minRsaKeySz = keySz / 8;	/	mdiv	O1--fast-isel
wc_Asn1PrintOptions_Set	wolfcrypt/src/asn.c	41602	28	            opts->show_oid = (val > 0);	=	cjump	O1--fast-isel|O2--fast-isel|O3--fast-isel|Ofast--fast-isel|Os--fast-isel|Oz--fast-isel
sp_radix_size	wolfcrypt/src/sp_int.c	18788	46	            int cnt = (sp_count_bits(a) + 3) / 4;	/	mdiv	O1--fast-isel|O2--fast-isel|O3--fast-isel|Ofast--fast-isel|Os--fast-isel
SetImplicit	wolfcrypt/src/asn.c	17346	34	            ASN_CONSTRUCTED : 0) | ASN_CONTEXT_SPECIFIC | number);	|	cjump	O1--fast-isel|O2--fast-isel|O3--fast-isel|Ofast--fast-isel|Os--fast-isel|Oz--fast-isel
wolfSSL_set_verify	src/ssl.c	9005	25	        opts.verifyNone = (mode == WOLFSSL_VERIFY_NONE);	=	cjump	O1--fast-isel
SendCertificate	src/internal.c	773	32	        return (a & ~gte_mask) | (b & gte_mask);	|	cjump	O1--fast-isel|O2--fast-isel|O3--fast-isel|Ofast--fast-isel|Os--fast-isel|Oz--fast-isel
wc_Asn1PrintOptions_Set	wolfcrypt/src/asn.c	41607	32	            opts->show_no_text = (val > 0);	=	cjump	O1--fast-isel|O2--fast-isel|O3--fast-isel|Ofast--fast-isel|Os--fast-isel|Oz--fast-isel
wolfSSL_GetSessionClient	./src/ssl_sess.c	1307	12	    return *error == 0 ? MakeWordFromHash(digest) : 0; /* 0 on failure */	*	mdiv	O1--fast-isel|Oz-fprofile-generate
