function	file	line	col	source	char	type	optimization
br_pem_encode	src/codec/pemenc.c	82	46	 dlen = (banner_len << 1) + 30 + (((len + 2) / 3) << 2)	/	cjump	O0--expand-div-rem-bits=0|O0--expand-div-rem-bits=50|O1--expand-div-rem-bits=0|O1--expand-div-rem-bits=50|O2--expand-div-rem-bits=0|O2--expand-div-rem-bits=50|O3--expand-div-rem-bits=0|O3--expand-div-rem-bits=50|Ofast--expand-div-rem-bits=0|Ofast--expand-div-rem-bits=50|Os--expand-div-rem-bits=0|Os--expand-div-rem-bits=50|Oz--expand-div-rem-bits=0|Oz--expand-div-rem-bits=50
br_x509_minimal_run	src/x509/x509_minimal.c	1223	22	   vs = (uint32_t)(x % 86400);	%	cjump	O0--expand-div-rem-bits=0|O0--expand-div-rem-bits=50
br_pem_encode	src/codec/pemenc.c	78	22	  lines = (len + 47) / 48;	/	cjump	O0--expand-div-rem-bits=0|O0--expand-div-rem-bits=50
br_x509_minimal_run	src/x509/x509_minimal.c	1222	22	   vd = (uint32_t)(x / 86400) + 719528;	/	cjump	O0--expand-div-rem-bits=0|O0--expand-div-rem-bits=50|O1--expand-div-rem-bits=0|O1--expand-div-rem-bits=50|O2--expand-div-rem-bits=0|O2--expand-div-rem-bits=50|O3--expand-div-rem-bits=0|O3--expand-div-rem-bits=50|Ofast--expand-div-rem-bits=0|Ofast--expand-div-rem-bits=50|Os--expand-div-rem-bits=0|Os--expand-div-rem-bits=50|Oz--expand-div-rem-bits=0|Oz--expand-div-rem-bits=50
br_pem_encode	src/codec/pemenc.c	80	22	  lines = (len + 56) / 57;	/	cjump	O0--expand-div-rem-bits=0|O0--expand-div-rem-bits=50
br_pem_encode	src/codec/pemenc.c	78	22	  lines = (len + 47) / 48;	/	mdiv	O0--global-isel|O0-fglobal-isel
br_pem_encode	src/codec/pemenc.c	80	22	  lines = (len + 56) / 57;	/	mdiv	O0--global-isel|O0-fglobal-isel
br_pem_encode	src/codec/pemenc.c	82	46	 dlen = (banner_len << 1) + 30 + (((len + 2) / 3) << 2)	/	mdiv	O0--global-isel|O0-fglobal-isel
br_x509_minimal_run	src/x509/x509_minimal.c	1222	22	   vd = (uint32_t)(x / 86400) + 719528;	/	mdiv	O0--global-isel|O0-fglobal-isel
certificate_to_trust_anchor_inner	tools/certs.c	73	31	  ta->pkey.key.ec.curve = pk->key.ec.curve;	k	cjump	O1--disable-cgp|O1--disable-complex-addr-modes
decode_key	tools/keys.c	71	41	  sk->key.rsa.dq = xblobdup(rk->dq, rk->dqlen);	d	cjump	O1--disable-cgp|O1--disable-complex-addr-modes|O1-fmemory-profile|O3--disable-cgp|O3--disable-complex-addr-modes|O3-fmemory-profile|Ofast--disable-cgp|Ofast--disable-complex-addr-modes|Ofast-fmemory-profile
decode_key	tools/keys.c	65	39	  sk->key.rsa.p = xblobdup(rk->p, rk->plen);	p	cjump	O1--disable-cgp|O1--disable-complex-addr-modes|O3--disable-cgp|O3--disable-complex-addr-modes|Ofast--disable-cgp|Ofast--disable-complex-addr-modes
decode_key	tools/keys.c	69	41	  sk->key.rsa.dp = xblobdup(rk->dp, rk->dplen);	d	cjump	O1--disable-cgp|O1--disable-complex-addr-modes|O3--disable-cgp|O3--disable-complex-addr-modes|Ofast--disable-cgp|Ofast--disable-complex-addr-modes
decode_key	tools/keys.c	71	33	  sk->key.rsa.dq = xblobdup(rk->dq, rk->dqlen);	d	cjump	O1--disable-cgp|O1--disable-complex-addr-modes|O3--disable-cgp|O3--disable-complex-addr-modes|Ofast--disable-cgp|Ofast--disable-complex-addr-modes
certificate_to_trust_anchor_inner	tools/certs.c	66	37	  ta->pkey.key.rsa.n = xblobdup(pk->key.rsa.n, pk->key.rsa.nlen);	k	cjump	O1--disable-cgp|O1--disable-complex-addr-modes
decode_key	tools/keys.c	67	39	  sk->key.rsa.q = xblobdup(rk->q, rk->qlen);	q	cjump	O1--disable-cgp|O1--disable-complex-addr-modes|O3--disable-cgp|O3--disable-complex-addr-modes|Ofast--disable-cgp|Ofast--disable-complex-addr-modes
decode_key	tools/keys.c	69	33	  sk->key.rsa.dp = xblobdup(rk->dp, rk->dplen);	d	cjump	O1--disable-cgp|O1--disable-complex-addr-modes|O3--disable-cgp|O3--disable-complex-addr-modes|Ofast--disable-cgp|Ofast--disable-complex-addr-modes
certificate_to_trust_anchor_inner	tools/certs.c	66	60	  ta->pkey.key.rsa.n = xblobdup(pk->key.rsa.n, pk->key.rsa.nlen);	n	cjump	O1--disable-cgp|O1--disable-complex-addr-modes
decode_key	tools/keys.c	82	31	  sk->key.ec.x = xblobdup(ek->x, ek->xlen);	x	cjump	O1--disable-cgp|O1--disable-complex-addr-modes|O3--disable-cgp|O3--disable-complex-addr-modes|Ofast--disable-cgp|Ofast--disable-complex-addr-modes
decode_key	tools/keys.c	67	32	  sk->key.rsa.q = xblobdup(rk->q, rk->qlen);	q	cjump	O1--disable-cgp|O1--disable-complex-addr-modes|O3--disable-cgp|O3--disable-complex-addr-modes|Ofast--disable-cgp|Ofast--disable-complex-addr-modes
decode_key	tools/keys.c	73	33	  sk->key.rsa.iq = xblobdup(rk->iq, rk->iqlen);	i	cjump	O1--disable-cgp|O1--disable-complex-addr-modes|O1-fmemory-profile|O3--disable-cgp|O3--disable-complex-addr-modes|O3-fmemory-profile|Ofast--disable-cgp|Ofast--disable-complex-addr-modes|Ofast-fmemory-profile
certificate_to_trust_anchor_inner	tools/certs.c	68	60	  ta->pkey.key.rsa.e = xblobdup(pk->key.rsa.e, pk->key.rsa.elen);	e	cjump	O1--disable-cgp|O1--disable-complex-addr-modes
certificate_to_trust_anchor_inner	tools/certs.c	74	57	  ta->pkey.key.ec.q = xblobdup(pk->key.ec.q, pk->key.ec.qlen);	q	cjump	O1--disable-cgp|O1--disable-complex-addr-modes
decode_key	tools/keys.c	73	41	  sk->key.rsa.iq = xblobdup(rk->iq, rk->iqlen);	i	cjump	O1--disable-cgp|O1--disable-complex-addr-modes|O1-fmemory-profile|O3--disable-cgp|O3--disable-complex-addr-modes|O3-fmemory-profile|Ofast--disable-cgp|Ofast--disable-complex-addr-modes|Ofast-fmemory-profile
decode_key	tools/keys.c	82	38	  sk->key.ec.x = xblobdup(ek->x, ek->xlen);	x	cjump	O1--disable-cgp|O1--disable-complex-addr-modes|O3--disable-cgp|O3--disable-complex-addr-modes|Ofast--disable-cgp|Ofast--disable-complex-addr-modes
certificate_to_trust_anchor_inner	tools/certs.c	68	45	  ta->pkey.key.rsa.e = xblobdup(pk->key.rsa.e, pk->key.rsa.elen);	e	cjump	O1--disable-cgp|O1--disable-complex-addr-modes
decode_key	tools/keys.c	65	32	  sk->key.rsa.p = xblobdup(rk->p, rk->plen);	p	cjump	O1--disable-cgp|O1--disable-complex-addr-modes|O3--disable-cgp|O3--disable-complex-addr-modes|Ofast--disable-cgp|Ofast--disable-complex-addr-modes
certificate_to_trust_anchor_inner	tools/certs.c	74	43	  ta->pkey.key.ec.q = xblobdup(pk->key.ec.q, pk->key.ec.qlen);	q	cjump	O1--disable-cgp|O1--disable-complex-addr-modes
parse_size	tools/names.c	813	27	  if (z < (size_t)d || (z / (size_t)radix) != acc	/	mdiv	O1--disable-machine-sink|O1--jump-is-expensive|O1--simplifycfg-branch-fold-threshold=0|O1-fprofile-arcs|O1-fprofile-instr-generate|O1-fpseudo-probe-for-profiling|O2--disable-machine-sink|O2--jump-is-expensive|O2--simplifycfg-branch-fold-threshold=0|O2--unroll-force-peel-count=100|O2--unroll-force-peel-count=50|O2-fprofile-arcs|O2-fprofile-instr-generate|O2-fpseudo-probe-for-profiling|O3--disable-machine-sink|O3--jump-is-expensive|O3--simplifycfg-branch-fold-threshold=0|O3--unroll-force-peel-count=100|O3--unroll-force-peel-count=50|O3-fprofile-arcs|O3-fprofile-instr-generate|O3-fpseudo-probe-for-profiling|Ofast--disable-machine-sink|Ofast--jump-is-expensive|Ofast--simplifycfg-branch-fold-threshold=0|Ofast--unroll-force-peel-count=100|Ofast--unroll-force-peel-count=50|Ofast-fprofile-arcs|Ofast-fprofile-instr-generate|Ofast-fpseudo-probe-for-profiling|Os--disable-machine-sink|Os--jump-is-expensive|Os--simplifycfg-branch-fold-threshold=0|Os--unroll-force-peel-count=50|Os-fprofile-arcs|Os-fprofile-instr-generate|Os-fpseudo-probe-for-profiling|Oz--disable-machine-sink|Oz--jump-is-expensive|Oz--simplifycfg-branch-fold-threshold=0|Oz-fprofile-arcs|Oz-fprofile-instr-generate|Oz-fpseudo-probe-for-profiling
br_i15_muladd_small	src/int/i15_muladd.c	44	15	  x -= (-ctl) & d;	&	cjump	O1--disable-select-optimize=false|O2--disable-select-optimize=false
br_i62_modpow_opt	src/int/i62_modpow2.c	424	20	     t2[v] |= mask & base[v];	&	cjump	O1--enable-nontrivial-unswitch|O2--enable-nontrivial-unswitch|Os-fglobal-isel|Oz-fglobal-isel
p256_mulgen	src/ec/ec_p256_m31.c	1281	15	   xy[u] |= m & Gwin[k][u];	&	cjump	O1--enable-nontrivial-unswitch|O2--enable-nontrivial-unswitch
br_i31_modpow_opt	src/int/i31_modpow2.c	141	20	     t2[v] |= mask & base[v];	&	cjump	O1--enable-nontrivial-unswitch|O2--enable-nontrivial-unswitch
br_i15_modpow_opt	src/int/i15_modpow2.c	141	12	     t2[v] |= mask & base[v];	|	cjump	O1--enable-nontrivial-unswitch|O2--enable-nontrivial-unswitch
br_i15_decode_mod	src/int/i15_decmod.c	772	19	 return y ^ (-ctl & (x ^ y));	&	cjump	O1-fglobal-isel|Os-fglobal-isel|Oz-fglobal-isel
br_rsa_i15_compute_pubexp	src/rsa/rsa_i15_pubexp.c	151	12	 return ep & -EQ(ep, eq);	&	cjump	O1-fglobal-isel|O2-fglobal-isel|O3-fglobal-isel|Ofast-fglobal-isel|Os-fglobal-isel|Oz-fglobal-isel
