function	file	line	col	source	char	type	optimization
do_bf_setkey	blowfish.c	990	29	             ((u32)key[(j+3)%keylen]);	%	cjump	O0--expand-div-rem-bits=0
do_ghash_buf	cipher-gcm.c	778	24	      nblocks = buflen / blocksize;	/	cjump	O0--expand-div-rem-bits=0|O0--expand-div-rem-bits=50
mul_inv	idea.c	88	8	 q = y / x;	/	cjump	O0--expand-div-rem-bits=0
mul_inv	idea.c	84	8	 x = x % y;	%	cjump	O0--expand-div-rem-bits=0
do_bf_setkey	blowfish.c	992	17	      j = (j+4) % keylen;	%	cjump	O0--expand-div-rem-bits=0
argon2_compute_segment	kdf.c	736	35	        ref_lane = (rand64 >> 32) % a->lanes;	%	cjump	O0--expand-div-rem-bits=0|O0--expand-div-rem-bits=50|O1--expand-div-rem-bits=0|O1--expand-div-rem-bits=50|O2--expand-div-rem-bits=0|O3--expand-div-rem-bits=0|Ofast--expand-div-rem-bits=0|Os--expand-div-rem-bits=0|Oz--expand-div-rem-bits=0
scrypt_ro_mix	scrypt.c	211	45	      j = LE_READ_UINT64 (&X[128 * r - 64]) % N;	%	cjump	O0--expand-div-rem-bits=0|O0--expand-div-rem-bits=50
sha3_update	./jitterentropy-sha3.c	282	32	 size_t partial = ctx->msg_len % ctx->r;	%	cjump	O0--expand-div-rem-bits=0|O0--expand-div-rem-bits=50
do_polyval_buf	cipher-gcm-siv.c	156	24	      nblocks = buflen / blocksize;	/	cjump	O0--expand-div-rem-bits=0|O0--expand-div-rem-bits=50
_gcry_kdf_pkdf2	kdf.c	164	19	  l = ((dklen - 1)/ hlen) + 1;	/	cjump	O0--expand-div-rem-bits=0|O0--expand-div-rem-bits=50|O1--expand-div-rem-bits=0|O1--expand-div-rem-bits=50|O2--expand-div-rem-bits=0|O3--expand-div-rem-bits=0|Ofast--expand-div-rem-bits=0|Os--expand-div-rem-bits=0|Oz--expand-div-rem-bits=0
_gcry_generate_fips186_2_prime	primegen.c	1491	25	  value_n = (pbits - 1) / qbits;	/	cjump	O0--expand-div-rem-bits=0
mul_inv	idea.c	76	20	    t1 = 0x10001UL / x;	/	cjump	O0--expand-div-rem-bits=0|O0--expand-div-rem-bits=50|Os--expand-div-rem-bits=0|Oz--expand-div-rem-bits=0
mul_inv	idea.c	83	8	 q = x / y;	/	cjump	O0--expand-div-rem-bits=0
blake2_write	blake2.c	197	39	   nblks = inlen / blkbytes - !(inlen % blkbytes);	%	cjump	O0--expand-div-rem-bits=0|O0--expand-div-rem-bits=50
drbg_ctr_df	random-drbg.c	787	42	  padlen = (inputlen + sizeof (L_N) + 1) % (drbg_blocklen (drbg));	%	cjump	O0--expand-div-rem-bits=0|O0--expand-div-rem-bits=50
blake2_write	blake2.c	197	18	   nblks = inlen / blkbytes - !(inlen % blkbytes);	/	cjump	O0--expand-div-rem-bits=0|O0--expand-div-rem-bits=50|Os--expand-div-rem-bits=0|Os--expand-div-rem-bits=50|Oz--expand-div-rem-bits=0|Oz--expand-div-rem-bits=50
balloon_open	kdf.c	1136	33	  b->n_blocks = (s_cost * 1024) / b->blklen;	/	cjump	O0--expand-div-rem-bits=0
cshake_input_s	keccak.c	1697	42	  padlen = ctx->blocksize - (len_written % ctx->blocksize);	%	cjump	O0--expand-div-rem-bits=0|Os--expand-div-rem-bits=0|Oz--expand-div-rem-bits=0
