function	file	line	col	source	char	type	optimization
be64dec_vect	crypto_hash/sha512/cp/hash_sha512_cp.c	55	25	    for (i = 0; i < len / 8; i++) {	/	mdiv	O0
_sodium_escrypt_gensalt_r	crypto_pwhash/scryptsalsa208sha256/crypto_scrypt-common.c	209	22	    size_t saltlen = BYTES2CHARS(srclen);	B	mdiv	O0|Oz
_encrypt	crypto_core/softaes/softaes.c	261	27	        of[j][1] = ix1[j] % SOFTAES_STRIDE;	%	mdiv	O0
crypto_stream_chacha20_ietf_xor_ic	crypto_stream/chacha20/stream_chacha20.c	137	57	        (64ULL * (1ULL << 32)) / 64ULL - (mlen + 63ULL) / 64ULL) {	/	mdiv	O0
required_blocks	crypto_aead/aes256gcm/armcrypto/aead_aes256gcm_armcrypto.c	412	44	    const size_t ad_blocks = (ad_len + 15) / 16;	/	mdiv	O0
pickparams	crypto_pwhash/scryptsalsa208sha256/pwhash_scryptsalsa208sha256.c	29	29	    if (opslimit < memlimit / 32) {	/	mdiv	O0
pickparams	crypto_pwhash/scryptsalsa208sha256/pwhash_scryptsalsa208sha256.c	40	49	            if ((uint64_t)(1) << *N_log2 > maxN / 2) {	/	mdiv	O0
generate_addresses	crypto_pwhash/argon2/argon2-fill-block-ref.c	138	49	            pseudo_rands[i] = address_block.v[i % ARGON2_ADDRESSES_IN_BLOCK];	%	mdiv	O0
_encrypt	crypto_core/softaes/softaes.c	295	15	    out.w3 ^= ROTL32(t[3][2][ix2[3] / SOFTAES_STRIDE], 16);	R	mdiv	O0
pickparams	crypto_pwhash/scryptsalsa208sha256/pwhash_scryptsalsa208sha256.c	33	49	            if ((uint64_t)(1) << *N_log2 > maxN / 2) {	/	mdiv	O0
_encrypt	crypto_core/softaes/softaes.c	289	15	    out.w2 ^= ROTL32(t[2][1][ix1[2] / SOFTAES_STRIDE], 8);	R	mdiv	O0
_sodium_ge25519_double_scalarmult_vartime	crypto_core/ed25519/ref10/ed25519_ref10.c	835	54	            ge25519_add_cached(&t, &u, &Ai[aslide[i] / 2]);	/	mdiv	O0
_encrypt	crypto_core/softaes/softaes.c	284	15	    out.w1 ^= ROTL32(t[1][1][ix1[1] / SOFTAES_STRIDE], 8);	R	mdiv	O0
u32_to_string	crypto_pwhash/argon2/argon2-encoding.c	221	23	        tmp[--i] = (x % (uint32_t) 10U) + '0';	%	mdiv	O0
sodium_allocarray	sodium/utils.c	654	58	    if (count > (size_t) 0U && size >= (size_t) SIZE_MAX / count) {	/	mdiv	O0|O1|O2|O3|Ofast|Os|Oz
_encrypt	crypto_core/softaes/softaes.c	262	27	        of[j][2] = ix2[j] % SOFTAES_STRIDE;	%	mdiv	O0
pickparams	crypto_pwhash/scryptsalsa208sha256/pwhash_scryptsalsa208sha256.c	38	25	        maxN = memlimit / ((size_t) *r * 128);	/	mdiv	O0
_sodium_ge25519_scalarmult_base	crypto_core/ed25519/ref10/ed25519_ref10.c	986	34	        ge25519_cmov8_base(&t, i / 2, e[i]);	/	mdiv	O0
required_blocks	crypto_aead/aes256gcm/armcrypto/aead_aes256gcm_armcrypto.c	413	43	    const size_t m_blocks  = (m_len + 15) / 16;	/	mdiv	O0
_encrypt	crypto_core/softaes/softaes.c	290	15	    out.w2 ^= ROTL32(t[2][2][ix2[2] / SOFTAES_STRIDE], 16);	R	mdiv	O0
_encrypt	crypto_core/softaes/softaes.c	280	15	    out.w0 ^= ROTL32(t[0][2][ix2[0] / SOFTAES_STRIDE], 16);	R	mdiv	O0
_encrypt	crypto_core/softaes/softaes.c	260	27	        of[j][0] = ix0[j] % SOFTAES_STRIDE;	%	mdiv	O0
