function	file	line	col	source	char	type	optimization
ossl_ffc_params_FIPS186_4_gen_verify	crypto/ffc/ffc_params_generate.c	679	17	    n = (L - 1) / (mdsize << 3);	/	mdiv	O0
speed_main	apps/speed.c	4484	24	                   1.0 / rsa_results[k][3],	/	mdiv	O0|O1|O2|O3|Ofast|Os|Oz
check_msg_all_certs	crypto/cmp/cmp_vfy.c	449	36	                                   mode_3gpp ? "self-issued extraCerts"	m	cjump	O0|O1|O2|O3|Ofast|Os|Oz
speed_main	apps/speed.c	4232	54	            kems_results[testnum][2] = (double)count / d;	/	mdiv	O0|O1|O2|O3|Ofast|Os|Oz
simple_get_asn1	crypto/x509/x_all.c	119	27	    size_t max_resp_len = (it == ASN1_ITEM_rptr(X509_CRL)) ?	(	cjump	O0|Os|Oz
OPENSSL_LH_delete	crypto/lhash/lhash.c	167	57	        (lh->down_load >= (lh->num_items * LH_LOAD_MULT / lh->num_nodes)))	/	mdiv	O0|O1|O2|O3|Ofast|Os|Oz
s_time_main	apps/s_time.c	396	43	         nConn, totalTime, ((double)nConn / totalTime), bytes_read);	/	mdiv	O0|O1|O2|O3|Ofast|Os|Oz
HKDF_Expand	providers/implementations/kdfs/hkdf.c	631	17	    n = okm_len / dig_len;	/	mdiv	O0
speed_main	apps/speed.c	4647	24	                   1.0 / sigs_results[k][0], 1.0 / sigs_results[k][1],	/	mdiv	O0|O1|O2|O3|Ofast|Os
req_main	apps/req.c	766	35	                                  CAkeyfile != CAfile	C	cjump	O0|O1|O2|O3|Ofast|Os|Oz
ssl3_cbc_digest_record	ssl/record/methods/ssl3_cbc.c	263	36	                                   / md_block_size) + 1);	/	mdiv	O0|O1|O2|O3|Ofast|Os|Oz
fmtfp	crypto/bio/bio_print.c	630	26	                tmpvalue /= 10;	/	mdiv	O0|O1|O2|O3|Os|Oz
speed_main	apps/speed.c	4483	24	                   1.0 / rsa_results[k][1], 1.0 / rsa_results[k][2],	/	mdiv	O0|O1|O2|O3|Ofast|Os|Oz
ssl3_cbc_digest_record	ssl/record/methods/ssl3_cbc.c	306	30	    index_a = mac_end_offset / md_block_size;	/	mdiv	O0
