function	file	line	col	source	char	type	optimization
PQCLEAN_HQC256_CLEAN_vect_resize	vector.c	188	32	            val = 64 - (size_o % 64);	%	mdiv	O0
PQCLEAN_HQC128_CLEAN_vect_resize	vector.c	188	32	            val = 64 - (size_o % 64);	%	mdiv	O0
fft_rec	fft.c	221	35	    fft_rec(u, f0, (f_coeffs + 1) / 2, m - 1, m_f - 1, deltas);	/	mdiv	O0
PQCLEAN_HQC256_CLEAN_store8_arr	parsing.c	52	23	        if (index_out % 8 == 0) {	%	mdiv	O0
PQCLEAN_SPHINCSSHAKE192SSIMPLE_CLEAN_treehashx1	utilsx1.c	89	53	            set_tree_index(tree_addr, (internal_idx / 2) + internal_idx_offset );	/	mdiv	O0
PQCLEAN_HQC192_CLEAN_vect_resize	vector.c	197	26	        memcpy(o, v, 8 * CEIL_DIVIDE(size_v, 64));	C	mdiv	O0
PQCLEAN_HQC256_CLEAN_seedexpander	shake_prng.c	42	37	    const size_t remainder = outlen % bsize;	%	mdiv	O0
solve_NTRU_intermediate	keygen.c	3212	34	        sch = (uint32_t)(scale_k / 31);	/	mdiv	O0|Oz
PQCLEAN_HQC128_CLEAN_store8_arr	parsing.c	50	58	        out8[index_out] = (in64[index_in] >> ((index_out % 8) * 8)) & 0xFF;	%	mdiv	O0
PQCLEAN_SPHINCSSHAKE128FSIMPLE_CLEAN_treehashx1	utilsx1.c	89	53	            set_tree_index(tree_addr, (internal_idx / 2) + internal_idx_offset );	/	mdiv	O0
PQCLEAN_HQC192_CLEAN_vect_resize	vector.c	188	32	            val = 64 - (size_o % 64);	%	mdiv	O0
PQCLEAN_HQC192_CLEAN_store8_arr	parsing.c	50	58	        out8[index_out] = (in64[index_in] >> ((index_out % 8) * 8)) & 0xFF;	%	mdiv	O0
PQCLEAN_HQC128_CLEAN_store8_arr	parsing.c	52	23	        if (index_out % 8 == 0) {	%	mdiv	O0
PQCLEAN_MLDSA87_CLEAN_poly_uniform	poly.c	361	22	        off = buflen % 3;	%	mdiv	O0|Oz
PQCLEAN_HQC192_CLEAN_fft	fft.c	297	35	    fft_rec(u, f0, (f_coeffs + 1) / 2, PARAM_M - 1, PARAM_FFT - 1, deltas);	/	mdiv	O0
gf_reduce	gf.c	40	20	    size_t steps = CEIL_DIVIDE(deg_x - (PARAM_M - 1), PARAM_GF_POLY_M2);	C	mdiv	O0
align_fpr	keygen.c	2433	12	    km = k % sizeof(fpr);	%	mdiv	O0
solve_NTRU_intermediate	keygen.c	3213	34	        scl = (uint32_t)(scale_k % 31);	%	mdiv	O0
PQCLEAN_HQC128_CLEAN_seedexpander	shake_prng.c	42	37	    const size_t remainder = outlen % bsize;	%	mdiv	O0
PQCLEAN_SPHINCSSHA2256SSIMPLE_CLEAN_treehashx1	utilsx1.c	89	53	            set_tree_index(tree_addr, (internal_idx / 2) + internal_idx_offset );	/	mdiv	O0
fft_rec	fft.c	233	33	        fft_rec(v, f1, f_coeffs / 2, m - 1, m_f - 1, deltas);	/	mdiv	O0
PQCLEAN_MLDSA65_CLEAN_poly_uniform	poly.c	361	22	        off = buflen % 3;	%	mdiv	O0|Oz
PQCLEAN_SPHINCSSHA2128FSIMPLE_CLEAN_treehashx1	utilsx1.c	89	53	            set_tree_index(tree_addr, (internal_idx / 2) + internal_idx_offset );	/	mdiv	O0
PQCLEAN_HQC256_CLEAN_store8_arr	parsing.c	50	58	        out8[index_out] = (in64[index_in] >> ((index_out % 8) * 8)) & 0xFF;	%	mdiv	O0
align_u32	keygen.c	2452	12	    km = k % sizeof(uint32_t);	%	mdiv	O0
PQCLEAN_SPHINCSSHAKE128SSIMPLE_CLEAN_treehashx1	utilsx1.c	89	53	            set_tree_index(tree_addr, (internal_idx / 2) + internal_idx_offset );	/	mdiv	O0
PQCLEAN_HQC256_CLEAN_vect_resize	vector.c	187	20	        if (size_o % 64) {	%	mdiv	O0
PQCLEAN_HQC256_CLEAN_fft	fft.c	298	29	    fft_rec(v, f1, f_coeffs / 2, PARAM_M - 1, PARAM_FFT - 1, deltas);	/	mdiv	O0
PQCLEAN_HQC128_CLEAN_fft	fft.c	298	29	    fft_rec(v, f1, f_coeffs / 2, PARAM_M - 1, PARAM_FFT - 1, deltas);	/	mdiv	O0
PQCLEAN_SPHINCSSHA2128SSIMPLE_CLEAN_treehashx1	utilsx1.c	89	53	            set_tree_index(tree_addr, (internal_idx / 2) + internal_idx_offset );	/	mdiv	O0
PQCLEAN_SPHINCSSHAKE256FSIMPLE_CLEAN_treehashx1	utilsx1.c	89	53	            set_tree_index(tree_addr, (internal_idx / 2) + internal_idx_offset );	/	mdiv	O0
PQCLEAN_HQC128_CLEAN_fft	fft.c	297	35	    fft_rec(u, f0, (f_coeffs + 1) / 2, PARAM_M - 1, PARAM_FFT - 1, deltas);	/	mdiv	O0
karatsuba	gf2x.c	140	25	    size_l = (size + 1) / 2;	/	mdiv	O0
PQCLEAN_HQC192_CLEAN_store8_arr	parsing.c	52	23	        if (index_out % 8 == 0) {	%	mdiv	O0
PQCLEAN_SPHINCSSHA2192FSIMPLE_CLEAN_treehashx1	utilsx1.c	89	53	            set_tree_index(tree_addr, (internal_idx / 2) + internal_idx_offset );	/	mdiv	O0
PQCLEAN_MLDSA44_CLEAN_poly_uniform	poly.c	361	22	        off = buflen % 3;	%	mdiv	O0|Oz
compute_error_values	reed_solomon.c	255	111	            tmp2 = PQCLEAN_HQC128_CLEAN_gf_mul(tmp2, (1 ^ PQCLEAN_HQC128_CLEAN_gf_mul(inverse, beta_j[(i + k) % PARAM_DELTA])));	%	mdiv	O0
