function	file	line	col	source	char	type	optimization
sp_todecimal	wolfcrypt/src/sp_int.c	18669	9	        DECL_SP_INT(t, a->used + 1);	D	mdiv	O0
wolfSSL_SetMinRsaKey_Sz	src/ssl.c	2986	43	    if (ssl == NULL || keySz < 0 || keySz % 8 != 0) {	%	mdiv	O0
TLSX_SNI_GetFromBuffer	src/tls.c	2547	23	            if (len16 % 3) /* cipher_spec_length must be multiple of 3 */	%	mdiv	O0
wolfSSL_SetMinEccKey_Sz	src/ssl.c	2945	29	        keySzBytes = (keySz / 8) + 1;	/	mdiv	O0
AddSessionToClientCache	./src/ssl_sess.c	1656	48	                ClientCache[clientRow].nextIdx %= CLIENT_SESSIONS_PER_ROW;	%	mdiv	O0|Oz
wc_PRF_TLSv1	wolfcrypt/src/kdf.c	227	37	    word32      half = (secLen + 1) / 2;	/	mdiv	O0
wc_ecc_sign_hash	wolfcrypt/src/ecc.c	6771	5	    NEW_MP_INT_SIZE(r, ECC_KEY_MAX_BITS_NONULLCHECK(key), key->heap, DYNAMIC_TYPE_ECC);	N	mdiv	O0
wolfSSL_CTX_SetMinRsaKey_Sz	src/ssl.c	2979	34	    ctx->cm->minRsaKeySz = keySz / 8;	/	mdiv	O0
RsaFunctionCheckIn	wolfcrypt/src/rsa.c	3118	5	    DECL_MP_INT_SIZE_DYN(c, mp_bitsused(&key->n), RSA_MAX_SIZE);	D	mdiv	O0
AES_GCM_encrypt_C	wolfcrypt/src/aes.c	8567	24	    word32 blocks = sz / WC_AES_BLOCK_SIZE;	/	mdiv	O0
TLSX_PointFormat_ValidateResponse	src/tls.c	4982	5	    TURN_ON(semaphore, TLSX_ToSemaphore(TLSX_EC_POINT_FORMATS));	T	mdiv	O0
_sp_invmod	wolfcrypt/src/sp_int.c	12534	5	    DECL_SP_INT(c, 2 * m->used + 1);	D	mdiv	O0
TLSX_GetResponseSize	src/tls.c	15606	13	            TURN_ON(semaphore, TLSX_ToSemaphore(TLSX_EC_POINT_FORMATS));	T	mdiv	O0
ecc_verify_hash	wolfcrypt/src/ecc.c	8920	10	   err = INIT_MP_INT_SIZE(e, ECC_KEY_MAX_BITS_NONULLCHECK(key));	I	mdiv	O0
_sp_div_small	wolfcrypt/src/sp_int.c	6971	35	    sp_int_digit m = SP_DIGIT_MAX / d;	/	mdiv	O0|O1|Os|Oz
AddSessionToClientCache	./src/ssl_sess.c	1617	36	                    idLen, &error) % CLIENT_SESSION_ROWS;	%	mdiv	O0
TLSX_GetResponseSize	src/tls.c	15548	21	                    TURN_OFF(semaphore,	T	mdiv	O0
_sp_div_10	wolfcrypt/src/sp_int.c	6934	16	            tr %= 10;	%	mdiv	O0
ecc_map_ex	wolfcrypt/src/ecc.c	2712	4	   DECL_MP_INT_SIZE_DYN(t1, mp_bitsused(modulus), MAX_ECC_BITS_USE);	D	mdiv	O0
Hash_df	wolfcrypt/src/random.c	394	19	        + ((outSz % OUTPUT_BLOCK_LEN) ? 1 : 0);	%	mdiv	O0
RsaFunctionPrivate	wolfcrypt/src/rsa.c	2548	14	            (INIT_MP_INT_SIZE(rndi, mp_bitsused(&key->n)) != MP_OKAY)) {	I	mdiv	O0
TLSX_GetResponseSize	src/tls.c	15613	13	            TURN_ON(semaphore, TLSX_ToSemaphore(TLSX_KEY_SHARE));	T	mdiv	O0
sp_read_unsigned_bin	wolfcrypt/src/sp_int.c	18070	59	        a->used = (sp_size_t)((inSz + SP_WORD_SIZEOF - 1) / SP_WORD_SIZEOF);	/	mdiv	O0
