function	file	line	col	source	char	type	optimization
br_pem_encode	src/codec/pemenc.c	80	22	  lines = (len + 56) / 57;	/	cjump	O0--expand-div-rem-bits=0|O0--expand-div-rem-bits=50|O1--expand-div-rem-bits=0|O1--expand-div-rem-bits=50|O2--expand-div-rem-bits=0|O2--expand-div-rem-bits=50|O3--expand-div-rem-bits=0|O3--expand-div-rem-bits=50|Ofast--expand-div-rem-bits=0|Ofast--expand-div-rem-bits=50|Os--expand-div-rem-bits=0|Os--expand-div-rem-bits=50|Oz--expand-div-rem-bits=0|Oz--expand-div-rem-bits=50
br_x509_minimal_run	src/x509/x509_minimal.c	1223	22	   vs = (uint32_t)(x % 86400);	%	cjump	O0--expand-div-rem-bits=0|O0--expand-div-rem-bits=50
br_pem_encode	src/codec/pemenc.c	78	22	  lines = (len + 47) / 48;	/	cjump	O0--expand-div-rem-bits=0|O0--expand-div-rem-bits=50|O1--expand-div-rem-bits=0|O1--expand-div-rem-bits=50|O2--expand-div-rem-bits=0|O2--expand-div-rem-bits=50|O3--expand-div-rem-bits=0|O3--expand-div-rem-bits=50|Ofast--expand-div-rem-bits=0|Ofast--expand-div-rem-bits=50|Os--expand-div-rem-bits=0|Os--expand-div-rem-bits=50|Oz--expand-div-rem-bits=0|Oz--expand-div-rem-bits=50
br_pem_encode	src/codec/pemenc.c	82	46	 dlen = (banner_len << 1) + 30 + (((len + 2) / 3) << 2)	/	cjump	O0--expand-div-rem-bits=0|O0--expand-div-rem-bits=50|O1--expand-div-rem-bits=0|O1--expand-div-rem-bits=50|O2--expand-div-rem-bits=0|O2--expand-div-rem-bits=50|O3--expand-div-rem-bits=0|O3--expand-div-rem-bits=50|Ofast--expand-div-rem-bits=0|Ofast--expand-div-rem-bits=50|Os--expand-div-rem-bits=0|Os--expand-div-rem-bits=50|Oz--expand-div-rem-bits=0|Oz--expand-div-rem-bits=50
br_x509_minimal_run	src/x509/x509_minimal.c	1222	22	   vd = (uint32_t)(x / 86400) + 719528;	/	cjump	O0--expand-div-rem-bits=0|O0--expand-div-rem-bits=50|O1--expand-div-rem-bits=0|O1--expand-div-rem-bits=50|O2--expand-div-rem-bits=0|O2--expand-div-rem-bits=50|O3--expand-div-rem-bits=0|O3--expand-div-rem-bits=50|Ofast--expand-div-rem-bits=0|Ofast--expand-div-rem-bits=50|Os--expand-div-rem-bits=0|Os--expand-div-rem-bits=50|Oz--expand-div-rem-bits=0|Oz--expand-div-rem-bits=50
br_i15_modpow_opt	src/int/i15_modpow2.c	141	12	     t2[v] |= mask & base[v];	|	mmem	O1--disable-lftr|O1--disable-lsr|O1--lsr-complexity-limit=100|O1--lsr-complexity-limit=50|O1--lsr-insns-cost|O1--scalar-evolution-max-arith-depth=0|O1--scev-cheap-expansion-budget=0|O1-fcs-profile-generate|O2--disable-lftr|O2--disable-lsr|O2--force-vector-interleave=50|O2--lsr-complexity-limit=100|O2--lsr-complexity-limit=50|O2--lsr-insns-cost|O2--scalar-evolution-max-arith-depth=0|O2--scev-cheap-expansion-budget=0|O2--unroll-runtime|O2-fcs-profile-generate|Os--disable-lftr|Os--disable-lsr|Os--force-vector-interleave=100|Os--force-vector-interleave=50|Os--force-vector-width=100|Os--lsr-complexity-limit=100|Os--lsr-complexity-limit=50|Os--lsr-insns-cost|Os--scalar-evolution-max-arith-depth=0|Os--scev-cheap-expansion-budget=0|Os-fcs-profile-generate|Oz--disable-lftr|Oz--disable-lsr|Oz--lsr-complexity-limit=100|Oz--lsr-complexity-limit=50|Oz--lsr-insns-cost|Oz--scalar-evolution-huge-expr-threshold=0|Oz--scalar-evolution-max-arith-depth=0|Oz--scev-cheap-expansion-budget=0
decode_key	tools/keys.c	82	31	  sk->key.ec.x = xblobdup(ek->x, ek->xlen);	x	mmem	O1--attributor-enable=all|O1--attributor-enable=cgscc|O1--attributor-enable=module|O1--sink-common-insts|O2--attributor-enable=all|O2--attributor-enable=cgscc|O2--attributor-enable=module|O3--attributor-enable=all|O3--attributor-enable=cgscc|O3--attributor-enable=module|O3--sink-common-insts|Ofast--attributor-enable=all|Ofast--attributor-enable=cgscc|Ofast--attributor-enable=module|Ofast--sink-common-insts|Os--attributor-enable=all|Os--attributor-enable=cgscc|Os--attributor-enable=module|Oz--attributor-enable=all|Oz--attributor-enable=cgscc|Oz--attributor-enable=module
decode_key	tools/keys.c	65	32	  sk->key.rsa.p = xblobdup(rk->p, rk->plen);	p	mmem	O1--attributor-enable=all|O1--attributor-enable=cgscc|O1--attributor-enable=module|O1--sink-common-insts|O2--attributor-enable=all|O2--attributor-enable=cgscc|O2--attributor-enable=module|O3--attributor-enable=all|O3--attributor-enable=cgscc|O3--attributor-enable=module|O3--sink-common-insts|Ofast--attributor-enable=all|Ofast--attributor-enable=cgscc|Ofast--attributor-enable=module|Ofast--sink-common-insts|Os--attributor-enable=all|Os--attributor-enable=cgscc|Os--attributor-enable=module|Oz--attributor-enable=all|Oz--attributor-enable=cgscc|Oz--attributor-enable=module
br_rsa_i62_public	src/rsa/rsa_i62_pub.c	63	2	 while (z > 0) {	w	mdiv	O1--aarch64-stress-promote-const|O1--fast-isel|O2--aarch64-stress-promote-const|O2--fast-isel|O3--aarch64-stress-promote-const|O3--fast-isel|Ofast--aarch64-stress-promote-const|Ofast--fast-isel|Os--aarch64-stress-promote-const|Os--fast-isel
br_rsa_i31_public	src/rsa/rsa_i31_pub.c	61	2	 while (z > 0) {	w	mdiv	O1--aarch64-stress-promote-const|O1--fast-isel|O2--aarch64-stress-promote-const|O2--fast-isel|O3--aarch64-stress-promote-const|O3--fast-isel|Ofast--aarch64-stress-promote-const|Ofast--fast-isel|Os--aarch64-stress-promote-const|Os--fast-isel
