function	file	line	col	source	char	type	optimization
br_pem_encode	src/codec/pemenc.c	78	22	  lines = (len + 47) / 48;	/	mdiv	O0
print_ec	tools/verify.c	130	10	   if (u % 12 == 0) {	%	mdiv	O0
br_pem_encode	src/codec/pemenc.c	80	22	  lines = (len + 56) / 57;	/	mdiv	O0
br_x509_minimal_run	src/x509/x509_minimal.c	1222	22	   vd = (uint32_t)(x / 86400) + 719528;	/	mdiv	O0|Oz
br_pem_encode	src/codec/pemenc.c	82	46	 dlen = (banner_len << 1) + 30 + (((len + 2) / 3) << 2)	/	mdiv	O0|Oz
print_blob	tools/ta.c	80	9	  if (u % 12 == 0) {	%	mdiv	O0
br_x509_minimal_run	src/x509/x509_minimal.c	978	2	 T0_PUSHi(a % b);	T	mdiv	O0|O1|O2|O3|Ofast|Os|Oz
print_blob	tools/chain.c	44	9	  if (u % 12 == 0) {	%	mdiv	O0
print_int_C	tools/skey.c	65	9	  if (u % 12 == 0) {	%	mdiv	O0
br_x509_minimal_run	src/x509/x509_minimal.c	1019	2	 T0_PUSHi(a / b);	T	mdiv	O0|O1|O2|O3|Ofast|Os|Oz
br_x509_minimal_run	src/x509/x509_minimal.c	1223	22	   vs = (uint32_t)(x % 86400);	%	mdiv	O0
parse_size	tools/names.c	813	27	  if (z < (size_t)d || (z / (size_t)radix) != acc	/	mdiv	O0|Oz
br_x509_decoder_run	src/x509/x509_decoder.c	479	2	 T0_PUSHi(a % b);	T	mdiv	O0|O1|O2|O3|Ofast|Os|Oz
cc_append_name	tools/client.c	188	26	   } else if (u > 0 && u % 16 == 0) {	%	mdiv	O0
print_rsa	tools/verify.c	95	10	   if (u % 12 == 0) {	%	mdiv	O0
print_rsa	tools/verify.c	82	10	   if (u % 12 == 0) {	%	mdiv	O0
br_x509_decoder_run	src/x509/x509_decoder.c	520	2	 T0_PUSHi(a / b);	T	mdiv	O0|O1|O2|O3|Ofast|Os|Oz
br_i62_modpow_opt	src/int/i62_modpow2.c	438	26	   x[u] = (mask1 & x[u]) | (mask2 & t1[u]);	|	mmem	O1|O2|Os|Oz
br_poly1305_ctmul32_run	src/symcipher/poly1305_ctmul32.c	266	10	  acc[i] &= ~(-ctl);	&	mmem	O1|Os
br_asn1_encode_length	src/x509/asn1enc.c	70	12	   *buf ++ = len >> (j << 3);	=	cjump	Os
br_asn1_encode_uint	src/x509/asn1enc.c	70	12	   *buf ++ = len >> (j << 3);	=	cjump	Os
br_rsa_i62_public	src/rsa/rsa_i62_pub.c	63	2	 while (z > 0) {	w	mdiv	Oz
br_rsa_i31_public	src/rsa/rsa_i31_pub.c	61	2	 while (z > 0) {	w	mdiv	Oz
br_rsa_i15_public	src/rsa/rsa_i15_pub.c	62	2	 while (z > 0) {	w	mdiv	Oz
br_rsa_i62_private	src/rsa/rsa_i62_priv.c	125	2	 while (u > 0) {	w	mdiv	Oz
