function	file	line	col	source	char	type	optimization
mbedtls_mpi_core_random	../tf-psa-crypto/drivers/builtin/src/bignum_core.c	647	35	    size_t n_bytes = (n_bits + 7) / 8;	/	mdiv	O0-fglobal-isel
mbedtls_nist_kw_wrap	../tf-psa-crypto/drivers/builtin/src/nist_kw.c	131	41	            padlen = (8 - (input_length % 8));	%	mdiv	O0-fglobal-isel
ecp_mod_p256	../tf-psa-crypto/drivers/builtin/src/ecp_curves.c	5051	56	    SUB(9); SUB(10);                                   NEXT;      // A4	N	mdiv	O0-fglobal-isel
ecp_mod_p384	../tf-psa-crypto/drivers/builtin/src/ecp_curves.c	5082	57	    SUB(13); SUB(21);                                   NEXT;     // A2	N	mdiv	O0-fglobal-isel
mbedtls_mpi_core_write_be	../tf-psa-crypto/drivers/builtin/src/bignum_core.c	317	17	            if (GET_BYTE(X, i) != 0) {	G	mdiv	O0-fglobal-isel
mbedtls_ecp_gen_privkey_mx	../tf-psa-crypto/drivers/builtin/src/ecp.c	2951	38	    size_t n_random_bytes = high_bit / 8 + 1;	/	mdiv	O0-fglobal-isel
mbedtls_psa_ecdsa_verify_hash	../tf-psa-crypto/drivers/builtin/src/psa_crypto_ecp.c	471	19	    curve_bytes = PSA_BITS_TO_BYTES(ecp->grp.pbits);	P	mdiv	O0-fglobal-isel
mbedtls_mpi_core_shift_l	../tf-psa-crypto/drivers/builtin/src/bignum_core.c	376	16	    v0 = count / (biL);	/	mdiv	O0-fglobal-isel
mbedtls_ssl_get_max_out_record_payload	ssl_tls.c	2987	29	        max_len = ((max_len / MBEDTLS_SSL_CID_TLS1_3_PADDING_GRANULARITY) *	/	mdiv	O0-fglobal-isel
mbedtls_aes_xts_decode_keys	../tf-psa-crypto/drivers/builtin/src/aes.c	755	53	    const unsigned int half_keybytes = half_keybits / 8;	/	mdiv	O0-fglobal-isel
ecp_mod_p224	../tf-psa-crypto/drivers/builtin/src/ecp_curves.c	5022	34	    SUB(12); ADD(9); ADD(13);    NEXT;        // A5 += -A12 + A9 + A13	N	mdiv	O0-fglobal-isel
ecp_mod_p384	../tf-psa-crypto/drivers/builtin/src/ecp_curves.c	5091	59	    SUB(16);                                              NEXT;   // A5	N	mdiv	O0-fglobal-isel
ssl_parse_supported_groups_ext	ssl_tls12_server.c	192	19	        list_size % 2 != 0) {	%	mdiv	O0-fglobal-isel
mbedtls_des_crypt_cbc	../tf-psa-crypto/drivers/builtin/src/des.c	630	16	    if (length % 8) {	%	mdiv	O0-fglobal-isel
ssl_bitmask_set	ssl_msg.c	2888	20	    end_bits = len % 8;	%	mdiv	O0-fglobal-isel
mbedtls_mpi_set_bit	../tf-psa-crypto/drivers/builtin/src/bignum.c	410	22	    size_t off = pos / biL;	/	mdiv	O0-fglobal-isel
mbedtls_aes_crypt_cbc	../tf-psa-crypto/drivers/builtin/src/aes.c	1077	16	    if (length % 16) {	%	mdiv	O0-fglobal-isel
mbedtls_gcm_update	../tf-psa-crypto/drivers/builtin/src/gcm.c	601	23	    offset = ctx->len % 16;	%	mdiv	O0-fglobal-isel
mbedtls_rsa_gen_key	../tf-psa-crypto/drivers/builtin/src/rsa.c	1116	57	        if (mbedtls_mpi_bitlen(&ctx->D) <= ((nbits + 1) / 2)) {      // (FIPS 186-4 §B.3.1 criterion 3(a))	/	mdiv	O0-fglobal-isel
mbedtls_mpi_core_read_le	../tf-psa-crypto/drivers/builtin/src/bignum_core.c	218	33	            size_t offset = ((i % ciL) << 3);	%	mdiv	O0-fglobal-isel
mbedtls_mpi_read_binary_le	../tf-psa-crypto/drivers/builtin/src/bignum.c	797	26	    const size_t limbs = CHARS_TO_LIMBS(buflen);	C	mdiv	O0-fglobal-isel
mbedtls_debug_print_buf	debug.c	157	15	        txt[i % 16] = (buf[i] > 31 && buf[i] < 127) ? buf[i] : '.';	%	mdiv	O0-fglobal-isel
ssl_ticket_gen_key	ssl_ticket.c	92	11	    ret = PSA_TO_MBEDTLS_ERR(	P	mdiv	O0-fglobal-isel
ssl_bitmask_set	ssl_msg.c	2866	30	    start_bits = 8 - (offset % 8);	%	mdiv	O0-fglobal-isel
mbedtls_gcm_finish	../tf-psa-crypto/drivers/builtin/src/gcm.c	669	39	    if (ctx->len == 0 && ctx->add_len % 16 != 0) {	%	mdiv	O0-fglobal-isel
mbedtls_mpi_get_bit	../tf-psa-crypto/drivers/builtin/src/bignum.c	401	37	    return (X->p[pos / biL] >> (pos % biL)) & 0x01;	%	mdiv	O0-fglobal-isel
mbedtls_mpi_read_binary	../tf-psa-crypto/drivers/builtin/src/bignum.c	823	26	    const size_t limbs = CHARS_TO_LIMBS(buflen);	C	mdiv	O0-fglobal-isel
ssl_parse_supported_groups_ext	ssl_tls12_server.c	209	26	    our_size = list_size / 2 + 1;	/	mdiv	O0-fglobal-isel
psa_raw_key_agreement	../tf-psa-crypto/core/psa_crypto.c	7785	9	        PSA_RAW_KEY_AGREEMENT_OUTPUT_SIZE(slot->attr.type, slot->attr.bits);	P	mdiv	O0-fglobal-isel
ssl_bitmask_set	ssl_msg.c	2868	40	        size_t first_byte_idx = offset / 8;	/	mdiv	O0-fglobal-isel
ecp_mod_p224	../tf-psa-crypto/drivers/builtin/src/ecp_curves.c	5015	5	    INIT(224);	I	mdiv	O0-fglobal-isel
mbedtls_psa_ecp_load_representation	../tf-psa-crypto/drivers/builtin/src/psa_crypto_ecp.c	112	35	        curve_bytes = data_length / 2;	/	mdiv	O0-fglobal-isel
