function	file	line	col	source	char	type	optimization
depack_do_implicit_stream_create	ssl/quic/quic_rx_depack.c	401	17	    peer_role = ch->is_server	c	mmem	O0-fprofile-generate
tls13_change_cipher_state	ssl/tls13_enc.c	744	16	            : ((which &SSL3_CC_HANDSHAKE) != 0	(	mmem	O0-fprofile-generate
cipher_hw_aes_initkey	providers/implementations/ciphers/cipher_aes_hw.c	63	31	            dat->stream.cbc = (dat->mode == EVP_CIPH_CBC_MODE)	(	mmem	O0-fprofile-generate|O1-fcs-profile-generate|O1-fprofile-generate|O2-fprofile-generate|O3-fprofile-generate|Ofast-fprofile-generate|Os-fprofile-generate|Oz-fprofile-generate
ssl_module_init	crypto/conf/conf_ssl.c	92	17	                cmds == NULL	c	mmem	O0-fprofile-generate|O1-fcs-profile-generate
tls_post_encryption_processing_default	ssl/record/methods/tls_common.c	1687	24	    size_t headerlen = rl->isdtls ? DTLS1_RT_HEADER_LENGTH	r	mmem	O0-fprofile-generate
tls13_change_cipher_state	ssl/tls13_enc.c	511	21	    int direction = (which & SSL3_CC_READ) != 0 ? OSSL_RECORD_DIRECTION_READ	(	mmem	O0-fprofile-generate
cipher_hw_camellia_initkey	providers/implementations/ciphers/cipher_camellia_hw.c	35	27	        dat->stream.cbc = mode == EVP_CIPH_CBC_MODE ?	m	mmem	O0-fprofile-generate|O1-fcs-profile-generate|O1-fprofile-generate|O2-fprofile-generate|O3-fprofile-generate|Ofast-fprofile-generate|Os-fprofile-generate|Oz-fprofile-generate
build_chain	crypto/x509/x509_vfy.c	3607	35	                                  num == 1	n	mmem	O0-fprofile-generate|O1-fcs-profile-generate|O1-fprofile-generate|O2-fcs-profile-generate|O2-fprofile-generate|O3-fcs-profile-generate|O3-fprofile-generate|Ofast-fcs-profile-generate|Ofast-fprofile-generate|Os-fcs-profile-generate|Os-fprofile-generate|Oz-fcs-profile-generate|Oz-fprofile-generate
ossl_statem_client13_write_transition	ssl/statem/statem_clnt.c	513	26	        st->hand_state = (s->s3.tmp.cert_req == 1) ? TLS_ST_CW_CERT_VRFY	(	mmem	O0-fprofile-generate
new_raw_key_int	crypto/evp/p_lib.c	468	29	                            key_is_priv ? OSSL_PKEY_PARAM_PRIV_KEY	k	mmem	O0-fprofile-generate
dtls1_retransmit_message	ssl/statem/statem_dtls.c	1237	29	    ret = dtls1_do_write(s, frag->msg_header.is_ccs ?	f	mmem	O0-fprofile-generate|O1-fcs-profile-generate|O1-fprofile-generate|O2-fcs-profile-generate|O2-fprofile-generate|O3-fcs-profile-generate|O3-fprofile-generate|Ofast-fcs-profile-generate|Ofast-fprofile-generate|Os-fcs-profile-generate|Os-fprofile-generate
rsa_to_text	providers/implementations/encode_decode/encode_key2text.c	577	33	                               (hashalg_nid == NID_sha1	h	mmem	O0-fprofile-generate|O1-fcs-profile-generate|O1-fprofile-generate|O2-fcs-profile-generate|O2-fprofile-generate|O3-fcs-profile-generate|O3-fprofile-generate|Ofast-fcs-profile-generate|Ofast-fprofile-generate|Os-fcs-profile-generate|Os-fprofile-generate
cipher_hw_camellia_initkey	providers/implementations/ciphers/cipher_camellia_hw.c	39	27	        dat->stream.cbc = mode == EVP_CIPH_CBC_MODE ?	m	mmem	O0-fprofile-generate|O1-fcs-profile-generate|O1-fprofile-generate|O2-fprofile-generate|O3-fprofile-generate|Ofast-fprofile-generate|Os-fprofile-generate|Oz-fprofile-generate
ssl3_change_cipher_state	ssl/s3_enc.c	101	21	    int direction = (which & SSL3_CC_READ) != 0 ? OSSL_RECORD_DIRECTION_READ	(	mmem	O0-fprofile-generate
ssl_module_init	crypto/conf/conf_ssl.c	72	13	            cmd_lists == NULL	c	mmem	O0-fprofile-generate|O1-fcs-profile-generate|O1-fprofile-generate
camellia_init_key	crypto/evp/e_camellia.c	209	27	        dat->stream.cbc = mode == EVP_CIPH_CBC_MODE ?	m	mmem	O0-fprofile-generate|O1-fcs-profile-generate|O1-fprofile-generate|O2-fprofile-generate|O3-fprofile-generate|Ofast-fprofile-generate|Os-fprofile-generate|Oz-fprofile-generate
ossl_quic_channel_new_stream_local	ssl/quic/quic_channel.c	3912	12	    type = ch->is_server ? QUIC_STREAM_INITIATOR_SERVER	c	mmem	O0-fprofile-generate
tls_parse_stoc_sct	ssl/statem/extensions_clnt.c	1566	25	        ENDPOINT role = (context & SSL_EXT_TLS1_2_SERVER_HELLO) != 0	(	mmem	O0-fprofile-generate
simple_get_asn1	crypto/x509/x_all.c	119	27	    size_t max_resp_len = (it == ASN1_ITEM_rptr(X509_CRL)) ?	(	mmem	O0-fprofile-generate|Os-fcs-profile-generate|Os-fprofile-generate|Oz-fcs-profile-generate|Oz-fprofile-generate
EC_GROUP_set_curve_name	crypto/ec/ec_lib.c	488	9	        (nid != NID_undef)	(	mmem	O0-fprofile-generate
cipher_hw_aes_initkey	providers/implementations/ciphers/cipher_aes_hw.c	108	27	        dat->stream.cbc = (dat->mode == EVP_CIPH_CBC_MODE)	(	mmem	O0-fprofile-generate|O1-fcs-profile-generate|O1-fprofile-generate|O2-fprofile-generate|O3-fprofile-generate|Ofast-fprofile-generate|Os-fprofile-generate|Oz-fprofile-generate
OSSL_HTTP_REQ_CTX_nbio	crypto/http/http_client.c	770	31	                rctx->state = i < HTTP_STATUS_CODES_NONFATAL_ERROR	i	mmem	O0-fprofile-generate|O1-fcs-profile-generate|O1-fprofile-generate|Os-fcs-profile-generate|Os-fprofile-generate|Oz-fcs-profile-generate|Oz-fprofile-generate
