function	file	line	col	source	char	type	optimization
aes_xts_init	providers/implementations/ciphers/cipher_aes_xts.c	93	52	        if (!aes_xts_check_keys_differ(key, keylen / 2, enc))	/	mdiv	O0-fglobal-isel
chacha20_poly1305_cipher	crypto/evp/e_chacha20_poly1305.c	432	46	            if ((rem = (size_t)actx->len.aad % POLY1305_BLOCK_SIZE))	%	mdiv	O0-fglobal-isel
tls_parse_ctos_supported_groups	ssl/statem/extensions_srvr.c	1224	58	            || (PACKET_remaining(&supported_groups_list) % 2) != 0) {	%	mdiv	O0-fglobal-isel
drbg_ctr_init_lengths	providers/implementations/rands/drbg_ctr.c	547	55	            drbg->min_noncelen = drbg->min_entropylen / 2;	/	mdiv	O0-fglobal-isel
CRYPTO_cfb128_1_encrypt	crypto/modes/cfb128.c	197	29	        out[n / 8] = (out[n / 8] & ~(1 << (unsigned int)(7 - n % 8))) |	/	mdiv	O0-fglobal-isel
ossl_provider_set_operation_bit	crypto/provider_core.c	2017	39	    unsigned char bit = (1 << (bitnum % 8)) & 0xFF;	%	mdiv	O0-fglobal-isel
ossl_sha3_init	crypto/sha/sha3.c	30	18	    size_t bsz = SHA3_BLOCKSIZE(bitlen);	S	mdiv	O0-fglobal-isel
bit_get	ssl/quic/qlog.c	22	64	    return p[bit_no / BITS_PER_WORD] & (((size_t)1) << (bit_no % BITS_PER_WORD));	%	mdiv	O0-fglobal-isel
rxfc_cwm_bump_desired	ssl/quic/quic_fc.c	247	43	        threshold = rxfc->cur_window_size / 2;	/	mdiv	O0-fglobal-isel
ec_asn1_group2curve	crypto/ec/ec_asn1.c	336	52	    len = ((size_t)EC_GROUP_get_degree(group) + 7) / 8;	/	mdiv	O0-fglobal-isel
CRYPTO_ccm128_init	crypto/modes/ccm128.c	31	57	    ctx->nonce.c[0] = ((u8)(L - 1) & 7) | (u8)(((M - 2) / 2) & 7) << 3;	/	mdiv	O0-fglobal-isel
ossl_blake2s_final	providers/implementations/digests/blake2s_prov.c	303	20	    if ((c->outlen % sizeof(c->h[0])) == 0)	%	mdiv	O0-fglobal-isel
hexdecode	apps/s_client.c	348	48	    unsigned char *ret = app_malloc(strlen(in) / 2, "hexdecode");	/	mdiv	O0-fglobal-isel
int_put_bytes_bn	crypto/der_writer.c	141	66	        ((bn_get_words(v) [(n - 1) / BN_BYTES]) >> (8 * ((n - 1) % BN_BYTES)))	%	mdiv	O0-fglobal-isel
CRYPTO_cfb128_1_encrypt	crypto/modes/cfb128.c	195	42	        c[0] = (in[n / 8] & (1 << (7 - n % 8))) ? 0x80 : 0;	%	mdiv	O0-fglobal-isel
txp_generate_stream_frames	ssl/quic/quic_txp.c	2456	34	        for (j = 0; j < chunks[i % 2].num_stream_iovec; ++j)	%	mdiv	O0-fglobal-isel
ossl_cipher_hw_tdes_cfb1	providers/implementations/ciphers/cipher_tdes_default_hw.c	108	22	        c[0] = (in[n / 8] & (1 << (7 - n % 8))) ? 0x80 : 0;	/	mdiv	O0-fglobal-isel
CRYPTO_ocb128_encrypt	crypto/modes/ocb128.c	336	22	    num_blocks = len / 16;	/	mdiv	O0-fglobal-isel
WHIRLPOOL_Final	crypto/whrlpool/wp_dgst.c	216	55	    unsigned int bitoff = c->bitoff, byteoff = bitoff / 8;	/	mdiv	O0-fglobal-isel
CRYPTO_gcm128_decrypt_ctr32	crypto/modes/gcm128.c	1488	22	        size_t j = i / 16;	/	mdiv	O0-fglobal-isel
CRYPTO_xts128_encrypt	crypto/modes/xts128.c	43	22	    if (!enc && (len % 16))	%	mdiv	O0-fglobal-isel
aes_wrap_cipher_internal	providers/implementations/ciphers/cipher_aes_wrp.c	199	37	                inlen = (inlen + 7) / 8 * 8;	/	mdiv	O0-fglobal-isel
