function	file	line	col	source	char	type	optimization
solve_NTRU_intermediate	keygen.c	3212	34	        sch = (uint32_t)(scale_k / 31);	/	mdiv	O0--global-isel|O1--global-isel|O2--global-isel|O3--global-isel|Os--global-isel
PQCLEAN_SPHINCSSHA2128SSIMPLE_CLEAN_treehashx1	utilsx1.c	89	53	            set_tree_index(tree_addr, (internal_idx / 2) + internal_idx_offset );	/	mdiv	O0--global-isel
PQCLEAN_SPHINCSSHA2192FSIMPLE_CLEAN_treehashx1	utilsx1.c	89	53	            set_tree_index(tree_addr, (internal_idx / 2) + internal_idx_offset );	/	mdiv	O0--global-isel
fft_rec	fft.c	233	33	        fft_rec(v, f1, f_coeffs / 2, m - 1, m_f - 1, deltas);	/	mdiv	O0--global-isel
PQCLEAN_HQC128_CLEAN_fft	fft.c	298	29	    fft_rec(v, f1, f_coeffs / 2, PARAM_M - 1, PARAM_FFT - 1, deltas);	/	mdiv	O0--global-isel
PQCLEAN_HQC128_CLEAN_vect_resize	vector.c	195	26	        memcpy(o, v, 8 * CEIL_DIVIDE(size_v, 64));	C	mdiv	O0--global-isel
PQCLEAN_SPHINCSSHAKE192FSIMPLE_CLEAN_treehashx1	utilsx1.c	89	53	            set_tree_index(tree_addr, (internal_idx / 2) + internal_idx_offset );	/	mdiv	O0--global-isel
karatsuba	gf2x.c	137	19	    size_h = size / 2;	/	mdiv	O0--global-isel
PQCLEAN_HQC192_CLEAN_fft	fft.c	298	29	    fft_rec(v, f1, f_coeffs / 2, PARAM_M - 1, PARAM_FFT - 1, deltas);	/	mdiv	O0--global-isel
PQCLEAN_SPHINCSSHAKE128SSIMPLE_CLEAN_treehashx1	utilsx1.c	89	53	            set_tree_index(tree_addr, (internal_idx / 2) + internal_idx_offset );	/	mdiv	O0--global-isel
PQCLEAN_SPHINCSSHAKE256SSIMPLE_CLEAN_treehashx1	utilsx1.c	89	53	            set_tree_index(tree_addr, (internal_idx / 2) + internal_idx_offset );	/	mdiv	O0--global-isel
PQCLEAN_SPHINCSSHA2192SSIMPLE_CLEAN_treehashx1	utilsx1.c	89	53	            set_tree_index(tree_addr, (internal_idx / 2) + internal_idx_offset );	/	mdiv	O0--global-isel
PQCLEAN_HQC256_CLEAN_fft	fft.c	297	35	    fft_rec(u, f0, (f_coeffs + 1) / 2, PARAM_M - 1, PARAM_FFT - 1, deltas);	/	mdiv	O0--global-isel
gf_reduce	gf.c	40	20	    size_t steps = CEIL_DIVIDE(deg_x - (PARAM_M - 1), PARAM_GF_POLY_M2);	C	mdiv	O0--global-isel
PQCLEAN_HQC256_CLEAN_fft	fft.c	298	29	    fft_rec(v, f1, f_coeffs / 2, PARAM_M - 1, PARAM_FFT - 1, deltas);	/	mdiv	O0--global-isel
karatsuba	gf2x.c	138	25	    size_l = (size + 1) / 2;	/	mdiv	O0--global-isel
PQCLEAN_HQC192_CLEAN_vect_resize	vector.c	195	26	        memcpy(o, v, 8 * CEIL_DIVIDE(size_v, 64));	C	mdiv	O0--global-isel
PQCLEAN_HQC128_CLEAN_fft	fft.c	297	35	    fft_rec(u, f0, (f_coeffs + 1) / 2, PARAM_M - 1, PARAM_FFT - 1, deltas);	/	mdiv	O0--global-isel
PQCLEAN_HQC256_CLEAN_vect_resize	vector.c	195	26	        memcpy(o, v, 8 * CEIL_DIVIDE(size_v, 64));	C	mdiv	O0--global-isel
PQCLEAN_SPHINCSSHAKE192SSIMPLE_CLEAN_treehashx1	utilsx1.c	89	53	            set_tree_index(tree_addr, (internal_idx / 2) + internal_idx_offset );	/	mdiv	O0--global-isel
PQCLEAN_SPHINCSSHAKE256FSIMPLE_CLEAN_treehashx1	utilsx1.c	89	53	            set_tree_index(tree_addr, (internal_idx / 2) + internal_idx_offset );	/	mdiv	O0--global-isel
PQCLEAN_SPHINCSSHAKE128FSIMPLE_CLEAN_treehashx1	utilsx1.c	89	53	            set_tree_index(tree_addr, (internal_idx / 2) + internal_idx_offset );	/	mdiv	O0--global-isel
fft_rec	fft.c	221	35	    fft_rec(u, f0, (f_coeffs + 1) / 2, m - 1, m_f - 1, deltas);	/	mdiv	O0--global-isel
PQCLEAN_SPHINCSSHA2128FSIMPLE_CLEAN_treehashx1	utilsx1.c	89	53	            set_tree_index(tree_addr, (internal_idx / 2) + internal_idx_offset );	/	mdiv	O0--global-isel
