function	file	line	col	source	char	type	optimization
PQCLEAN_FALCONPADDED1024_CLEAN_sampler	sign.c	1043	8	    sw ^= (sw ^ 63) & -((63 - sw) >> 31);	^	cjump	O1|O2|O3|Os|Oz
zint_rebuild_CRT	keygen.c	683	7	    d += p & -(d >> 31);	+	cjump	O1|O2|O3
PQCLEAN_FALCONPADDED512_CLEAN_keygen	keygen.c	723	7	    d += p & -(d >> 31);	+	cjump	O1|O2|Os
make_fg	keygen.c	723	7	    d += p & -(d >> 31);	+	cjump	O1|O2|O3
PQCLEAN_FALCONPADDED512_CLEAN_sampler	sign.c	352	8	    xi ^= (xi ^ -(int64_t)t) & -(int64_t)((uint32_t)(63 - cc) >> 31);	^	cjump	O1|O2|O3|Os|Oz
PQCLEAN_FALCON1024_CLEAN_keygen	keygen.c	723	7	    d += p & -(d >> 31);	+	cjump	O1|O2|Os
PQCLEAN_FALCONPADDED512_CLEAN_keygen	keygen.c	683	7	    d += p & -(d >> 31);	+	cjump	O1|O2|Os|Oz
PQCLEAN_FALCON512_CLEAN_sampler	sign.c	352	8	    xi ^= (xi ^ -(int64_t)t) & -(int64_t)((uint32_t)(63 - cc) >> 31);	^	cjump	O1|O2|O3|Os|Oz
zint_rebuild_CRT	keygen.c	723	7	    d += p & -(d >> 31);	+	cjump	O1|O2|O3|Os
PQCLEAN_FALCONPADDED1024_CLEAN_sampler	sign.c	352	8	    xi ^= (xi ^ -(int64_t)t) & -(int64_t)((uint32_t)(63 - cc) >> 31);	^	cjump	O1|O2|O3|Os|Oz
PQCLEAN_FALCON512_CLEAN_keygen	keygen.c	723	7	    d += p & -(d >> 31);	+	cjump	O1|O2|Os
modp_iNTT2_ext	keygen.c	683	7	    d += p & -(d >> 31);	+	cjump	O1|O3|Oz
poly_sub_scaled_ntt	keygen.c	723	7	    d += p & -(d >> 31);	+	cjump	O1|O2|O3|Os
PQCLEAN_FALCON1024_CLEAN_keygen	keygen.c	1199	11	        w += p & -(w >> 31);	+	cjump	O1|O2
PQCLEAN_FALCON1024_CLEAN_sampler	sign.c	1043	8	    sw ^= (sw ^ 63) & -((63 - sw) >> 31);	^	cjump	O1|O2|O3|Os|Oz
PQCLEAN_FALCON512_CLEAN_keygen	keygen.c	1199	11	        w += p & -(w >> 31);	+	cjump	O1|O2
PQCLEAN_FALCON1024_CLEAN_keygen	keygen.c	683	7	    d += p & -(d >> 31);	+	cjump	O1|O2|Os|Oz
solve_NTRU_intermediate	keygen.c	683	7	    d += p & -(d >> 31);	+	cjump	O1|O2|O3
PQCLEAN_FALCONPADDED1024_CLEAN_keygen	keygen.c	683	7	    d += p & -(d >> 31);	+	cjump	O1|O2|Os|Oz
PQCLEAN_FALCON512_CLEAN_sampler	sign.c	1043	8	    sw ^= (sw ^ 63) & -((63 - sw) >> 31);	^	cjump	O1|O2|O3|Os|Oz
PQCLEAN_FALCONPADDED512_CLEAN_keygen	keygen.c	1145	12	        aw ^= ((w & 0x7FFFFFFF) ^ aw) & m;	^	cjump	O1|O2
make_fg_step	keygen.c	683	7	    d += p & -(d >> 31);	+	cjump	O1|O2|O3
PQCLEAN_FALCON512_CLEAN_keygen	keygen.c	683	7	    d += p & -(d >> 31);	+	cjump	O1|O2|Os|Oz
solve_NTRU_intermediate	keygen.c	1199	11	        w += p & -(w >> 31);	+	cjump	O1|O2|O3
modp_mkgm2	keygen.c	807	11	        z ^= (z ^ z2) & -(uint32_t)((e >> i) & 1);	^	cjump	O1|O2|O3|Os|Oz
solve_NTRU_intermediate	keygen.c	723	7	    d += p & -(d >> 31);	+	cjump	O1|O2|O3|Os
PQCLEAN_FALCONPADDED1024_CLEAN_keygen	keygen.c	1199	11	        w += p & -(w >> 31);	+	cjump	O1|O2
PQCLEAN_FALCONPADDED512_CLEAN_sampler	sign.c	1043	8	    sw ^= (sw ^ 63) & -((63 - sw) >> 31);	^	cjump	O1|O2|O3|Os|Oz
PQCLEAN_FALCON512_CLEAN_keygen	keygen.c	1145	12	        aw ^= ((w & 0x7FFFFFFF) ^ aw) & m;	^	cjump	O1|O2
make_fg_step	keygen.c	1199	11	        w += p & -(w >> 31);	+	cjump	O1|O2|O3
zint_rebuild_CRT	keygen.c	1199	11	        w += p & -(w >> 31);	+	cjump	O1|O2|O3
make_fg	keygen.c	683	7	    d += p & -(d >> 31);	+	cjump	O1|O2|O3
poly_sub_scaled_ntt	keygen.c	683	7	    d += p & -(d >> 31);	+	cjump	O1|O2|O3
PQCLEAN_FALCONPADDED1024_CLEAN_keygen	keygen.c	1145	12	        aw ^= ((w & 0x7FFFFFFF) ^ aw) & m;	^	cjump	O1|O2
PQCLEAN_FALCON1024_CLEAN_keygen	keygen.c	1145	12	        aw ^= ((w & 0x7FFFFFFF) ^ aw) & m;	^	cjump	O1|O2
modp_mkgm2	keygen.c	723	7	    d += p & -(d >> 31);	+	cjump	O1|O2|O3|Os
modp_iNTT2_ext	keygen.c	723	7	    d += p & -(d >> 31);	+	cjump	O1|O2|O3|Os
PQCLEAN_FALCONPADDED1024_CLEAN_keygen	keygen.c	723	7	    d += p & -(d >> 31);	+	cjump	O1|O2|Os
modp_mkgm2	keygen.c	683	7	    d += p & -(d >> 31);	+	cjump	O1|O2|O3
zint_rebuild_CRT	keygen.c	1145	12	        aw ^= ((w & 0x7FFFFFFF) ^ aw) & m;	^	cjump	O1|O2|Os|Oz
PQCLEAN_FALCON1024_CLEAN_sampler	sign.c	352	8	    xi ^= (xi ^ -(int64_t)t) & -(int64_t)((uint32_t)(63 - cc) >> 31);	^	cjump	O1|O2|O3|Os|Oz
PQCLEAN_FALCONPADDED512_CLEAN_keygen	keygen.c	1199	11	        w += p & -(w >> 31);	+	cjump	O1|O2
make_fg_step	keygen.c	723	7	    d += p & -(d >> 31);	+	cjump	O1|O2|O3|Os
poly_sub_scaled_ntt	keygen.c	1199	11	        w += p & -(w >> 31);	+	cjump	O1|O2
PQCLEAN_HQC192_CLEAN_vect_set_random_fixed_weight	vector.c	47	14	    return r + (n & mask);	+	cjump	O2|O3|Os|Oz
PQCLEAN_HQC128_CLEAN_vect_set_random_fixed_weight	vector.c	47	14	    return r + (n & mask);	+	cjump	O2|O3|Os|Oz
PQCLEAN_HQC256_CLEAN_vect_set_random_fixed_weight	vector.c	47	14	    return r + (n & mask);	+	cjump	O2|O3|Os|Oz
solve_NTRU	keygen.c	1199	11	        w += p & -(w >> 31);	+	cjump	O3
solve_NTRU	keygen.c	723	7	    d += p & -(d >> 31);	+	cjump	O3
solve_NTRU	keygen.c	683	7	    d += p & -(d >> 31);	+	cjump	O3
modp_poly_rec_res	keygen.c	723	7	    d += p & -(d >> 31);	+	cjump	Os
zint_mod_small_unsigned	keygen.c	683	7	    d += p & -(d >> 31);	+	cjump	Os|Oz
zint_mod_small_unsigned	keygen.c	723	7	    d += p & -(d >> 31);	+	cjump	Os
modp_R2	keygen.c	683	7	    d += p & -(d >> 31);	+	cjump	Os|Oz
modp_NTT2_ext	keygen.c	723	7	    d += p & -(d >> 31);	+	cjump	Os
modp_R2	keygen.c	723	7	    d += p & -(d >> 31);	+	cjump	Os
zint_mod_small_unsigned	keygen.c	1199	11	        w += p & -(w >> 31);	+	cjump	Os|Oz
modp_NTT2_ext	keygen.c	683	7	    d += p & -(d >> 31);	+	cjump	Os|Oz
solve_NTRU_intermediate	keygen.c	3212	34	        sch = (uint32_t)(scale_k / 31);	/	mdiv	Oz
modp_montymul	keygen.c	723	7	    d += p & -(d >> 31);	+	cjump	Oz
