function	file	line	col	source	char	type	optimization
ssl_tls13_parse_server_hello	ssl_tls13_client.c	1736	31	    allowed_extensions_mask = is_hrr ?	i	mmem	O0-fprofile-generate|O0-fprofile-instr-generate
mbedtls_ssl_flight_transmit	ssl_msg.c	2285	33	        int const force_flush = ssl->disable_datagram_packing == 1 ?	s	mmem	O0-fprofile-generate|O0-fprofile-instr-generate|O1-fprofile-instr-generate|O2-fprofile-instr-generate|O3-fprofile-instr-generate|Os-fprofile-instr-generate|Oz-fprofile-instr-generate
ssl_tls13_write_supported_versions_ext	ssl_tls13_client.c	51	34	    unsigned char versions_len = (ssl->handshake->min_tls_version <=	(	mmem	O0-fprofile-generate|O0-fprofile-instr-generate
mbedtls_psa_aead_set_nonce	../tf-psa-crypto/drivers/builtin/src/psa_crypto_aead.c	383	32	                               operation->is_encrypt ?	o	mmem	O0-fprofile-generate|O0-fprofile-instr-generate
psa_cipher_setup	../tf-psa-crypto/core/psa_crypto.c	4347	30	    psa_key_usage_t usage = (cipher_operation == MBEDTLS_ENCRYPT ?	c	mmem	O0-fprofile-generate|O0-fprofile-instr-generate|O1-fcs-profile-generate|O1-fprofile-generate|O1-fprofile-instr-generate|O2-fcs-profile-generate|O2-fprofile-generate|O2-fprofile-instr-generate|O3-fcs-profile-generate|O3-fprofile-generate|O3-fprofile-instr-generate|Os-fcs-profile-generate|Os-fprofile-generate|Os-fprofile-instr-generate|Oz-fcs-profile-generate|Oz-fprofile-generate
mbedtls_pk_get_psa_attributes	../tf-psa-crypto/drivers/builtin/src/pk.c	402	43	            psa_set_key_type(attributes, (want_private ?	w	mmem	O0-fprofile-generate|O0-fprofile-instr-generate
ssl_tls13_preprocess_finished_message	ssl_tls13_generic.c	1050	9	        ssl->conf->endpoint == MBEDTLS_SSL_IS_CLIENT ?	s	mmem	O0-fprofile-generate|O0-fprofile-instr-generate
convert_jpake_computation_stage_to_driver_step	../tf-psa-crypto/core/psa_crypto.c	9064	26	        key_share_step = is_x1 ?	i	mmem	O0-fprofile-generate|O0-fprofile-instr-generate|Os-fprofile-instr-generate|Oz-fcs-profile-generate|Oz-fprofile-instr-generate
ssl_calc_finished_tls_generic	ssl_tls.c	7321	14	    sender = (from == MBEDTLS_SSL_IS_CLIENT)	(	mmem	O0-fprofile-generate|O0-fprofile-instr-generate|O1-fcs-profile-generate|O1-fprofile-generate|O1-fprofile-instr-generate|O2-fcs-profile-generate|O2-fprofile-generate|O2-fprofile-instr-generate|O3-fcs-profile-generate|O3-fprofile-generate|O3-fprofile-instr-generate|Os-fcs-profile-generate|Os-fprofile-generate|Os-fprofile-instr-generate|Oz-fcs-profile-generate|Oz-fprofile-generate|Oz-fprofile-instr-generate
mbedtls_psa_aead_set_nonce	../tf-psa-crypto/drivers/builtin/src/psa_crypto_aead.c	403	39	                                      operation->is_encrypt ?	o	mmem	O0-fprofile-generate|O0-fprofile-instr-generate
mbedtls_cipher_update_ad	../tf-psa-crypto/drivers/builtin/src/cipher.c	555	16	        mode = (ctx->operation == MBEDTLS_ENCRYPT)	(	mmem	O0-fprofile-generate|O0-fprofile-instr-generate|O1-fprofile-instr-generate|O2-fprofile-instr-generate|O3-fprofile-instr-generate|Os-fprofile-instr-generate|Oz-fprofile-instr-generate
convert_jpake_computation_stage_to_driver_step	../tf-psa-crypto/core/psa_crypto.c	9068	26	        key_share_step = (stage->io_mode == PSA_JPAKE_OUTPUT) ?	(	mmem	O0-fprofile-generate|O0-fprofile-instr-generate|Os-fcs-profile-generate|Os-fprofile-instr-generate|Oz-fcs-profile-generate|Oz-fprofile-instr-generate
psa_get_and_lock_key_slot_in_memory	../tf-psa-crypto/core/psa_crypto_slot_management.c	413	18	        status = (slot_idx < MBEDTLS_PSA_KEY_SLOT_COUNT) ?	(	mmem	O0-fprofile-generate|O0-fprofile-instr-generate|O2-fprofile-instr-generate|O3-fprofile-instr-generate|Os-fprofile-instr-generate|Oz-fprofile-instr-generate
mbedtls_ssl_tls13_process_certificate_verify	ssl_tls13_generic.c	365	39	                                      (ssl->conf->endpoint == MBEDTLS_SSL_IS_CLIENT) ?	(	mmem	O0-fprofile-generate|O0-fprofile-instr-generate|O1-fprofile-instr-generate|O2-fprofile-instr-generate|O3-fprofile-instr-generate|Os-fprofile-instr-generate|Oz-fprofile-instr-generate
mbedtls_psa_aead_set_nonce	../tf-psa-crypto/drivers/builtin/src/psa_crypto_aead.c	373	32	                               operation->is_encrypt ?	o	mmem	O0-fprofile-generate|O0-fprofile-instr-generate
psa_raw_key_agreement	../tf-psa-crypto/core/psa_crypto.c	7817	53	    unlock_status = psa_unregister_read_under_mutex(slot);	s	cjump	O1--simplifycfg-merge-cond-stores-aggressively|Os--simplifycfg-merge-cond-stores-aggressively|Oz--simplifycfg-merge-cond-stores-aggressively
mbedtls_ssl_tls13_handshake_client_step	ssl_tls13_client.c	1736	31	    allowed_extensions_mask = is_hrr ?	i	mmem	O1-fcs-profile-generate|O1-fprofile-generate|O1-fprofile-instr-generate|O2-fprofile-instr-generate|O3-fprofile-instr-generate|Os-fprofile-instr-generate|Oz-fprofile-generate|Oz-fprofile-instr-generate
mbedtls_ssl_tls13_write_client_hello_exts	ssl_tls13_client.c	51	34	    unsigned char versions_len = (ssl->handshake->min_tls_version <=	(	mmem	O1-fcs-profile-generate|O1-fprofile-generate|O2-fcs-profile-generate|O2-fprofile-generate|O3-fcs-profile-generate|O3-fprofile-generate|Os-fcs-profile-generate|Os-fprofile-generate|Oz-fcs-profile-generate|Oz-fprofile-generate|Oz-fprofile-instr-generate
ecp_mul_restartable_internal	../tf-psa-crypto/drivers/builtin/src/ecp.c	2230	21	    T_size = 1U << (w - 1);	w	mmem	O1-fcs-profile-generate|O1-fprofile-generate|O2-fcs-profile-generate|O2-fprofile-generate|O3-fcs-profile-generate|O3-fprofile-generate|Os-fcs-profile-generate|Os-fprofile-generate|Oz-fcs-profile-generate|Oz-fprofile-generate
mbedtls_camellia_setkey_dec	../tf-psa-crypto/drivers/builtin/src/camellia.c	422	30	    SK = cty.rk + 24 * 2 + 8 * idx * 2;	*	mmem	O1-fcs-profile-generate|O1-fprofile-generate|O2-fcs-profile-generate|O2-fprofile-generate|O3-fcs-profile-generate|O3-fprofile-generate|Os-fcs-profile-generate|Os-fprofile-generate|Oz-fcs-profile-generate|Oz-fprofile-generate
