function	file	line	col	source	char	type	optimization
mbedtls_asn1_write_named_bitstring	../tf-psa-crypto/drivers/builtin/src/asn1write.c	276	27	    byte_len = (bits + 7) / 8;	/	mdiv	O0-fglobal-isel
mbedtls_mpi_write_string	../tf-psa-crypto/drivers/builtin/src/bignum.c	672	48	                *(p++) = "0123456789ABCDEF" [c % 16];	%	mdiv	O0-fglobal-isel
mbedtls_mpi_core_shift_l	../tf-psa-crypto/drivers/builtin/src/bignum_core.c	376	16	    v0 = count / (biL);	/	mdiv	O0-fglobal-isel
mbedtls_ecdsa_der_to_raw	../tf-psa-crypto/drivers/builtin/src/psa_util.c	538	30	    size_t coordinate_size = PSA_BITS_TO_BYTES(bits);	P	mdiv	O0-fglobal-isel
mbedtls_mpi_set_bit	../tf-psa-crypto/drivers/builtin/src/bignum.c	410	22	    size_t off = pos / biL;	/	mdiv	O0-fglobal-isel
mbedtls_camellia_setkey_enc	../tf-psa-crypto/drivers/builtin/src/camellia.c	384	9	        SHIFT_AND_PLACE(idx, 3);	S	mdiv	O0-fglobal-isel
ssl_bitmask_check	ssl_msg.c	2916	25	    for (i = 0; i < len % 8; i++) {	%	mdiv	O0-fglobal-isel
mbedtls_sha3_update	../tf-psa-crypto/drivers/builtin/src/sha3.c	322	43	        int align_bytes = 8 - (ctx->index % 8);	%	mdiv	O0-fglobal-isel
mbedtls_mpi_read_string	../tf-psa-crypto/drivers/builtin/src/bignum.c	544	13	        n = BITS_TO_LIMBS(slen << 2);	B	mdiv	O0-fglobal-isel
exp_mod_calc_first_bit_optionally_safe	../tf-psa-crypto/drivers/builtin/src/bignum_core.c	781	32	        *E_limb_index = E_bits / biL;	/	mdiv	O0-fglobal-isel
aria_rot128	../tf-psa-crypto/drivers/builtin/src/aria.c	326	26	    const uint8_t n1 = n % 32;              // bit offset	%	mdiv	O0-fglobal-isel
mbedtls_mpi_core_write_be	../tf-psa-crypto/drivers/builtin/src/bignum_core.c	317	17	            if (GET_BYTE(X, i) != 0) {	G	mdiv	O0-fglobal-isel
ecdsa_verify_psa	../tf-psa-crypto/drivers/builtin/src/pk_wrap.c	292	28	    size_t signature_len = PSA_ECDSA_SIGNATURE_SIZE(curve_bits);	P	mdiv	O0-fglobal-isel
ecp_check_pubkey_mx	../tf-psa-crypto/drivers/builtin/src/ecp.c	2866	53	    if (mbedtls_mpi_size(&pt->X) > (grp->nbits + 7) / 8) {	/	mdiv	O0-fglobal-isel
mbedtls_mpi_core_write_le	../tf-psa-crypto/drivers/builtin/src/bignum_core.c	273	17	            if (GET_BYTE(A, i) != 0) {	G	mdiv	O0-fglobal-isel
mbedtls_aes_crypt_cbc	../tf-psa-crypto/drivers/builtin/src/aes.c	1077	16	    if (length % 16) {	%	mdiv	O0-fglobal-isel
mbedtls_mpi_core_read_be	../tf-psa-crypto/drivers/builtin/src/bignum_core.c	231	26	    const size_t limbs = CHARS_TO_LIMBS(input_length);	C	mdiv	O0-fglobal-isel
mbedtls_camellia_setkey_enc	../tf-psa-crypto/drivers/builtin/src/camellia.c	376	9	        SHIFT_AND_PLACE(idx, 1);	S	mdiv	O0-fglobal-isel
mbedtls_mpi_core_write_le	../tf-psa-crypto/drivers/builtin/src/bignum_core.c	280	21	        output[i] = GET_BYTE(A, i);	G	mdiv	O0-fglobal-isel
mbedtls_mpi_core_fill_random	../tf-psa-crypto/drivers/builtin/src/bignum_core.c	622	26	    const size_t limbs = CHARS_TO_LIMBS(n_bytes);	C	mdiv	O0-fglobal-isel
mbedtls_des_key_set_parity	../tf-psa-crypto/drivers/builtin/src/des.c	315	42	        key[i] = odd_parity_table[key[i] / 2];	/	mdiv	O0-fglobal-isel
ssl_bitmask_set	ssl_msg.c	2866	30	    start_bits = 8 - (offset % 8);	%	mdiv	O0-fglobal-isel
