function	file	line	col	source	char	type	optimization
mbedtls_psa_rsa_verify_hash	../tf-psa-crypto/drivers/builtin/src/psa_crypto_rsa.c	106	41	    return (mbedtls_md_type_t) (psa_alg & PSA_ALG_HASH_MASK);	&	cjump	O1--bonus-inst-threshold=100|O1--bonus-inst-threshold=50|O2--bonus-inst-threshold=100|O2--bonus-inst-threshold=50|O3--bonus-inst-threshold=100|O3--bonus-inst-threshold=50
mbedtls_psa_ecdsa_sign_hash	../tf-psa-crypto/drivers/builtin/src/psa_crypto_ecp.c	106	41	    return (mbedtls_md_type_t) (psa_alg & PSA_ALG_HASH_MASK);	&	cjump	O1--bonus-inst-threshold=100|O1--bonus-inst-threshold=50|O2--bonus-inst-threshold=100|O2--bonus-inst-threshold=50|O3--bonus-inst-threshold=100|O3--bonus-inst-threshold=50
mbedtls_psa_rsa_sign_hash	../tf-psa-crypto/drivers/builtin/src/psa_crypto_rsa.c	106	41	    return (mbedtls_md_type_t) (psa_alg & PSA_ALG_HASH_MASK);	&	cjump	O1--bonus-inst-threshold=100|O1--bonus-inst-threshold=50|O2--bonus-inst-threshold=100|O2--bonus-inst-threshold=50|O3--bonus-inst-threshold=100|O3--bonus-inst-threshold=50
mbedtls_ssl_read_record	ssl_msg.c	4301	39	                hs_buf->is_fragmented =	=	cjump	O1--cold-callsite-rel-freq=-1|O1--cold-callsite-rel-freq=0|O1--cold-callsite-rel-freq=100|O1--cold-callsite-rel-freq=50|O1--enable-module-inliner|O1--inline-threshold=100|O1--inline-threshold=50|O1--inlinedefault-threshold=100|O1--inlinedefault-threshold=50
psa_rsa_oaep_set_padding_mode	../tf-psa-crypto/drivers/builtin/src/psa_crypto_rsa.c	106	41	    return (mbedtls_md_type_t) (psa_alg & PSA_ALG_HASH_MASK);	&	cjump	O1--cold-callsite-rel-freq=-1|O1--cold-callsite-rel-freq=100|O1--cold-callsite-rel-freq=50|O1--inline-threshold=-1|O1--inline-threshold=0|O1--inline-threshold=50|O1--inlinedefault-threshold=-1|O1--inlinedefault-threshold=0|O1--inlinedefault-threshold=50|O1-finline-hint-functions|O1-finstrument-functions|O2--cold-callsite-rel-freq=-1|O2--cold-callsite-rel-freq=100|O2--cold-callsite-rel-freq=50|O2--inline-threshold=-1|O2--inline-threshold=0|O2--inline-threshold=50|O2--inlinedefault-threshold=-1|O2--inlinedefault-threshold=0|O2--inlinedefault-threshold=50|O2-finline-hint-functions|O2-finstrument-functions|O3--cold-callsite-rel-freq=-1|O3--cold-callsite-rel-freq=100|O3--cold-callsite-rel-freq=50|O3--inline-threshold=-1|O3--inline-threshold=0|O3--inline-threshold=50|O3-finline-hint-functions|O3-finstrument-functions
mbedtls_ssl_read_record	ssl_msg.c	4421	41	                    hs_buf->is_complete = (ssl_bitmask_check(bitmask,	=	cjump	O1--disable-branch-fold|O1--enable-misched=false|O1--enable-tail-merge=false|O1--machine-sink-split-probability-threshold=100|O1--machine-sink-split-probability-threshold=50|O1--misched=ilpmin|O1--pre-RA-sched=fast|O1--pre-RA-sched=linearize|O1--tail-merge-size=100|O1--tail-merge-size=50|O1--tail-merge-threshold=0|O1-fmemory-profile
ecp_mul_restartable_internal	../tf-psa-crypto/drivers/builtin/src/ecp.c	2231	30	    d = (grp->nbits + w - 1) / w;	/	mdiv	O1--disable-machine-sink
psa_mac_compute_internal	../tf-psa-crypto/core/psa_crypto.c	1107	12	    slot = *p_slot;	*	cjump	O1--enable-partial-inlining|O2--enable-partial-inlining|O3--enable-partial-inlining
psa_aead_setup	../tf-psa-crypto/core/psa_crypto.c	1107	12	    slot = *p_slot;	*	cjump	O1--enable-partial-inlining|O2--enable-partial-inlining|O3--enable-partial-inlining
psa_mac_setup	../tf-psa-crypto/core/psa_crypto.c	1107	12	    slot = *p_slot;	*	cjump	O1--enable-partial-inlining|O2--enable-partial-inlining|O3--enable-partial-inlining
ssl_tls12_populate_transform	ssl_tls.c	7892	44	        transform->minlen = explicit_ivlen + transform->taglen;	+	cjump	O1--hoist-common-insts|O1--sink-common-insts|O2--enable-gvn-sink|O2--hoist-common-insts|O2--sink-common-insts|O3--enable-gvn-sink|O3--hoist-common-insts|O3--sink-common-insts|Os--enable-gvn-sink|Os--hoist-common-insts|Os--sink-common-insts|Oz--enable-gvn-sink|Oz--hoist-common-insts|Oz--sink-common-insts
