function	file	line	col	source	char	type	optimization
ssl_ticket_gen_key	ssl_ticket.c	92	11	    ret = PSA_TO_MBEDTLS_ERR(	P	mdiv	O0-fglobal-isel
rsa_rsassa_pss_sign_no_mode_check	../tf-psa-crypto/drivers/builtin/src/rsa.c	2202	13	    if (msb % 8 == 0) {	%	mdiv	O0-fglobal-isel
mbedtls_mpi_read_string	../tf-psa-crypto/drivers/builtin/src/bignum.c	551	45	            X->p[j / (2 * ciL)] |= d << ((j % (2 * ciL)) << 2);	%	mdiv	O0-fglobal-isel
mbedtls_debug_print_buf	debug.c	141	15	        if (i % 16 == 0) {	%	mdiv	O0-fglobal-isel
mbedtls_ecp_gen_privkey_mx	../tf-psa-crypto/drivers/builtin/src/ecp.c	2951	38	    size_t n_random_bytes = high_bit / 8 + 1;	/	mdiv	O0-fglobal-isel
mbedtls_ecp_fix_negative	../tf-psa-crypto/drivers/builtin/src/ecp_curves.c	4993	46	    } while (N->p[i++] == 0 && i <= bits / 8 / sizeof(mbedtls_mpi_uint));	/	mdiv	O0-fglobal-isel
mbedtls_ccm_update_ad	../tf-psa-crypto/drivers/builtin/src/ccm.c	320	43	            offset = (ctx->processed + 2) % 16; /* account for y[0] and y[1]	%	mdiv	O0-fglobal-isel
mbedtls_mpi_div_mpi	../tf-psa-crypto/drivers/builtin/src/bignum.c	1436	32	    k = mbedtls_mpi_bitlen(&Y) % biL;	%	mdiv	O0-fglobal-isel
ecp_mod_p384	../tf-psa-crypto/drivers/builtin/src/ecp_curves.c	5100	59	    SUB(19);                                              NEXT;   // A8	N	mdiv	O0-fglobal-isel
mbedtls_sha3_update	../tf-psa-crypto/drivers/builtin/src/sha3.c	322	43	        int align_bytes = 8 - (ctx->index % 8);	%	mdiv	O0-fglobal-isel
mbedtls_ecp_fix_negative	../tf-psa-crypto/drivers/builtin/src/ecp_curves.c	4986	31	    for (i = 0; i <= bits / 8 / sizeof(mbedtls_mpi_uint); i++) {	/	mdiv	O0-fglobal-isel
mbedtls_des_crypt_cbc	../tf-psa-crypto/drivers/builtin/src/des.c	630	16	    if (length % 8) {	%	mdiv	O0-fglobal-isel
mbedtls_mpi_core_read_le	../tf-psa-crypto/drivers/builtin/src/bignum_core.c	208	26	    const size_t limbs = CHARS_TO_LIMBS(input_length);	C	mdiv	O0-fglobal-isel
mbedtls_rsa_gen_key	../tf-psa-crypto/drivers/builtin/src/rsa.c	1116	57	        if (mbedtls_mpi_bitlen(&ctx->D) <= ((nbits + 1) / 2)) {      // (FIPS 186-4 §B.3.1 criterion 3(a))	/	mdiv	O0-fglobal-isel
mbedtls_mpi_fill_random	../tf-psa-crypto/drivers/builtin/src/bignum.c	1863	26	    const size_t limbs = CHARS_TO_LIMBS(size);	C	mdiv	O0-fglobal-isel
mbedtls_aes_crypt_cbc	../tf-psa-crypto/drivers/builtin/src/aes.c	1077	16	    if (length % 16) {	%	mdiv	O0-fglobal-isel
psa_generate_derived_key_internal	../tf-psa-crypto/core/psa_crypto.c	6464	20	    size_t bytes = PSA_BITS_TO_BYTES(bits);	P	mdiv	O0-fglobal-isel
mbedtls_camellia_crypt_cbc	../tf-psa-crypto/drivers/builtin/src/camellia.c	529	16	    if (length % 16) {	%	mdiv	O0-fglobal-isel
mbedtls_debug_print_mpi	debug.c	198	38	        for (n = (int) ((bitlen - 1) / 8); n >= 0; n--) {	/	mdiv	O0-fglobal-isel
mbedtls_pem_write_buffer	../tf-psa-crypto/drivers/builtin/src/pem.c	507	86	    add_len = strlen(header) + strlen(footer) + (((use_len > 2) ? (use_len - 2) : 0) / 64) + 1;	/	mdiv	O0-fglobal-isel
mbedtls_des3_crypt_cbc	../tf-psa-crypto/drivers/builtin/src/des.c	726	16	    if (length % 8) {	%	mdiv	O0-fglobal-isel
mbedtls_mpi_read_string	../tf-psa-crypto/drivers/builtin/src/bignum.c	551	20	            X->p[j / (2 * ciL)] |= d << ((j % (2 * ciL)) << 2);	/	mdiv	O0-fglobal-isel
ssl_tls13_get_cipher_key_info	ssl_tls13_keys.c	1067	16	    *key_len = PSA_BITS_TO_BYTES(key_bits);	P	mdiv	O0-fglobal-isel
mbedtls_asn1_write_named_bitstring	../tf-psa-crypto/drivers/builtin/src/asn1write.c	276	27	    byte_len = (bits + 7) / 8;	/	mdiv	O0-fglobal-isel
ecp_mod_p384	../tf-psa-crypto/drivers/builtin/src/ecp_curves.c	5073	5	    INIT(384);	I	mdiv	O0-fglobal-isel
ecp_mod_p256	../tf-psa-crypto/drivers/builtin/src/ecp_curves.c	5039	53	    SUB(11); SUB(12); SUB(13); SUB(14);             NEXT;         // A0	N	mdiv	O0-fglobal-isel
ssl_get_reassembly_buffer_size	ssl_msg.c	2935	45	        alloc_len += msg_len / 8 + (msg_len % 8 != 0);   /* Bitmap       */	%	mdiv	O0-fglobal-isel
exp_mod_calc_first_bit_optionally_safe	../tf-psa-crypto/drivers/builtin/src/bignum_core.c	781	32	        *E_limb_index = E_bits / biL;	/	mdiv	O0-fglobal-isel
ecp_mod_p256	../tf-psa-crypto/drivers/builtin/src/ecp_curves.c	5042	53	    SUB(12); SUB(13); SUB(14); SUB(15);             NEXT;         // A1	N	mdiv	O0-fglobal-isel
ecp_mod_p384	../tf-psa-crypto/drivers/builtin/src/ecp_curves.c	5106	59	    SUB(21);                                              NEXT;   // A10	N	mdiv	O0-fglobal-isel
ecp_mod_p256	../tf-psa-crypto/drivers/builtin/src/ecp_curves.c	5051	56	    SUB(9); SUB(10);                                   NEXT;      // A4	N	mdiv	O0-fglobal-isel
hmac_drbg_reseed_core	../tf-psa-crypto/drivers/builtin/src/hmac_drbg.c	148	54	            total_entropy_len = ctx->entropy_len * 3 / 2;	/	mdiv	O0-fglobal-isel
mbedtls_mpi_core_shift_r	../tf-psa-crypto/drivers/builtin/src/bignum_core.c	336	16	    v0 = count /  biL;	/	mdiv	O0-fglobal-isel
ecp_mod_p256	../tf-psa-crypto/drivers/builtin/src/ecp_curves.c	5057	55	    SUB(8); SUB(9);                                   NEXT;       // A6	N	mdiv	O0-fglobal-isel
ssl_bitmask_set	ssl_msg.c	2866	30	    start_bits = 8 - (offset % 8);	%	mdiv	O0-fglobal-isel
mbedtls_mpi_read_binary_le	../tf-psa-crypto/drivers/builtin/src/bignum.c	797	26	    const size_t limbs = CHARS_TO_LIMBS(buflen);	C	mdiv	O0-fglobal-isel
ecp_mod_p256	../tf-psa-crypto/drivers/builtin/src/ecp_curves.c	5045	55	    SUB(13); SUB(14); SUB(15);                        NEXT;       // A2	N	mdiv	O0-fglobal-isel
mbedtls_ccm_set_lengths	../tf-psa-crypto/drivers/builtin/src/ccm.c	270	49	    if (tag_len == 2 || tag_len > 16 || tag_len % 2 != 0) {	%	mdiv	O0-fglobal-isel
ecp_mod_p256	../tf-psa-crypto/drivers/builtin/src/ecp_curves.c	5054	57	    SUB(10); SUB(11);                                   NEXT;     // A5	N	mdiv	O0-fglobal-isel
derive_mpi	../tf-psa-crypto/drivers/builtin/src/ecdsa.c	204	38	    size_t n_size = (grp->nbits + 7) / 8;	/	mdiv	O0-fglobal-isel
mbedtls_ecp_fix_negative	../tf-psa-crypto/drivers/builtin/src/ecp_curves.c	5006	19	    N->p[bits / 8 / sizeof(mbedtls_mpi_uint)] += msw;	/	mdiv	O0-fglobal-isel
mbedtls_gcm_update	../tf-psa-crypto/drivers/builtin/src/gcm.c	601	23	    offset = ctx->len % 16;	%	mdiv	O0-fglobal-isel
main	ssl/ssl_context_info.c	933	51	            size_t ssl_required_len = b64_len * 3 / 4 + 1;	/	mdiv	O0-fglobal-isel
mbedtls_debug_print_buf	debug.c	157	15	        txt[i % 16] = (buf[i] > 31 && buf[i] < 127) ? buf[i] : '.';	%	mdiv	O0-fglobal-isel
mbedtls_mpi_set_bit	../tf-psa-crypto/drivers/builtin/src/bignum.c	411	22	    size_t idx = pos % biL;	%	mdiv	O0-fglobal-isel
