function	file	line	col	source	char	type	optimization
PQCLEAN_HQC256_CLEAN_reed_solomon_decode	reed_solomon.c	232	23	            beta_j[j] += mask1 & mask2 & gf_exp[i];	+	cjump	O1--disable-branch-fold|O1--rotation-max-header-size=0|O2--disable-branch-fold|O2--jump-threading-across-loop-headers|O2--partial-unrolling-threshold=100|O2--partial-unrolling-threshold=50|O2--rotation-max-header-size=0|O2--unroll-allow-partial|Os--disable-branch-fold|Os--jump-threading-across-loop-headers|Os--rotation-max-header-size=0
PQCLEAN_HQC256_CLEAN_vect_set_random_fixed_weight	vector.c	47	14	    return r + (n & mask);	+	cjump	O1--disable-branch-fold|O1--rotation-max-header-size=0|O1-ftrapv
PQCLEAN_HQC192_CLEAN_reed_solomon_decode	reed_solomon.c	232	23	            beta_j[j] += mask1 & mask2 & gf_exp[i];	+	cjump	O1--disable-branch-fold|O1--rotation-max-header-size=0|O2--disable-branch-fold|O2--jump-threading-across-loop-headers|O2--rotation-max-header-size=0|O2--unroll-max-iteration-count-to-analyze=100|O2--unroll-max-iteration-count-to-analyze=50|Os--disable-branch-fold|Os--jump-threading-across-loop-headers|Os--rotation-max-header-size=0
PQCLEAN_HQC128_CLEAN_vect_set_random_fixed_weight	vector.c	36	13	        ret |= mask & tmp;	|	cjump	O1--disable-branch-fold|O1--disable-machine-sink|O1--rotation-max-header-size=0|O2--disable-branch-fold|O2--disable-machine-sink|O2--disable-preheader-prot|O2--rotation-max-header-size=0|O2-fprofile-arcs|O3--disable-branch-fold|O3--rotation-max-header-size=0|O3--unroll-count=50|O3--unroll-runtime|Os--disable-branch-fold|Os--disable-machine-sink|Os--disable-preheader-prot|Os--rotation-max-header-size=0|Os--unroll-count=100|Os--unroll-count=50|Os-fprofile-arcs
PQCLEAN_MLDSA65_CLEAN_poly_chknorm	poly.c	285	26	        t = a->coeffs[i] - (t & 2 * a->coeffs[i]);	-	cjump	O1--disable-branch-fold|O1--disable-machine-sink|O1--rotation-max-header-size=0|O1-fprofile-arcs|O1-fpseudo-probe-for-profiling|O2--disable-branch-fold|O2--disable-machine-sink|O2--partial-unrolling-threshold=100|O2--partial-unrolling-threshold=50|O2--rotation-max-header-size=0|O2--unroll-allow-partial|O2--unroll-count=100|O2--unroll-count=50|O2-fprofile-arcs|O2-fpseudo-probe-for-profiling|O3--disable-branch-fold|O3--disable-machine-sink|O3--partial-unrolling-threshold=100|O3--partial-unrolling-threshold=50|O3--rotation-max-header-size=0|O3--unroll-allow-partial|O3--unroll-count=100|O3--unroll-count=50|O3-fprofile-arcs|O3-fpseudo-probe-for-profiling|Os--disable-branch-fold|Os--disable-machine-sink|Os--rotation-max-header-size=0|Os--unroll-count=100|Os--unroll-count=50|Os-fprofile-arcs|Os-fpseudo-probe-for-profiling
PQCLEAN_MLDSA44_CLEAN_poly_chknorm	poly.c	285	26	        t = a->coeffs[i] - (t & 2 * a->coeffs[i]);	-	cjump	O1--disable-branch-fold|O1--disable-machine-sink|O1--rotation-max-header-size=0|O1-fprofile-arcs|O1-fpseudo-probe-for-profiling|O2--disable-branch-fold|O2--disable-machine-sink|O2--partial-unrolling-threshold=100|O2--partial-unrolling-threshold=50|O2--rotation-max-header-size=0|O2--unroll-allow-partial|O2--unroll-count=100|O2--unroll-count=50|O2-fprofile-arcs|O2-fpseudo-probe-for-profiling|O3--disable-branch-fold|O3--disable-machine-sink|O3--partial-unrolling-threshold=100|O3--partial-unrolling-threshold=50|O3--rotation-max-header-size=0|O3--unroll-allow-partial|O3--unroll-count=100|O3--unroll-count=50|O3-fprofile-arcs|O3-fpseudo-probe-for-profiling|Os--disable-branch-fold|Os--disable-machine-sink|Os--rotation-max-header-size=0|Os--unroll-count=100|Os--unroll-count=50|Os-fprofile-arcs|Os-fpseudo-probe-for-profiling
PQCLEAN_HQC256_CLEAN_vect_set_random_fixed_weight	vector.c	36	13	        ret |= mask & tmp;	|	cjump	O1--disable-branch-fold|O1--disable-machine-sink|O1--rotation-max-header-size=0|O2--disable-branch-fold|O2--disable-machine-sink|O2--disable-preheader-prot|O2--rotation-max-header-size=0|O2-fprofile-arcs|O3--disable-branch-fold|O3--rotation-max-header-size=0|O3--unroll-count=50|O3--unroll-runtime|Os--disable-branch-fold|Os--disable-machine-sink|Os--disable-preheader-prot|Os--rotation-max-header-size=0|Os--unroll-count=100|Os--unroll-count=50|Os-fprofile-arcs
PQCLEAN_HQC128_CLEAN_vect_set_random_fixed_weight	vector.c	47	14	    return r + (n & mask);	+	cjump	O1--disable-branch-fold|O1--rotation-max-header-size=0|O1-ftrapv
PQCLEAN_HQC128_CLEAN_reed_solomon_decode	reed_solomon.c	232	23	            beta_j[j] += mask1 & mask2 & gf_exp[i];	+	cjump	O1--disable-branch-fold|O1--rotation-max-header-size=0|O2--disable-branch-fold|O2--jump-threading-across-loop-headers|O2--rotation-max-header-size=0|O2--unroll-allow-partial|O2--unroll-max-iteration-count-to-analyze=100|O2--unroll-max-iteration-count-to-analyze=50|Os--disable-branch-fold|Os--jump-threading-across-loop-headers|Os--rotation-max-header-size=0
PQCLEAN_MLDSA87_CLEAN_poly_chknorm	poly.c	285	26	        t = a->coeffs[i] - (t & 2 * a->coeffs[i]);	-	cjump	O1--disable-branch-fold|O1--disable-machine-sink|O1--rotation-max-header-size=0|O1-fprofile-arcs|O1-fpseudo-probe-for-profiling|O2--disable-branch-fold|O2--disable-machine-sink|O2--partial-unrolling-threshold=100|O2--partial-unrolling-threshold=50|O2--rotation-max-header-size=0|O2--unroll-allow-partial|O2--unroll-count=100|O2--unroll-count=50|O2-fprofile-arcs|O2-fpseudo-probe-for-profiling|O3--disable-branch-fold|O3--disable-machine-sink|O3--partial-unrolling-threshold=100|O3--partial-unrolling-threshold=50|O3--rotation-max-header-size=0|O3--unroll-allow-partial|O3--unroll-count=100|O3--unroll-count=50|O3-fprofile-arcs|O3-fpseudo-probe-for-profiling|Os--disable-branch-fold|Os--disable-machine-sink|Os--rotation-max-header-size=0|Os--unroll-count=100|Os--unroll-count=50|Os-fprofile-arcs|Os-fpseudo-probe-for-profiling
