function	file	line	col	source	char	type	optimization
ecp_mod_p256	../tf-psa-crypto/drivers/builtin/src/ecp_curves.c	5048	53	    SUB(15); SUB(8); SUB(9);                        NEXT;         // A3	N	mdiv	O0
exp_mod_calc_first_bit_optionally_safe	../tf-psa-crypto/drivers/builtin/src/bignum_core.c	782	31	        *E_bit_index = E_bits % biL;	%	mdiv	O0
x509_date_is_valid	x509.c	580	51	                                         && (year % 400)))	%	mdiv	O0
mbedtls_aes_xts_decode_keys	../tf-psa-crypto/drivers/builtin/src/aes.c	755	53	    const unsigned int half_keybytes = half_keybits / 8;	/	mdiv	O0
ecp_mod_p256	../tf-psa-crypto/drivers/builtin/src/ecp_curves.c	5039	53	    SUB(11); SUB(12); SUB(13); SUB(14);             NEXT;         // A0	N	mdiv	O0
ecdh_calc_secret_internal	../tf-psa-crypto/drivers/builtin/src/ecdh.c	649	28	    *olen = ctx->grp.pbits / 8 + ((ctx->grp.pbits % 8) != 0);	/	mdiv	O0
mbedtls_net_usleep	net_sockets.c	529	37	    tv.tv_usec = (suseconds_t) usec % 1000000;	%	mdiv	O0|Oz
main	ssl/ssl_context_info.c	933	51	            size_t ssl_required_len = b64_len * 3 / 4 + 1;	/	mdiv	O0
mbedtls_pkcs5_pbes2_ext	../tf-psa-crypto/drivers/builtin/src/pkcs5.c	195	68	    keylen = (int) mbedtls_cipher_info_get_key_bitlen(cipher_info) / 8;	/	mdiv	O0
psa_validate_tag_length	../tf-psa-crypto/core/psa_crypto.c	4962	56	            if (tag_len < 4 || tag_len > 16 || tag_len % 2) {	%	mdiv	O0
mbedtls_ccm_set_lengths	../tf-psa-crypto/drivers/builtin/src/ccm.c	270	49	    if (tag_len == 2 || tag_len > 16 || tag_len % 2 != 0) {	%	mdiv	O0
mbedtls_poly1305_update	../tf-psa-crypto/drivers/builtin/src/poly1305.c	312	19	        remaining %= POLY1305_BLOCK_SIZE_BYTES;	%	mdiv	O0
good_nonce_len	../tf-psa-crypto/drivers/builtin/src/ctr_drbg.c	520	34	        return (entropy_len + 1) / 2;	/	mdiv	O0
mbedtls_mpi_get_bit	../tf-psa-crypto/drivers/builtin/src/bignum.c	401	37	    return (X->p[pos / biL] >> (pos % biL)) & 0x01;	%	mdiv	O0
ecp_mod_p256	../tf-psa-crypto/drivers/builtin/src/ecp_curves.c	5054	57	    SUB(10); SUB(11);                                   NEXT;     // A5	N	mdiv	O0
ecp_precompute_comb	../tf-psa-crypto/drivers/builtin/src/ecp.c	1829	15	        if (j % d == 0) {	%	mdiv	O0
mbedtls_net_poll	net_sockets.c	487	9	        FD_SET((SOCKET) fd, &write_fds);	F	mdiv	O0|Oz
mbedtls_net_poll	net_sockets.c	510	9	    if (FD_ISSET(fd, &write_fds)) {	F	mdiv	O0
