function	file	line	col	source	char	type	optimization
PQCLEAN_MLDSA65_CLEAN_poly_uniform	poly.c	361	22	        off = buflen % 3;	%	cjump	O0--expand-div-rem-bits=0|O1--expand-div-rem-bits=0|O2--expand-div-rem-bits=0|O3--expand-div-rem-bits=0|Os--expand-div-rem-bits=0|Oz--expand-div-rem-bits=0
PQCLEAN_MLDSA44_CLEAN_poly_uniform	poly.c	361	22	        off = buflen % 3;	%	cjump	O0--expand-div-rem-bits=0|O1--expand-div-rem-bits=0|O2--expand-div-rem-bits=0|O3--expand-div-rem-bits=0|Os--expand-div-rem-bits=0|Oz--expand-div-rem-bits=0
solve_NTRU_intermediate	keygen.c	3212	34	        sch = (uint32_t)(scale_k / 31);	/	cjump	O0--expand-div-rem-bits=0|O1--expand-div-rem-bits=0|O2--expand-div-rem-bits=0|O3--expand-div-rem-bits=0|Os--expand-div-rem-bits=0|Oz--expand-div-rem-bits=0
PQCLEAN_MLDSA87_CLEAN_poly_uniform	poly.c	361	22	        off = buflen % 3;	%	cjump	O0--expand-div-rem-bits=0|O1--expand-div-rem-bits=0|O2--expand-div-rem-bits=0|O3--expand-div-rem-bits=0|Os--expand-div-rem-bits=0|Oz--expand-div-rem-bits=0
compute_error_values	reed_solomon.c	251	111	            tmp2 = PQCLEAN_HQC128_CLEAN_gf_mul(tmp2, (1 ^ PQCLEAN_HQC128_CLEAN_gf_mul(inverse, beta_j[(i + k) % PARAM_DELTA])));	%	cjump	O0--expand-div-rem-bits=0|O0--expand-div-rem-bits=50
solve_NTRU_intermediate	keygen.c	3213	34	        scl = (uint32_t)(scale_k % 31);	%	cjump	O0--expand-div-rem-bits=0
solve_NTRU_intermediate	keygen.c	3212	34	        sch = (uint32_t)(scale_k / 31);	/	mdiv	O1--aarch64-enable-global-isel-at-O=100|O1--aarch64-enable-global-isel-at-O=50|O1--aarch64-stress-promote-const|O1--fast-isel|O2--aarch64-enable-global-isel-at-O=100|O2--aarch64-enable-global-isel-at-O=50|O2--aarch64-stress-promote-const|O2--fast-isel|O3--aarch64-enable-global-isel-at-O=100|O3--aarch64-enable-global-isel-at-O=50|O3--aarch64-stress-promote-const|O3--fast-isel|Os--aarch64-enable-global-isel-at-O=100|Os--aarch64-enable-global-isel-at-O=50|Os--aarch64-stress-promote-const|Os--fast-isel
PQCLEAN_FALCON1024_CLEAN_hash_to_point_vartime	common.c	59	13	            while (w >= 12289) {	w	mdiv	O1--aarch64-stress-promote-const|O1--fast-isel|O2--aarch64-stress-promote-const|O3--aarch64-stress-promote-const|Os--aarch64-stress-promote-const
PQCLEAN_FALCONPADDED1024_CLEAN_hash_to_point_vartime	common.c	59	13	            while (w >= 12289) {	w	mdiv	O1--aarch64-stress-promote-const|O1--fast-isel|O2--aarch64-stress-promote-const|O3--aarch64-stress-promote-const|Os--aarch64-stress-promote-const
PQCLEAN_HQC128_CLEAN_reed_solomon_decode	reed_solomon.c	251	106	            tmp2 = PQCLEAN_HQC128_CLEAN_gf_mul(tmp2, (1 ^ PQCLEAN_HQC128_CLEAN_gf_mul(inverse, beta_j[(i + k) % PARAM_DELTA])));	+	mdiv	O1--aarch64-stress-promote-const|O1--fast-isel|O2--aarch64-stress-promote-const|O2--fast-isel|Os--aarch64-stress-promote-const|Os--fast-isel|Oz--jump-threading-across-loop-headers
PQCLEAN_HQC256_CLEAN_reed_solomon_decode	reed_solomon.c	251	106	            tmp2 = PQCLEAN_HQC256_CLEAN_gf_mul(tmp2, (1 ^ PQCLEAN_HQC256_CLEAN_gf_mul(inverse, beta_j[(i + k) % PARAM_DELTA])));	+	mdiv	O1--aarch64-stress-promote-const|O1--fast-isel|O2--aarch64-stress-promote-const|O2--fast-isel|O3--aarch64-stress-promote-const|O3--fast-isel|Os--aarch64-stress-promote-const|Os--fast-isel|Oz--jump-threading-across-loop-headers
