function	file	line	col	source	char	type	optimization
balloon_open	kdf.c	1136	33	  b->n_blocks = (s_cost * 1024) / b->blklen;	/	mdiv	O0
_gcry_xcalloc_secure	global.c	1281	19	  if (m && nbytes / m != n)	/	mdiv	O0
_gcry_camellia_xts_crypt	camellia-glue.c	1371	39	      nburn = bulk_xts_crypt_128(ctx, encrypt ? camellia_encrypt_blk1_64	e	cjump	O0|O1|O2|O3|Os|Oz
_gcry_kdf_pkdf2	kdf.c	164	19	  l = ((dklen - 1)/ hlen) + 1;	/	mdiv	O0
x963_kdf_final	kdf.c	1962	29	  for (i = 0; i < o->outlen / o->blklen; i++)	/	mdiv	O0
argon2_init	kdf.c	507	34	  segment_length = memory_blocks / (parallelism * 4);	/	mdiv	O0
cmac_tag	cipher-cmac.c	238	14	      return buf_eq_const (tag, ctx->u_iv.iv, taglen) ?	b	cjump	O0|Os|Oz
do_ecb_crypt	cipher.c	1102	22	  nblocks = inbuflen / blocksize;	/	mdiv	O0|Os|Oz
do_ghash_buf	cipher-gcm.c	778	24	      nblocks = buflen / blocksize;	/	mdiv	O0
_gcry_camellia_ecb_crypt	camellia-glue.c	1343	39	      nburn = bulk_ecb_crypt_128(ctx, encrypt ? camellia_encrypt_blk1_64	e	cjump	O0|O1|O2|O3|Os|Oz
ecc_generate	ecc.c	814	28	         "(flags param)" : ((flags & PUBKEY_FLAG_EDDSA))?	(	cjump	O0
mul_inv	idea.c	83	8	 q = x / y;	/	mdiv	O0|Os|Oz
blake2_write	blake2.c	197	18	   nblks = inlen / blkbytes - !(inlen % blkbytes);	/	mdiv	O0|Os|Oz
hkdf_final	kdf.c	1819	29	  for (i = 0; i < h->outlen / h->blklen; i++)	/	mdiv	O0
mul_inv	idea.c	76	20	    t1 = 0x10001UL / x;	/	mdiv	O0|Os|Oz
_gcry_pk_util_data_to_mpi	pubkey-util.c	714	20	      int mpifmt = (ctx->flags & PUBKEY_FLAG_RAW_FLAG) ?	(	cjump	O0
_gcry_kdf_scrypt	scrypt.c	277	22	  if (r128 && nbytes / r128 != N)	/	mdiv	O0
_gcry_calloc	global.c	1140	18	  if (m && bytes / m != n)	/	mdiv	O0
