function	file	line	col	source	char	type	optimization
ossl_bytes_to_cipher_list	ssl/ssl_lib.c	7160	41	    if (PACKET_remaining(cipher_suites) % n != 0) {	%	mdiv	O0|O1|O2|O3|Os|Oz
speed_main	apps/speed.c	4502	62	                   dsa_bits[k], 1.0 / dsa_results[k][0], 1.0 / dsa_results[k][1],	/	mdiv	O0|O1|O2|O3|Os|Oz
speed_main	apps/speed.c	3445	53	            dsa_results[testnum][1] = (double)count / d;	/	mdiv	O0|O1|O2|O3|Os|Oz
safe_muldiv_uint64_t	ssl/quic/quic_fc.c	16	1	OSSL_SAFE_MATH_UNSIGNED(uint64_t, uint64_t)	O	mdiv	O0
speed_main	apps/speed.c	4605	24	                   1.0 / ffdh_results[k][0], ffdh_results[k][0]);	/	mdiv	O0|O2|O3|Os|Oz
adapt	crypto/punycode.c	57	45	    return k + (((base - tmin + 1) * delta) / (delta + skew));	/	mdiv	O0
ssl_cache_cipherlist	ssl/ssl_lib.c	7069	41	    if (PACKET_remaining(cipher_suites) % n != 0) {	%	mdiv	O0|O1|O2|O3|Os|Oz
BN_mod_exp_mont_word	crypto/bn/bn_exp.c	1213	11	        a %= m->d[0];           /* make sure that 'a' is reduced */	%	mdiv	O0|O1|O2|O3|Os|Oz
ssl3_cbc_digest_record	ssl/record/methods/ssl3_cbc.c	380	31	            for (i = 1; i < k / md_block_size - 1; i++)	/	mdiv	O0
ossl_punycode_decode	crypto/punycode.c	173	28	            if (w > maxint / (base - t))	/	mdiv	O0
s_time_main	apps/s_time.c	400	73	             nConn, (long)time(NULL) - finishtime + maxtime, bytes_read / nConn);	/	mdiv	O0|O1|O2|O3|Os|Oz
n_fold	providers/implementations/kdfs/krb5kdf.c	302	19	        tmp = gcd % remainder;	%	mdiv	O0
ossl_cipher_generic_block_update	providers/implementations/ciphers/ciphercommon.c	608	35	            padnum = blksz - (inl % blksz);	%	mdiv	O0|O1|O2|O3|Os|Oz
expand	crypto/lhash/lhash.c	275	19	        if ((hash % nni) != p) { /* move it */	%	mdiv	O0
calculate_columns	apps/lib/columns.c	25	28	    dc->columns = (80 - 1) / dc->width;	/	mdiv	O0|O1|O2|O3|Os|Oz
safe_muldiv_u64	ssl/quic/cc_newreno.c	5	1	OSSL_SAFE_MATH_UNSIGNED(u64, uint64_t)	O	mdiv	O0
speed_main	apps/speed.c	3828	57	                sm2_results[testnum][0] = (double)count / d;	/	mdiv	O0|O1|O2|O3|Os|Oz
speed_main	apps/speed.c	3335	53	            rsa_results[testnum][2] = (double)count / d;	/	mdiv	O0|O1|O2|O3|Os|Oz
ssl_print_compressed_certificates	ssl/t1_trce.c	1427	87	        BIO_printf(bio, "Compressed length=%d, Ratio=%f:1\n", (int)clen, (float)uclen / (float)clen);	/	mdiv	O0|O1|O2|O3|Os
