function	file	line	col	source	char	type	optimization
fft	mceliece6688128f.c	2378	13	   in[0][i] ^= (in[0][i] & mask[k][1]) >> (1 << k);	^	mmem	O1--alias-set-saturation-threshold=0|O1--disable-licm-promotion|O1--licm-mssa-max-acc-promotion=0|O2--alias-set-saturation-threshold=0|O2--disable-licm-promotion|O2--licm-mssa-max-acc-promotion=0|O3--alias-set-saturation-threshold=0|O3--disable-licm-promotion|O3--licm-mssa-max-acc-promotion=0
do_vsexp_sscan	sexp.c	1667	16	       *erroff = p - buffer;	=	cjump	O1--cold-callsite-rel-freq=-1|O1--cold-callsite-rel-freq=100|O1--csuses-threshold=-1|O1--csuses-threshold=0|O1--ifcvt-fn-start=0|O1--ifcvt-fn-start=100|O1--ifcvt-fn-start=50|O1--ifcvt-limit=0|O1--inlinedefault-threshold=50|O1--tail-merge-size=100|O1--tail-merge-size=50|O2--csuses-threshold=-1|O2--csuses-threshold=0|O3--csuses-threshold=-1|O3--csuses-threshold=0
do_vsexp_sscan	sexp.c	1717	16	       *erroff = p - buffer;	=	cjump	O1--cold-callsite-rel-freq=-1|O1--cold-callsite-rel-freq=100|O1--csuses-threshold=-1|O1--csuses-threshold=0|O1--ifcvt-fn-start=0|O1--ifcvt-fn-start=100|O1--ifcvt-fn-start=50|O1--ifcvt-limit=0|O1--inlinedefault-threshold=50|O1--tail-merge-size=100|O1--tail-merge-size=50|O3--cold-callsite-rel-freq=-1|O3--cold-callsite-rel-freq=0|O3--cold-callsite-rel-freq=100|O3--cold-callsite-rel-freq=50|O3--csuses-threshold=-1|O3--csuses-threshold=0|O3--disable-ifcvt-triangle-false|O3--hot-callsite-rel-freq=0|O3--ifcvt-fn-start=0|O3--ifcvt-fn-start=100|O3--ifcvt-fn-start=50|O3--ifcvt-limit=0|O3--machine-sink-split-probability-threshold=100|O3--machine-sink-split-probability-threshold=50|O3--tail-merge-size=100|O3--tail-merge-size=50|Oz--hoist-common-insts
do_vsexp_sscan	sexp.c	1749	12	   *erroff = p - buffer;	=	cjump	O1--cold-callsite-rel-freq=-1|O1--cold-callsite-rel-freq=100|O1--csuses-threshold=-1|O1--csuses-threshold=0|O1--ifcvt-fn-start=0|O1--ifcvt-fn-start=100|O1--ifcvt-fn-start=50|O1--ifcvt-limit=0|O1--inlinedefault-threshold=50|O1--tail-merge-size=100|O1--tail-merge-size=50|Oz--csuses-threshold=-1|Oz--csuses-threshold=0
do_vsexp_sscan	sexp.c	1694	16	       *erroff = p - buffer;	=	cjump	O1--cold-callsite-rel-freq=-1|O1--cold-callsite-rel-freq=100|O1--csuses-threshold=-1|O1--csuses-threshold=0|O1--ifcvt-fn-start=0|O1--ifcvt-fn-start=100|O1--ifcvt-fn-start=50|O1--ifcvt-limit=0|O1--inlinedefault-threshold=50|O1--tail-merge-size=100|O1--tail-merge-size=50|O2--cold-callsite-rel-freq=0|O2--csuses-threshold=-1|O2--csuses-threshold=0|O3--csuses-threshold=-1|O3--csuses-threshold=0
do_vsexp_sscan	sexp.c	1552	27	                  *erroff = p - buffer;	=	cjump	O1--cold-callsite-rel-freq=0|O1--disable-ifcvt-triangle-false|O1--ifcvt-fn-start=0|O1--ifcvt-fn-start=100|O1--ifcvt-fn-start=50|O1--ifcvt-limit=0|O2--cold-callsite-rel-freq=0|O2--csuses-threshold=-1|O2--csuses-threshold=0|O3--cold-callsite-rel-freq=0|O3--csuses-threshold=-1|O3--csuses-threshold=0|O3--hot-callsite-rel-freq=0
do_vsexp_sscan	sexp.c	1325	16	       *erroff = p - buffer;	=	cjump	O1--csuses-threshold=-1|O1--csuses-threshold=0|O2--cold-callsite-rel-freq=0|O2--csuses-threshold=-1|O2--csuses-threshold=0|O3--csuses-threshold=-1|O3--csuses-threshold=0
do_vsexp_sscan	sexp.c	1397	13	    *erroff = p - buffer;	=	cjump	O1--csuses-threshold=-1|O1--csuses-threshold=0|O2--cold-callsite-rel-freq=0|O2--csuses-threshold=-1|O2--csuses-threshold=0|O3--csuses-threshold=-1|O3--csuses-threshold=0
do_vsexp_sscan	sexp.c	1296	13	    *erroff = p - buffer;	=	cjump	O1--csuses-threshold=-1|O1--csuses-threshold=0|O2--cold-callsite-rel-freq=0|O2--csuses-threshold=-1|O2--csuses-threshold=0|O3--csuses-threshold=-1|O3--csuses-threshold=0
_gcry_sexp_canon_len	sexp.c	2136	12	  *errcode = GPG_ERR_NO_ERROR;	=	cjump	O1--disable-ifcvt-triangle-false|O1--ifcvt-fn-start=0|O1--ifcvt-fn-start=100|O1--ifcvt-fn-start=50|O1--ifcvt-limit=0|O2--disable-ifcvt-triangle-false|O2--ifcvt-fn-start=0|O2--ifcvt-fn-start=100|O2--ifcvt-fn-start=50|O2--ifcvt-limit=0|O3--disable-ifcvt-triangle-false|O3--ifcvt-fn-start=0|O3--ifcvt-fn-start=100|O3--ifcvt-fn-start=50|O3--ifcvt-limit=0|Os--disable-ifcvt-triangle-false|Os--ifcvt-fn-start=0|Os--ifcvt-fn-start=100|Os--ifcvt-fn-start=50|Os--ifcvt-limit=0|Oz--disable-ifcvt-triangle-false|Oz--ifcvt-fn-start=0|Oz--ifcvt-fn-start=100|Oz--ifcvt-fn-start=50|Oz--ifcvt-limit=0
