function	file	line	col	source	char	type	optimization
_gcry_mpi_print	mpicoder.c	831	17	      *nwritten = n+2;	=	cjump	O1--cold-callsite-rel-freq=0|O1--enable-misched=false|O1--misched=ilpmin
blake2_write	blake2.c	197	18	   nblks = inlen / blkbytes - !(inlen % blkbytes);	/	mdiv	O1--inlinedefault-threshold=100|O1--inlinedefault-threshold=50|O2--inlinedefault-threshold=100|O2--inlinedefault-threshold=50
_gcry_mpi_powm	mpi-pow.c	116	9	    x = *s1_ptr++;	*	cjump	O1--replexitval=unusedindvarinloop|O2--replexitval=unusedindvarinloop|O3--replexitval=unusedindvarinloop
_gcry_mpi_powm	mpi-pow.c	150	50	 cy = _gcry_mpih_sub_1(res_ptr + s2_size, s1_ptr + s2_size,	+	cjump	O1--replexitval=unusedindvarinloop|O2--replexitval=unusedindvarinloop|O3--replexitval=unusedindvarinloop
_gcry_mpi_powm	mpi-pow.c	118	16	    *res_ptr++ = s2_limb;	=	cjump	O1--replexitval=unusedindvarinloop|O2--replexitval=unusedindvarinloop|O3--replexitval=unusedindvarinloop
_gcry_mpi_powm	mpi-pow.c	116	16	    x = *s1_ptr++;	+	cjump	O1--replexitval=unusedindvarinloop|O2--replexitval=unusedindvarinloop|O3--replexitval=unusedindvarinloop
gcry_err_make_from_errno	visibility.c	957	10	  return code == GPG_ERR_NO_ERROR ? GPG_ERR_NO_ERROR	c	cjump	O1-fshort-enums|O2-fshort-enums|O3-fshort-enums|Os-fshort-enums|Oz-fshort-enums
do_vsexp_sscan	sexp.c	1397	13	    *erroff = p - buffer;	=	cjump	O2--cold-callsite-rel-freq=-1|O2--cold-callsite-rel-freq=0|O2--cold-callsite-rel-freq=100|O2--cold-callsite-rel-freq=50|O2--csuses-threshold=-1|O2--csuses-threshold=0|O2--inlinedefault-threshold=100|O2--inlinedefault-threshold=50|O2--tail-merge-size=100|O2--tail-merge-size=50|O3--cold-callsite-rel-freq=-1|O3--cold-callsite-rel-freq=100|O3--cold-callsite-rel-freq=50|O3--csuses-threshold=-1|O3--csuses-threshold=0|O3--tail-merge-size=100|O3--tail-merge-size=50|Os--cold-callsite-rel-freq=-1|Os--cold-callsite-rel-freq=100|Os--cold-callsite-rel-freq=50|Os--csuses-threshold=-1|Os--csuses-threshold=0|Oz--csuses-threshold=-1|Oz--csuses-threshold=0
do_vsexp_sscan	sexp.c	1325	16	       *erroff = p - buffer;	=	cjump	O2--cold-callsite-rel-freq=-1|O2--cold-callsite-rel-freq=0|O2--cold-callsite-rel-freq=100|O2--cold-callsite-rel-freq=50|O2--csuses-threshold=-1|O2--csuses-threshold=0|O2--inlinedefault-threshold=100|O2--inlinedefault-threshold=50|O2--tail-merge-size=100|O2--tail-merge-size=50|O3--cold-callsite-rel-freq=-1|O3--cold-callsite-rel-freq=100|O3--cold-callsite-rel-freq=50|O3--csuses-threshold=-1|O3--csuses-threshold=0|O3--tail-merge-size=100|O3--tail-merge-size=50|Os--cold-callsite-rel-freq=-1|Os--cold-callsite-rel-freq=100|Os--cold-callsite-rel-freq=50|Os--csuses-threshold=-1|Os--csuses-threshold=0|Oz--csuses-threshold=-1|Oz--csuses-threshold=0
do_vsexp_sscan	sexp.c	1552	27	                  *erroff = p - buffer;	=	cjump	O2--cold-callsite-rel-freq=-1|O2--cold-callsite-rel-freq=100|O2--cold-callsite-rel-freq=50|O2--csuses-threshold=-1|O2--csuses-threshold=0|O2--inlinedefault-threshold=100|O2--inlinedefault-threshold=50|O2--tail-merge-size=100|O2--tail-merge-size=50|O3--cold-callsite-rel-freq=-1|O3--cold-callsite-rel-freq=100|O3--cold-callsite-rel-freq=50|O3--csuses-threshold=-1|O3--csuses-threshold=0|O3--tail-merge-size=100|O3--tail-merge-size=50|Os--cold-callsite-rel-freq=-1|Os--cold-callsite-rel-freq=100|Os--cold-callsite-rel-freq=50|Os--csuses-threshold=-1|Os--csuses-threshold=0|Oz--csuses-threshold=-1|Oz--csuses-threshold=0
