function	file	line	col	source	char	type	optimization
do_keccak_extract	keccak.c	1499	20	   nlanes = outlen / 8;	/	mdiv	O0
poly1305_do_padding	cipher-poly1305.c	78	14	  if (ctr[0] % 16 > 0)	%	mdiv	O0
_gcry_mpih_mod_lli	mpih-const-time.c	206	30	      unsigned int bitno = j % BITS_PER_MPI_LIMB;	%	mdiv	O0
montgomery_mul_point	ec.c	2106	42	      _gcry_mpi_set_buffer (a, raw, (n+7)/8, 0);	/	mdiv	O0
_gcry_cipher_open_internal	cipher.c	773	40	       tc += (16 - (uintptr_t)tc % 16) % 16;	%	mdiv	O0
keccak_extract64	keccak.c	267	34	  for (i = pos; i < pos + outlen / 8 + !!(outlen % 8); i++)	/	mdiv	O0
mul_inv	idea.c	77	20	    y =  0x10001UL % x;	%	mdiv	O0
Decode	sntrup761.c	271	29	      uint16_t M2[(len + 1) / 2];	/	mdiv	O0
nist_generate_key	ecc.c	281	39	            rndbuf[0] &= (1 << (pbits % 8)) - 1;	%	mdiv	O0
prime_generate_internal	primegen.c	346	35	  for (n = 1; (pbits - qbits - 1) / n  >= qbits; n++)	/	mdiv	O0|O1|O2|O3|Os|Oz
_gcry_mpi_set_highbit	mpi-bit.c	154	14	  limbno = n / BITS_PER_MPI_LIMB;	/	mdiv	O0
gcm_ctr_encrypt	cipher-gcm.c	825	55	          num_ctr_increments = (inbuflen - c->unused) / GCRY_GCM_BLOCK_LEN +	/	mdiv	O0
_gcry_ecc_ec2os_buf	ecc-misc.c	114	37	  int pbytes = (mpi_get_nbits (p)+7)/8;	/	mdiv	O0
_gcry_rsa_pss_verify	rsa-common.c	1068	45	      _gcry_md_write (hd, p, (input_nbits+7)/8);	/	mdiv	O0
_gcry_ecc_sm2_encrypt	ecc-sm2.c	180	28	  _gcry_md_write (md, raw, MPI_NBYTES(x2));	M	mdiv	O0
_gcry_ecc_mont_decodepoint	ecc-misc.c	421	34	      rawmpilen = (rawmpilen + 7)/8;	/	mdiv	O0
_gcry_cipher_ocb_authenticate	cipher-ocb.c	316	30	      size_t nblks = abuflen / OCB_BLOCK_LEN;	/	mdiv	O0
_gcry_rsa_pkcs1_encode_for_enc	rsa-common.c	135	17	          k += k/128 + 3; /* Better get some more. */	/	mdiv	O0
aria_set_encrypt_key	aria.c	787	10	   ((y[q % 4]) >> r) ^	%	mdiv	O0
aria_set_encrypt_key	aria.c	791	10	   ((y[q % 4]) << (32 - r));	%	mdiv	O0
sha3_final	./jitterentropy-sha3.c	352	22	 if (ctx->digestsize % 8)	%	mdiv	O0
generate	dsa.c	261	43	  if (qbits < 160 || qbits > 512 || (qbits%8) )	%	mdiv	O0
_gcry_mpi_scan	mpicoder.c	592	19	                : mpi_alloc ((len+BYTES_PER_MPI_LIMB-1)/BYTES_PER_MPI_LIMB);	m	mdiv	O0
_gcry_mpi_set_bit	mpi-bit.c	128	14	  bitno  = n % BITS_PER_MPI_LIMB;	%	mdiv	O0
do_keccak_extract	keccak.c	1437	22	      for (i = count % 8; outlen && i < 8; i++)	%	mdiv	O0
bits2octets	dsa-common.c	172	61	  rc = _gcry_mpi_scan (&z1, GCRYMPI_FMT_USG, bits, (nbits+7)/8, NULL);	/	mdiv	O0
do_get_buffer	mpicoder.c	348	26	      if (i + 4 < length / 2)	/	mdiv	O0
_gcry_mpi_invm	mpi-inv.c	531	18	          diffp[k/BITS_PER_MPI_LIMB] &= ~(((mpi_limb_t)1) << i);	/	mdiv	O0
_gcry_mpi_copy	mpiutil.c	360	40	                                     : xmalloc ((a->sign+7)/8);	x	mdiv	O0
do_keccak_extract	keccak.c	1500	40	   nburn = ctx->ops->extract(hd, count / 8, outbuf, nlanes * 8);	/	mdiv	O0
_gcry_ecc_sm2_decrypt	ecc-sm2.c	325	31	    _gcry_md_write (md, raw + MPI_NBYTES(x2), MPI_NBYTES(y2));	M	mdiv	O0
_gcry_ecc_curve_keypair	ecc-ecdh.c	98	23	  nbytes = (nbits + 7)/8;	/	mdiv	O0
montgomery_mul_point	ec.c	2103	36	      raw[0] |= (1 << ((pbits + 7) % 8));	%	mdiv	O0
unwrap	cipher-aeswrap.c	210	16	  n = inbuflen / 8;	/	mdiv	O0
prepare_datasexp_to_be_signed	pubkey.c	505	38	          argv[i+1] = (void *)&data[i/2];	/	mdiv	O0
bit_copy	cipher-ocb.c	77	18	  shift = bitoff % 8;	%	mdiv	O0
_gcry_generate_fips186_2_prime	primegen.c	1479	36	  else if (!seed || seedlen < qbits/8)	/	mdiv	O0
keccak_final	keccak.c	1371	49	  buf_put_le64(lane, (u64)0x80 << (((bsize - 1) % 8) * 8));	%	mdiv	O0
Decode	sntrup761.c	290	13	       M2[i / 2] = (m + 255) >> 8;	/	mdiv	O0
mpi_fromstr	mpicoder.c	177	14	  if ((nbits % 8))	%	mdiv	O0
_gcry_ecc_curve_mul_point	ecc-ecdh.c	224	23	  nbytes = (nbits + 7)/8;	/	mdiv	O0
_gcry_rndgetentropy_gather_random	rndgetentropy.c	61	50	      n = _gcry_rndjent_poll (add, origin, length/2);	/	mdiv	O0
rsa_encrypt	rsa.c	1411	46	      size_t emlen = (mpi_get_nbits (pk.n)+7)/8;	/	mdiv	O0
syndrome	mceliece6688128f.c	2273	7	  s[ i/8 ] ^= (b << (i%8));	/	mdiv	O0
_gcry_cipher_algo_info	cipher.c	2011	28	     *nbytes = (size_t) ui / 8;	/	mdiv	O0
eddsa_encodempi	ecc-eddsa.c	74	48	  unsigned int minlen = (nbits%8) == 0 ? (nbits/8 + 1): (nbits+7)/8;	/	mdiv	O0
_gcry_cipher_keywrap_encrypt_padding	cipher-aeswrap.c	159	28	    padlen = 8 - (inbuflen % 8);	%	mdiv	O0
ocb_crypt	cipher-ocb.c	508	51	      nmaxblks = (c->u_mode.ocb.data_nblocks + 1) % table_maxblks;	%	mdiv	O0
_gcry_cipher_ocb_authenticate	cipher-ocb.c	281	42	          if ((c->u_mode.ocb.aad_nblocks % table_maxblks) == 0)	%	mdiv	O0
weight_check	mceliece6688128f.c	2044	22	  w1 += (e[i/8] >> (i%8)) & 1;	%	mdiv	O0
_gcry_mpi_rshift	mpi-bit.c	255	26	  unsigned int nbits = (n%BITS_PER_MPI_LIMB);	%	mdiv	O0
mpi_ec_setup_elliptic_curve	ecc-curves.c	1217	20	          if ((n+7)/8 != len)	/	mdiv	O0
generate_x931	rsa.c	902	9	  qm1 = mpi_snew (nbits/2);	m	mdiv	O0
Decode	sntrup761.c	300	7	 M2[i / 2] = M[i];	/	mdiv	O0
_gcry_ecc_eddsa_compute_h_d	ecc-eddsa.c	508	20	  b = (ec->nbits+7)/8;	/	mdiv	O0
_gcry_ecc_eddsa_ensure_compact	ecc-eddsa.c	178	68	                               buf+1+(rawmpilen-1)/2, (rawmpilen-1)/2, NULL);	/	mdiv	O0
sha3_update	./jitterentropy-sha3.c	282	32	 size_t partial = ctx->msg_len % ctx->r;	%	mdiv	O0
mpih_invm_pow2	mpi-inv.c	165	11	      xp[k/BITS_PER_MPI_LIMB] &= ~(((mpi_limb_t)1) << i);	/	mdiv	O0
scrypt_ro_mix	scrypt.c	211	45	      j = LE_READ_UINT64 (&X[128 * r - 64]) % N;	%	mdiv	O0
Decode	sntrup761.c	270	29	      uint16_t R2[(len + 1) / 2];	/	mdiv	O0
_gcry_mpi_tdiv_q_2exp	mpi-div.c	298	22	    limb_cnt = count / BITS_PER_MPI_LIMB;	/	mdiv	O0
_gcry_mpi_set_opaque_copy	mpiutil.c	309	16	  n = (nbits+7)/8;	/	mdiv	O0
do_bf_setkey	blowfish.c	989	29	             ((u32)key[(j+2)%keylen] << 8) |	%	mdiv	O0
do_chacha20_encrypt_stream_tail	chacha20.c	724	14	      length %= CHACHA20_BLOCK_SIZE;	%	mdiv	O0
Decode	sntrup761.c	272	28	      uint16_t bottomr[len / 2];	/	mdiv	O0
_gcry_ecc_eddsa_decodepoint	ecc-eddsa.c	412	55	                                   buf+1+(rawmpilen-1)/2, (rawmpilen-1)/2,NULL);	/	mdiv	O0
cshake_input_s	keccak.c	1697	42	  padlen = ctx->blocksize - (len_written % ctx->blocksize);	%	mdiv	O0|Os|Oz
mpi_fromstr	mpicoder.c	186	36	  i = BYTES_PER_MPI_LIMB - (nbytes % BYTES_PER_MPI_LIMB);	%	mdiv	O0
mpih_invm_pow2	mpi-inv.c	139	16	    for (i = k % BITS_PER_MPI_LIMB; i < BITS_PER_MPI_LIMB; i++)	%	mdiv	O0
keccak_write	keccak.c	1113	22	      for (i = count % 8; inlen && i < 8; i++)	%	mdiv	O0
do_keccak_extract	keccak.c	1454	31	      nleft = (bsize - count) / 8;	/	mdiv	O0
controlbitsfrompermutation	mceliece6688128f.c	1909	29	    memset(out,0,(((2*w-1)*n/2)+7)/8);	/	mdiv	O0
eddsa_encodempi	ecc-eddsa.c	74	31	  unsigned int minlen = (nbits%8) == 0 ? (nbits/8 + 1): (nbits+7)/8;	%	mdiv	O0
cipher_setkey	cipher.c	858	18	      if (keylen % 2)	%	mdiv	O0
index_alpha	kdf.c	672	47	  return (start_position + relative_position) % a->lane_length;	%	mdiv	O0
do_polyval_buf	cipher-gcm-siv.c	156	24	      nblocks = buflen / blocksize;	/	mdiv	O0
_gcry_cipher_open_internal	cipher.c	779	40	       tc += (16 - (uintptr_t)tc % 16) % 16;	%	mdiv	O0
_gcry_mpi_clear_bit	mpi-bit.c	210	14	  bitno  = n % BITS_PER_MPI_LIMB;	%	mdiv	O0
do_ghash_buf	cipher-gcm.c	778	24	      nblocks = buflen / blocksize;	/	mdiv	O0
montgomery_mul_point	ec.c	2102	32	        raw[0] &= (1 << (pbits % 8)) - 1;	%	mdiv	O0
_gcry_ecc_sm2_encrypt	ecc-sm2.c	162	25	  rawlen = (rawlen + 7) / 8;	/	mdiv	O0
nist_generate_key	ecc.c	272	26	      int len = (pbits+7)/8;	/	mdiv	O0
_gcry_mpi_lshift	mpi-bit.c	337	27	  unsigned int nlimbs = (n/BITS_PER_MPI_LIMB);	/	mdiv	O0
wrap	cipher-aeswrap.c	53	16	  n = inbuflen / 8;	/	mdiv	O0
_gcry_mpi_scan	mpicoder.c	678	19	      a = secure? mpi_alloc_secure ((((slen+1)/2)+BYTES_PER_MPI_LIMB-1)	m	mdiv	O0
_gcry_generate_fips186_3_prime	primegen.c	1750	27	      if ( !(value_u[qbits/8-1] & 0x01) )	/	mdiv	O0
_gcry_cipher_ccm_set_lengths	cipher-ccm.c	174	16	  M_ = (M - 2) / 2;	/	mdiv	O0
mpih_invm_pow2	mpi-inv.c	140	11	      vp[k/BITS_PER_MPI_LIMB] &= ~(((mpi_limb_t)1) << i);	/	mdiv	O0
do_get_buffer	mpicoder.c	356	24	      for (; i < length/2; i++)	/	mdiv	O0
_gcry_ecc_eddsa_decodepoint	ecc-eddsa.c	458	56	      rawmpi = _gcry_mpi_get_buffer (pk, (ctx->nbits+7)/8, &rawmpilen, NULL);	/	mdiv	O0
compute_minv	mpih-pow.c	54	3	  gcry_assert (n%2 == 1);	g	mdiv	O0
_gcry_mpi_copy	mpiutil.c	362	45	                memcpy( p, a->d, (a->sign+7)/8 );	/	mdiv	O0|Oz
do_vsexp_sscan	sexp.c	1301	27	       datalen = hexcount / 2;	/	mdiv	O0
do_keccak_extract	keccak.c	1434	43	      nburn = ctx->ops->extract(hd, count / 8, lane, 8);	/	mdiv	O0
ec_mulm_448	ec.c	595	47	  memcpy (wp + LIMB_SIZE_HALF_448, b1, (wsize / 2) * BYTES_PER_MPI_LIMB);	/	mdiv	O0
do_keccak_extract	keccak.c	1512	40	   nburn = ctx->ops->extract(hd, count / 8, lane, 8);	/	mdiv	O0
_gcry_ecc_sm2_decrypt	ecc-sm2.c	277	25	    inlen = (inlen + 7) / 8;	/	mdiv	O0
mul_inv	idea.c	84	8	 x = x % y;	%	mdiv	O0
