function	file	line	col	source	char	type	optimization
_gcry_sm4_ocb_crypt	sm4.c	99	10	  return __builtin_ctz (x);	_	cjump	O1|O2|O3|Os
_gcry_sexp_canon_len	sexp.c	2174	24	              *errcode = GPG_ERR_SEXP_INV_LEN_SPEC;	=	cjump	O1|O2|O3
_gcry_aes_ocb_crypt	rijndael.c	99	10	  return __builtin_ctz (x);	_	cjump	O1|O2|O3|Os
_gcry_aria_ocb_crypt	aria.c	99	10	  return __builtin_ctz (x);	_	cjump	O1|O2|O3|Os
_gcry_aes_ocb_auth	rijndael.c	99	10	  return __builtin_ctz (x);	_	cjump	O1|O2|O3|Os
_gcry_sexp_canon_len	sexp.c	2210	24	              *errcode = GPG_ERR_SEXP_NESTED_DH;	=	cjump	O1|O2|O3
_gcry_sm4_ocb_auth	sm4.c	99	10	  return __builtin_ctz (x);	_	cjump	O1|O2|O3|Os
_gcry_mpi_print	mpicoder.c	879	17	      *nwritten = 4+n;	=	cjump	O1|O2|O3|Oz
fft_tr	mceliece6688128f.c	2597	13	   in[0][i] ^= (in[0][i] & mask[k][1]) << (1 << k);	^	mmem	O1|O2|Os
ocb_crypt	cipher-ocb.c	99	10	  return __builtin_ctz (x);	_	cjump	O1
_gcry_mpi_powm	mpi-pow.c	716	11	          count_trailing_zeros (c0, e0);	c	cjump	O1|O2|O3|Os
_gcry_mpi_print	mpicoder.c	803	17	      *nwritten = n;	=	cjump	O1|O2|O3
_gcry_mpi_print	mpicoder.c	780	17	      *nwritten = n;	=	cjump	O1|O2|O3
_gcry_sexp_canon_len	sexp.c	2238	20	          *errcode = GPG_ERR_SEXP_UNEXPECTED_PUNC;	=	cjump	O1|O2|O3
fft_tr	mceliece6688128f.c	2599	13	   in[1][i] ^= (in[1][i] & mask[k][1]) << (1 << k);	^	mmem	O1
_gcry_mpi_print	mpicoder.c	831	17	      *nwritten = n+2;	=	cjump	O1|O2|O3|Oz
_gcry_cipher_ocb_authenticate	cipher-ocb.c	99	10	  return __builtin_ctz (x);	_	cjump	O1|O2|O3|Os
_gcry_sexp_canon_len	sexp.c	2142	16	      *errcode = GPG_ERR_SEXP_NOT_CANONICAL;	=	cjump	O1|O2|O3
_gcry_sexp_canon_len	sexp.c	2244	20	          *errcode = GPG_ERR_SEXP_BAD_CHARACTER;	=	cjump	O1|O2|O3
_gcry_aria_ocb_auth	aria.c	99	10	  return __builtin_ctz (x);	_	cjump	O1|O2|O3|Os
fft_tr	mceliece6688128f.c	2601	13	   in[2][i] ^= (in[2][i] & mask[k][1]) << (1 << k);	^	mmem	O1
do_vsexp_sscan	sexp.c	1717	16	       *erroff = p - buffer;	=	cjump	O2|Os
do_vsexp_sscan	sexp.c	1749	12	   *erroff = p - buffer;	=	cjump	O2|O3
_gcry_mceliece6688128f_keypair	mceliece6688128f.c	3439	38	    mat[ k ][ c ] ^= mat[ row ][ c ] & mask;	&	cjump	O3
_gcry_mceliece6688128f_keypair	mceliece6688128f.c	3429	38	    mat[ k ][ c ] ^= mat[ row ][ c ] & mask;	&	cjump	O3
_gcry_sntrup761_dec	sntrup761.c	796	12	    r[i] = ((ev[i] ^ 1) & ~mask) ^ 1;	(	cjump	O3
_gcry_sntrup761_dec	sntrup761.c	1060	14	    r_enc[i] ^= mask & (r_enc[i] ^ rho[i]);	^	cjump	O3
_gcry_mceliece6688128f_keypair	mceliece6688128f.c	3414	38	    mat[ row ][ c ] ^= mat[ k ][ c ] & mask;	&	cjump	O3
