function	file	line	col	source	char	type	optimization
controlbitsfrompermutation	mceliece6688128f.c	1909	35	    memset(out,0,(((2*w-1)*n/2)+7)/8);	/	mdiv	O0
_gcry_mpih_powm_lli	mpih-pow.c	255	17	          j = i / BITS_PER_MPI_LIMB;	/	mdiv	O0
index_alpha	kdf.c	672	47	  return (start_position + relative_position) % a->lane_length;	%	mdiv	O0
do_polyval_buf	cipher-gcm-siv.c	156	24	      nblocks = buflen / blocksize;	/	mdiv	O0
prime_generate_internal	primegen.c	361	42	      fbits = (pbits - 2 * req_qbits -1) / n;	/	mdiv	O0|O1|O2|O3|Os|Oz
check_dsa	t-dsa.c	539	20	  else if ((ntests % 256))	%	mdiv	O0
bench_ecc_init	bench-slope.c	2641	34	     num_measurement_repetitions / obj->max_bufsize;	/	mdiv	O0|O1|Oz
save_pool_prime	primegen.c	176	21	          if (i >= n/3*2)	/	mdiv	O0
blake2_write	blake2.c	197	39	   nblks = inlen / blkbytes - !(inlen % blkbytes);	%	mdiv	O0|Os|Oz
do_setkey	seed.c	295	13	      if (i % 2 == 0)	%	mdiv	O0
Encode	sntrup761.c	362	9	   R2[i / 2] = R[i];	/	mdiv	O0
pthread_jobs_launch_job	t-kdf.c	1302	61	      ctx->oldest_thread_idx = (ctx->oldest_thread_idx + 1) % MAX_THREADS;	%	mdiv	O0|Oz
check_ed25519	t-ed25519.c	388	24	          if (!(ntests % 256))	%	mdiv	O0
mov_columns	mceliece6688128f.c	3254	17	 block_idx = row/64;	/	mdiv	O0
check_mlkem_kat	t-mlkem.c	419	20	  else if ((ntests % 256))	%	mdiv	O0
cbrecursion	mceliece6688128f.c	1860	19	  for (j = 0;j < n/2;++j) {	/	mdiv	O0
mul_inv	idea.c	88	8	 q = y / x;	/	mdiv	O0
do_fillM	cipher-gcm.c	278	24	  for (i = 4; i > 0; i /= 2)	/	mdiv	O0
get_num_measurements	bench-slope.c	334	32	  unsigned int num = buf_range / obj->step_size + 1;	/	mdiv	O0|O1|O2|O3|Os|Oz
Decode	sntrup761.c	296	13	       M2[i / 2] = m;	/	mdiv	O0
_gcry_kdf_pkdf2	kdf.c	164	19	  l = ((dklen - 1)/ hlen) + 1;	/	mdiv	O0|O1|O2|O3|Os|Oz
bench_ecc_init	bench-slope.c	2629	33	    num_measurement_repetitions / obj->max_bufsize;	/	mdiv	O0
do_ecb_crypt	cipher.c	1099	17	  if ((inbuflen % blocksize))	%	mdiv	O0
Decode	sntrup761.c	280	18	       bottomt[i / 2] = 256 * 256;	/	mdiv	O0
Decode	sntrup761.c	295	18	       bottomr[i / 2] = 0;	/	mdiv	O0
bench_ecc_mult_init	bench-slope.c	2529	33	    num_measurement_repetitions / obj->max_bufsize;	/	mdiv	O0
Decode	sntrup761.c	281	18	       bottomr[i / 2] = S[0] + 256 * S[1];	/	mdiv	O0
_gcry_dsa_modify_k	dsa-common.c	49	41	  ksize = (qbits+1+BITS_PER_MPI_LIMB-1) / BITS_PER_MPI_LIMB;	/	mdiv	O0|Oz
Decode	sntrup761.c	314	16	 *out++ = R2[i / 2];	/	mdiv	O0
scrypt_ro_mix	scrypt.c	211	45	      j = LE_READ_UINT64 (&X[128 * r - 64]) % N;	%	mdiv	O0
weight_check	mceliece6688128f.c	2041	17	  w0 += (error[i/64] >> (i%64)) & 1;	/	mdiv	O0
_gcry_mpih_powm_lli	mpih-pow.c	256	21	          shift = i % BITS_PER_MPI_LIMB;	%	mdiv	O0|Oz
cbrecursion	mceliece6688128f.c	1824	19	  for (j = 0;j < n/2;++j) {	/	mdiv	O0
prepare_datasexp_to_be_signed	pubkey.c	505	38	          argv[i+1] = (void *)&data[i/2];	/	mdiv	O0
check_ocb_cipher_checksum	basic.c	9319	28	      int bitpos = bit2set % 8;	%	mdiv	O0
drbg_generate_long	random-drbg.c	1521	31	      slice = ((buflen - len) / drbg_max_request_bytes ());	/	mdiv	O0
_gcry_kdf_scrypt	scrypt.c	273	22	  if (r128 && nbytes / r128 != p)	/	mdiv	O0
mul_inv	idea.c	89	8	 y = y % x;	%	mdiv	O0
aria_set_encrypt_key	aria.c	796	16	   ((y[(q + 3) % 4]) >> r) ^	%	mdiv	O0
sha3_final	./jitterentropy-sha3.c	325	32	 size_t partial = ctx->msg_len % ctx->r;	%	mdiv	O0
do_mpi_cmp	mpi-cmp.c	80	45	      return memcmp (u->d, v->d, (u->sign+7)/8);	/	mdiv	O0|Oz
do_bf_setkey	blowfish.c	992	17	      j = (j+4) % keylen;	%	mdiv	O0
check_rsa_pss	t-rsa-pss.c	418	24	          if (!(ntests % 256))	%	mdiv	O0
uint32_divmod_uint14	sntrup761.c	159	5	  v /= m;	/	mdiv	O0|Oz
Encode	sntrup761.c	365	38	      Encode (out, R2, M2, (len + 1) / 2);	/	mdiv	O0
weight_check	mceliece6688128f.c	2041	27	  w0 += (error[i/64] >> (i%64)) & 1;	%	mdiv	O0
_gcry_xcalloc_secure	global.c	1281	19	  if (m && nbytes / m != n)	/	mdiv	O0
argon2_init	kdf.c	507	34	  segment_length = memory_blocks / (parallelism * 4);	/	mdiv	O0
_gcry_mpi_alloc_like	mpiutil.c	436	21	 int n = (a->sign+7)/8;	/	mdiv	O0|Oz
cshake_input_s	keccak.c	1697	42	  padlen = ctx->blocksize - (len_written % ctx->blocksize);	%	mdiv	O0|Os|Oz
onestep_kdf_mac_final	kdf.c	1630	29	  for (i = 0; i < o->outlen / o->blklen; i++)	/	mdiv	O0
Decode	sntrup761.c	290	13	       M2[i / 2] = (m + 255) >> 8;	/	mdiv	O0
check_rsa_15	t-rsa-15.c	373	24	          if (!(ntests % 256))	%	mdiv	O0
Decode	sntrup761.c	300	7	 M2[i / 2] = M[i];	/	mdiv	O0
syndrome	mceliece6688128f.c	2273	7	  s[ i/8 ] ^= (b << (i%8));	/	mdiv	O0
_gcry_mpi_copy	mpiutil.c	360	40	                                     : xmalloc ((a->sign+7)/8);	x	mdiv	O0
sha3_update	./jitterentropy-sha3.c	282	32	 size_t partial = ctx->msg_len % ctx->r;	%	mdiv	O0
do_bf_setkey	blowfish.c	990	29	             ((u32)key[(j+3)%keylen]);	%	mdiv	O0
get_rand	t-lock.c	261	57	  return (unsigned int)(1+(int)((double)(high+1)*rand ()/(RAND_MAX+1.0))) - 1;	/	mdiv	O0
mpi_read_from_buffer	mpicoder.c	72	5	  i %= BYTES_PER_MPI_LIMB;	%	mdiv	O0
aria_set_encrypt_key	aria.c	794	16	   ((y[(q + 1) % 4]) << (32 - r));	%	mdiv	O0
check_mlkem_kat	t-mlkem.c	377	24	          if (!(ntests % 256))	%	mdiv	O0
_gcry_mpi_copy	mpiutil.c	359	40	            p = _gcry_is_secure(a->d)? xmalloc_secure ((a->sign+7)/8)	x	mdiv	O0
Decode	sntrup761.c	287	18	       bottomt[i / 2] = 256;	/	mdiv	O0
_gcry_calloc	global.c	1140	18	  if (m && bytes / m != n)	/	mdiv	O0
cbrecursion	mceliece6688128f.c	1862	5	    q[j+n/2] = (A[2*j+1]&0xffff)>>1;	q	mdiv	O0
is_weak_key	des.c	1034	31	      middle = (left + right) / 2;	/	mdiv	O0|Oz
cbrecursion	mceliece6688128f.c	1840	25	  pos += (2*w-3)*step*(n/2);	/	mdiv	O0
mpih_invm_pow2	mpi-inv.c	157	53	      xp[i/BITS_PER_MPI_LIMB] |= ((mpi_limb_t)b0<<(i%BITS_PER_MPI_LIMB));	%	mdiv	O0
_gcry_xcalloc	global.c	1263	19	  if (m && nbytes / m != n)	/	mdiv	O0
Decode	sntrup761.c	307	19	   r += bottomt[i / 2] * R2[i / 2];	/	mdiv	O0
weight_check	mceliece6688128f.c	2044	22	  w1 += (e[i/8] >> (i%8)) & 1;	%	mdiv	O0
check_mlkem_kat	t-mlkem.c	389	24	          if (!(ntests % 256))	%	mdiv	O0
cbrecursion	mceliece6688128f.c	1866	46	  cbrecursion(out,pos+step,step*2,q+n/2,w-1,n/2,temp);	/	mdiv	O0
prepare_datasexp_to_be_signed	pubkey.c	504	41	          argv[i] = (void *)&data_size[i/2];	/	mdiv	O0
cbrecursion	mceliece6688128f.c	1866	38	  cbrecursion(out,pos+step,step*2,q+n/2,w-1,n/2,temp);	/	mdiv	O0
argon2_compute_segment	kdf.c	736	35	        ref_lane = (rand64 >> 32) % a->lanes;	%	mdiv	O0|O1|O2|O3|Os|Oz
