function	file	line	col	source	char	type	optimization
internal_find	crypto/stack/stack.c	345	15	        *pnum = 0;	=	cjump	O1--csuses-threshold=-1|O1--csuses-threshold=0|O1--disable-phi-elim-edge-splitting
dtls1_retransmit_message	ssl/statem/statem_dtls.c	1237	29	    ret = dtls1_do_write(s, frag->msg_header.is_ccs ?	f	cjump	O1--enable-partial-inlining|O2--enable-partial-inlining|O3--enable-partial-inlining
tls1_set_groups	ssl/t1_lib.c	1118	19	        *dup_list |= idmask;	|	cjump	O1--misched=ilpmin
aes_wrap_cipher_internal	providers/implementations/ciphers/cipher_aes_wrp.c	201	20	            return inlen + 8;	i	cjump	O2--cold-callsite-rel-freq=-1|O2--cold-callsite-rel-freq=100|O2--cold-callsite-rel-freq=50|O3--cold-callsite-rel-freq=-1|O3--cold-callsite-rel-freq=100|O3--cold-callsite-rel-freq=50|Os--cold-callsite-rel-freq=-1|Os--cold-callsite-rel-freq=100|Os--cold-callsite-rel-freq=50
bn_compute_wNAF	crypto/bn/bn_intern.c	114	23	        r[j++] = sign * digit;	*	cjump	O2--machine-sink-split-probability-threshold=0|Os--machine-sink-split-probability-threshold=0|Oz--machine-sink-split-probability-threshold=0
speed_main	apps/speed.c	4522	24	                   1.0 / ecdsa_results[k][0], 1.0 / ecdsa_results[k][1],	/	mdiv	Oz--enable-misched=false|Oz--hoist-common-insts
speed_main	apps/speed.c	4584	24	                   1.0 / sm2_results[k][0], 1.0 / sm2_results[k][1],	/	mdiv	Oz--enable-misched=false|Oz--hoist-common-insts|Oz--ir-outliner|Oz--misched=ilpmin|Oz-fshort-enums
speed_main	apps/speed.c	4562	24	                   1.0 / eddsa_results[k][0], 1.0 / eddsa_results[k][1],	/	mdiv	Oz--enable-misched=false|Oz--hoist-common-insts
speed_main	apps/speed.c	4522	51	                   1.0 / ecdsa_results[k][0], 1.0 / ecdsa_results[k][1],	/	mdiv	Oz--hoist-common-insts
speed_main	apps/speed.c	4562	51	                   1.0 / eddsa_results[k][0], 1.0 / eddsa_results[k][1],	/	mdiv	Oz--hoist-common-insts
speed_main	apps/speed.c	4584	49	                   1.0 / sm2_results[k][0], 1.0 / sm2_results[k][1],	/	mdiv	Oz--hoist-common-insts|Oz--ir-outliner|Oz--misched=ilpmin|Oz-fshort-enums
s_client_main	apps/s_client.c	2970	21	                    openssl_fdset(fileno_stdin(), &readfds);	o	mdiv	Oz--misched=ilpmin
SSL_CTX_get_timeout	ssl/ssl_sess.c	1148	18	    return (long)ossl_time2seconds(s->session_timeout);	o	mdiv	Oz--misched=ilpmin
s_client_main	apps/s_client.c	2985	17	                openssl_fdset(SSL_get_fd(con), &readfds);	o	mdiv	Oz--misched=ilpmin
speed_main	apps/speed.c	3275	53	            rsa_results[testnum][0] = (double)count / d;	/	mdiv	Oz--misched=ilpmin
