function	file	line	col	source	char	type	optimization
do_vsexp_sscan	sexp.c	1634	16	       *erroff = p - buffer;	=	cjump	O1--cold-callsite-rel-freq=0|O2--cold-callsite-rel-freq=0|O3--cold-callsite-rel-freq=0|O3--hot-callsite-rel-freq=0
do_vsexp_sscan	sexp.c	1431	16	       *erroff = p - buffer;	=	cjump	O1--cold-callsite-rel-freq=0|O2--cold-callsite-rel-freq=0|O3--cold-callsite-rel-freq=0|O3--hot-callsite-rel-freq=0
blake2_write	blake2.c	197	18	   nblks = inlen / blkbytes - !(inlen % blkbytes);	/	mdiv	O1--inlinedefault-threshold=100|O1--inlinedefault-threshold=50|O2--inlinedefault-threshold=100|O2--inlinedefault-threshold=50
do_vsexp_sscan	sexp.c	1262	13	    *erroff = p - buffer;	=	cjump	O1-fjmc
_gcry_mpi_set_buffer	mpicoder.c	448	13	      a->d[i++] = alimb;	+	cjump	O1-ftree-vectorize|O1-fvectorize
fft	mceliece6688128f.c	2431	25	   pre[i][j] = (beta[i] >> j) & 1;	>	cjump	O1-ftree-vectorize|O1-fvectorize
_gcry_mceliece6688128f_dec	mceliece6688128f.c	1715	26	  v[i] = vec_setbits((c0 >> i) & 1);	>	cjump	O1-ftree-vectorize|O1-fvectorize
fft	mceliece6688128f.c	2432	14	   pre[i][j] = -pre[i][j];	=	cjump	O1-ftree-vectorize|O1-fvectorize
_gcry_mceliece6688128f_dec	mceliece6688128f.c	1715	8	  v[i] = vec_setbits((c0 >> i) & 1);	=	cjump	O1-ftree-vectorize|O1-fvectorize
_gcry_sntrup761_dec	sntrup761.c	1039	35	    differentbits |= (*c++) ^ (*c2++);	+	cjump	O1-ftree-vectorize|O1-fvectorize
do_vsexp_sscan	sexp.c	1749	12	   *erroff = p - buffer;	=	cjump	O2--cold-callsite-rel-freq=-1|O2--cold-callsite-rel-freq=0|O2--cold-callsite-rel-freq=100|O2--cold-callsite-rel-freq=50|O2--enable-misched=false|O2--misched=ilpmin|O2-fjmc
do_vsexp_sscan	sexp.c	1382	23	              *erroff = p - buffer;	=	cjump	O2--cold-callsite-rel-freq=-1|O2--cold-callsite-rel-freq=0|O2--cold-callsite-rel-freq=100|O2--cold-callsite-rel-freq=50|O2--enable-misched=false|O2--misched=ilpmin|O2-fjmc
