function	file	line	col	source	char	type	optimization
ossl_curve448_scalar_halve	crypto/ec/curve448/scalar.c	233	55	        chain = (chain + a->limb[i]) + (sc_p->limb[i] & mask);	&	cjump	O1--enable-andcmp-sinking=false|Os--enable-andcmp-sinking=false|Oz--enable-andcmp-sinking=false
recode_wnaf	crypto/ec/curve448/curve448.c	558	48	    unsigned int table_size = C448_SCALAR_BITS / (table_bits + 1) + 3;	/	mdiv	O1--inlinedefault-threshold=100|O1--inlinedefault-threshold=50|O1-fgnuc-version=0|O1-fms-compatibility|O2--inlinedefault-threshold=100|O2--inlinedefault-threshold=50|O2-fgnuc-version=0|O2-fms-compatibility|O3-fgnuc-version=0|O3-fms-compatibility
encrypt_cpa	crypto/ml_kem/ml_kem.c	1030	15	        b = *r++;	+	cjump	O1-ftree-vectorize|O1-fvectorize
kdf_scrypt_derive	providers/implementations/kdfs/scrypt.c	410	9	        for (k = 0; k < 32 * r; k++)	f	mdiv	O1-ftree-vectorize|O1-fvectorize
ssl3_cbc_digest_record	ssl/record/methods/ssl3_cbc.c	452	36	            mac_out[j] |= block[j] & is_block_b;	&	cjump	O1-ftree-vectorize|O1-fvectorize
cbd_2	crypto/ml_kem/ml_kem.c	1030	15	        b = *r++;	+	cjump	O1-ftree-vectorize|O1-fvectorize|Oz-ftree-vectorize|Oz-fvectorize
ossl_curve448_scalar_halve	crypto/ec/curve448/scalar.c	238	56	        out->limb[i] = out->limb[i] >> 1 | out->limb[i + 1] << (WBITS - 1);	+	cjump	O1-ftree-vectorize|O1-fvectorize
ossl_cmac_init	crypto/cmac/cmac.c	48	42	        k1[i] = (c << 1) | ((cnext = l[i + 1]) >> 7);	+	cjump	O1-ftree-vectorize|O1-fvectorize
bn_rshift_fixed_top	crypto/bn/bn_shift.c	205	17	        m = f[i + 1];	+	cjump	O1-ftree-vectorize|O1-fvectorize
BN_consttime_swap	crypto/bn/bn_lib.c	992	33	        t = (a->d[i] ^ b->d[i]) & condition;	&	cjump	O1-ftree-vectorize|O1-fvectorize
BN_rshift	crypto/bn/bn_shift.c	205	17	        m = f[i + 1];	+	cjump	O1-ftree-vectorize|O1-fvectorize
X509_NAME_oneline	crypto/x509/x509_obj.c	96	36	                    gs_doit[j & 3] = 1;	=	cjump	O2--alias-set-saturation-threshold=0|O2--disable-licm-promotion|O2--licm-mssa-max-acc-promotion=0|O3--alias-set-saturation-threshold=0|O3--disable-licm-promotion|O3--licm-mssa-max-acc-promotion=0
ossl_a2ulabel	crypto/punycode.c	182	11	        i %= (written_out + 1);	%	mdiv	O3--hot-callsite-rel-freq=0
ossl_quic_rstream_new	ssl/quic/quic_rstream.c	189	26	    idx = logical_offset % r->alloc;	%	cjump	O3--hot-callsite-rel-freq=0
ossl_quic_rstream_resize_rbuf	ssl/quic/quic_rstream.c	189	26	    idx = logical_offset % r->alloc;	%	cjump	O3--hot-callsite-rel-freq=0
tls1_process_sigalgs	ssl/t1_lib.c	3602	19	        pvalid[i] = 0;	=	cjump	Os--licm-mssa-optimization-cap=0
BN_GF2m_mod_mul_arr	crypto/bn/bn_gf2m.c	435	17	        s->d[i] = 0;	=	cjump	Os--licm-mssa-optimization-cap=0
BN_MONT_CTX_set	crypto/bn/bn_mont.c	399	23	        mont->RR.d[i] = 0;	=	cjump	Os--licm-mssa-optimization-cap=0
bn_set_all_zero	crypto/bn/bn_intern.c	152	17	        a->d[i] = 0;	=	cjump	Os--licm-mssa-optimization-cap=0
BN_set_bit	crypto/bn/bn_lib.c	805	21	            a->d[k] = 0;	=	cjump	Os--licm-mssa-optimization-cap=0
ssl3_write_bytes	ssl/record/rec_layer_s3.c	440	34	                tmpls[j].version = recversion;	=	cjump	Os--vectorize-num-stores-pred=100|Os--vectorize-num-stores-pred=50
TXT_DB_read	crypto/txt_db/txt_db.c	49	22	        ret->qual[i] = NULL;	=	cjump	Os--vectorize-num-stores-pred=100|Os--vectorize-num-stores-pred=50
ssl_create_cipher_list	ssl/ssl_ciph.c	701	33	                co_list[i].next = &co_list[i + 1];	=	cjump	Os--vectorize-num-stores-pred=100|Os--vectorize-num-stores-pred=50
ssl3_write_bytes	ssl/record/rec_layer_s3.c	442	33	                tmpls[j].buflen = split_send_fragment;	=	cjump	Os--vectorize-num-stores-pred=100|Os--vectorize-num-stores-pred=50
