function	file	line	col	source	char	type	optimization
ssl_cert_set_current	ssl/ssl_cert.c	400	31	        idx = (size_t)(c->key - c->pkeys + 1);	-	mdiv	O0|Oz
adapt	crypto/punycode.c	49	48	    delta = (firsttime) ? delta / damp : delta / 2;	/	mdiv	O0
ossl_cipher_generic_initkey	providers/implementations/ciphers/ciphercommon.c	1040	28	    ctx->keylen = ((kbits) / 8);	/	mdiv	O0
sv_body	apps/s_server.c	2642	13	            openssl_fdset(s, &readfds);	o	mdiv	O0
bn_mul_part_recursive	crypto/bn/bn_mul.c	384	15	        i = n / 2;	/	mdiv	O0
a2i_ASN1_STRING	crypto/asn1/f_string.c	91	15	        if (i % 2 != 0) {	%	mdiv	O0
speed_main	apps/speed.c	4626	50	                   1.0 / kems_results[k][1], 1.0 / kems_results[k][2],	/	mdiv	O0|O1|O2|O3|Os
AES_ige_encrypt	crypto/aes/aes_ige.c	117	59	             || ((size_t)in | (size_t)out | (size_t)ivec) % sizeof(long) ==	%	mdiv	O0
BIO_dump_indent_cb	crypto/bio/bio_dump.c	44	16	    rows = len / dump_width;	/	mdiv	O0|O1|O2|O3|Os|Oz
mul2	crypto/rsa/rsa_lib.c	245	18	    return a * b / scale;	/	mdiv	O0
parse_number	crypto/property/property_parse.c	108	43	        if (v > ((INT64_MAX - (*s - '0')) / 10)) {	/	mdiv	O0|Oz
pkey_ec_derive	crypto/ec/ec_pmeth.c	194	52	        *keylen = (EC_GROUP_get_degree(group) + 7) / 8;	/	mdiv	O0|Oz
txp_generate_stream_frames	ssl/quic/quic_txp.c	2430	47	                                     chunks[i % 2].num_stream_iovec);	%	mdiv	O0
base64encode	crypto/http/http_client.c	1406	17	    outl = (len / 3);	/	mdiv	O0
des_ede3_cfb1_cipher	crypto/evp/e_des3.c	174	42	        c[0] = (in[n / 8] & (1 << (7 - n % 8))) ? 0x80 : 0;	%	mdiv	O0
BN_bn2mpi	crypto/bn/bn_mpi.c	22	22	    num = (bits + 7) / 8;	/	mdiv	O0|Oz
des_cfb1_cipher	crypto/evp/e_des.c	164	19	            out[n / 8] =	/	mdiv	O0
ssl3_mac	ssl/record/methods/ssl3_meth.c	235	16	    npad = (48 / md_size) * md_size;	/	mdiv	O0
DES_string_to_2keys	crypto/des/str2key.c	67	32	                (*key1)[7 - (i % 8)] ^= j;	%	mdiv	O0
BN_GF2m_mod_arr	crypto/bn/bn_gf2m.c	322	15	    dN = p[0] / BN_BITS2;	/	mdiv	O0|Oz
s_client_main	apps/s_client.c	2985	17	                openssl_fdset(SSL_get_fd(con), &readfds);	o	mdiv	O0|Oz
OPENSSL_uni2asc	crypto/pkcs12/p12_utl.c	55	21	    asclen = unilen / 2;	/	mdiv	O0
check_block_size	apps/speed.c	1542	16	    if (length % blocksize != 0) {	%	mdiv	O0|O1|O2|O3|Os|Oz
julian_to_date	crypto/o_time.c	195	18	    j = (80 * L) / 2447;	/	mdiv	O0
txp_generate_stream_frames	ssl/quic/quic_txp.c	2456	34	        for (j = 0; j < chunks[i % 2].num_stream_iovec; ++j)	%	mdiv	O0
txp_generate_stream_frames	ssl/quic/quic_txp.c	2361	56	                                       &chunks[(i + 1) % 2], conn_consumed))	%	mdiv	O0
julian_to_date	crypto/o_time.c	192	30	    L = L - (146097 * n + 3) / 4;	/	mdiv	O0
ASN1_UNIVERSALSTRING_to_string	crypto/asn1/a_print.c	64	15	    s->length /= 4;	/	mdiv	O0|Oz
safe_muldiv_u64	ssl/quic/cc_newreno.c	5	1	OSSL_SAFE_MATH_UNSIGNED(u64, uint64_t)	O	mdiv	O0
speed_main	apps/speed.c	4401	54	            sigs_results[testnum][1] = (double)count / d;	/	mdiv	O0|O1|O2|O3|Os
ossl_provider_set_operation_bit	crypto/provider_core.c	2017	39	    unsigned char bit = (1 << (bitnum % 8)) & 0xFF;	%	mdiv	O0
ge_scalarmult_base	crypto/ec/curve25519.c	4276	28	        table_select(&t, i / 2, e[i]);	/	mdiv	O0
CRYPTO_ctr128_encrypt_ctr32	crypto/modes/ctr128.c	163	21	        n = (n + 1) % 16;	%	mdiv	O0
ossl_rio_poll_builder_poll	ssl/rio/poll_builder.c	171	26	            timeout_ms = ossl_time2ms(ossl_time_subtract(deadline,	o	mdiv	O0|Oz
ssl3_cbc_digest_record	ssl/record/methods/ssl3_cbc.c	306	30	    index_a = mac_end_offset / md_block_size;	/	mdiv	O0
determine_days	crypto/asn1/a_time.c	73	33	    tm->tm_wday = (d + (13 * m) / 5 + y + y / 4 + c / 4 + 5 * c + 6) % 7;	/	mdiv	O0
cipher_hw_des_cfb1_cipher	providers/implementations/ciphers/cipher_des_hw.c	147	26	            c[0] = (in[n / 8] & (1 << (7 - n % 8))) ? 0x80 : 0;	/	mdiv	O0
ossl_ec_wNAF_mul	crypto/ec/ec_mult.c	481	46	            numblocks = (BN_num_bits(scalar) / blocksize) + 1;	/	mdiv	O0|O1|O2|O3|Os|Oz
safe_muldiv_size_t	ssl/priority_queue.c	17	1	OSSL_SAFE_MATH_UNSIGNED(size_t, size_t)	O	mdiv	O0
OPENSSL_LH_delete	crypto/lhash/lhash.c	167	57	        (lh->down_load >= (lh->num_items * LH_LOAD_MULT / lh->num_nodes)))	/	mdiv	O0|O1|O2|O3|Os|Oz
fmtfp	crypto/bio/bio_print.c	697	28	        intpart = (intpart / 10);	/	mdiv	O0|Oz
bn_get_bits	crypto/bn/bn_exp.c	494	22	    wordpos = bitpos / BN_BITS2;	/	mdiv	O0
t_tob64	crypto/srp/srp_vfy.c	152	23	    leadz = 3 - (size % 3);	%	mdiv	O0|Oz
pkcs12kdf_derive	providers/implementations/kdfs/pkcs12kdf.c	77	35	    Slen = v * ((saltlen + v - 1) / v);	/	mdiv	O0
ossl_rand_pool_adin_mix_in	crypto/rand/rand_pool.c	443	28	            pool->buffer[i % pool->len] ^= adin[i];	%	mdiv	O0|O1|O2|O3|Os|Oz
ossl_ec_GF2m_simple_point2oct	crypto/ec/ec2_oct.c	199	28	        skip = field_len - BN_num_bytes(x);	B	mdiv	O0|Oz
CRYPTO_gcm128_decrypt_ctr32	crypto/modes/gcm128.c	1488	22	        size_t j = i / 16;	/	mdiv	O0
sh_init	crypto/mem_sec.c	473	39	    sh.bittable_size = (sh.arena_size / sh.minsize) * 2;	/	mdiv	O0
ecdh_size	providers/implementations/exchange/ecdh_exch.c	469	25	    return (degree + 7) / 8;	/	mdiv	O0
speed_main	apps/speed.c	4584	49	                   1.0 / sm2_results[k][0], 1.0 / sm2_results[k][1],	/	mdiv	O0|O1|O2|O3|Os
OPENSSL_LH_node_usage_stats_bio	crypto/lhash/lh_stats.c	125	52	               (int)(total / n_used), (int)((total % n_used) * 100 / n_used));	%	mdiv	O0
bit_get	ssl/quic/qlog.c	22	64	    return p[bit_no / BITS_PER_WORD] & (((size_t)1) << (bit_no % BITS_PER_WORD));	%	mdiv	O0
chacha20_poly1305_aead_cipher	providers/implementations/ciphers/cipher_chacha20_poly1305_hw.c	348	42	        if ((rem = (size_t)ctx->len.text % POLY1305_BLOCK_SIZE))	%	mdiv	O0
CRYPTO_gcm128_aad	crypto/modes/gcm128.c	738	25	            n = (n + 1) % 16;	%	mdiv	O0
key_to_params	providers/implementations/keymgmt/ec_kmgmt.c	228	27	        sz = (ecbits + 7) / 8;	/	mdiv	O0
bn_i2c	crypto/asn1/x_bignum.c	112	18	    return pad + BN_num_bytes(bn);	B	mdiv	O0|Oz
vector_encode	crypto/ml_kem/ml_kem.c	892	32	    int stride = bits * DEGREE / 8;	/	mdiv	O0
bn2binpad	crypto/bn/bn_lib.c	586	22	        n = (n8 + 7) / 8;       /* This is what BN_num_bytes() does */	/	mdiv	O0|Oz
aes_xts_init	providers/implementations/ciphers/cipher_aes_xts.c	93	52	        if (!aes_xts_check_keys_differ(key, keylen / 2, enc))	/	mdiv	O0
speed_main	apps/speed.c	4041	54	            ffdh_results[testnum][0] = (double)count / d;	/	mdiv	O0|O1|O2|O3|Os|Oz
determine_days	crypto/asn1/a_time.c	70	11	    c = y / 100;	/	mdiv	O0
BN_mod_exp_mont_word	crypto/bn/bn_exp.c	1276	25	            if ((next_w / a) != w) { /* overflow */	/	mdiv	O0
bit_set	ssl/quic/qlog.c	27	43	    size_t mask = (((size_t)1) << (bit_no % BITS_PER_WORD));	%	mdiv	O0
get_error_values	crypto/err/err.c	479	30	        i = (es->bottom + 1) % ERR_NUM_ERRORS;	%	mdiv	O0
DES_ede3_cfb_encrypt	crypto/des/cfb64ede.c	176	25	                if (num % 8 != 0)	%	mdiv	O0
n_fold	providers/implementations/kdfs/krb5kdf.c	307	36	    lcm = blocksize * constant_len / gcd;	/	mdiv	O0
prepare_from_text	crypto/params_from_text.c	120	28	            if ((hexdigits % 2) != 0) {	%	mdiv	O0
DES_ofb_encrypt	crypto/des/ofb_enc.c	28	67	    register DES_LONG d0, d1, vv0, vv1, v0, v1, n = (numbits + 7) / 8;	/	mdiv	O0
drbg_hash_set_ctx_params_locked	providers/implementations/rands/drbg_hash.c	596	45	        ctx->min_entropylen = ctx->strength / 8;	/	mdiv	O0
speed_main	apps/speed.c	3724	59	                eddsa_results[testnum][1] = (double)count / d;	/	mdiv	O0|O1|O2|O3|Os|Oz
BN_mod_exp_mont_word	crypto/bn/bn_exp.c	1213	11	        a %= m->d[0];           /* make sure that 'a' is reduced */	%	mdiv	O0|O1|O2|O3|Os|Oz
common_get_params	providers/implementations/keymgmt/ec_kmgmt.c	702	31	            sec_bits = ecbits / 2;	/	mdiv	O0|Oz
pqueue_move_down	ssl/priority_queue.c	158	34	        const size_t p = (n - 1) / 2;	/	mdiv	O0
ossl_hexstr2buf_sep	crypto/o_str.c	265	11	    buf_n /= 2;	/	mdiv	O0
tls_construct_ctos_psk	ssl/statem/extensions_clnt.c	1126	28	        agesec = (uint32_t)ossl_time2seconds(t);	o	mdiv	O0|Oz
CRYPTO_gcm128_encrypt	crypto/modes/gcm128.c	826	33	                    n = (n + 1) % 16;	%	mdiv	O0
AES_ige_encrypt	crypto/aes/aes_ige.c	60	5	    OPENSSL_assert((length % AES_BLOCK_SIZE) == 0);	O	mdiv	O0
speed_main	apps/speed.c	3275	53	            rsa_results[testnum][0] = (double)count / d;	/	mdiv	O0|O1|O2|O3|Os
bytepad	providers/implementations/macs/kmac_prov.c	632	24	    sz = (len + w - 1) / w * w;	/	mdiv	O0
evp_decodeblock_int	crypto/evp/encode.c	442	11	    if (n % 4 != 0)	%	mdiv	O0
des_ede3_cfb1_cipher	crypto/evp/e_des3.c	179	29	        out[n / 8] = (out[n / 8] & ~(0x80 >> (unsigned int)(n % 8)))	/	mdiv	O0
OPENSSL_LH_node_usage_stats_bio	crypto/lhash/lh_stats.c	123	28	               (int)(total / lh->num_nodes),	/	mdiv	O0|O1|O2|O3|Os|Oz
ASN1_bn_print	crypto/asn1/t_pkey.c	72	14	    buflen = BN_num_bytes(num) + 1;	B	mdiv	O0|Oz
des_cfb1_cipher	crypto/evp/e_des.c	160	46	            c[0] = (in[n / 8] & (1 << (7 - n % 8))) ? 0x80 : 0;	%	mdiv	O0
Poly1305_Update	crypto/poly1305/poly1305.c	496	15	    rem = len % POLY1305_BLOCK_SIZE;	%	mdiv	O0
ossl_ec_wNAF_precompute_mult	crypto/ec/ec_mult.c	876	40	    numblocks = (bits + blocksize - 1) / blocksize; /* max. number of blocks	/	mdiv	O0
speed_main	apps/speed.c	4647	50	                   1.0 / sigs_results[k][0], 1.0 / sigs_results[k][1],	/	mdiv	O0|O1|O2|O3|Os
CRYPTO_cfb128_encrypt	crypto/modes/cfb128.c	97	33	                    n = (n + 1) % 16;	%	mdiv	O0
ossl_crypto_condvar_wait_timeout	crypto/thread/arch/thread_posix.c	197	62	            = (ossl_time2ticks(deadline) % OSSL_TIME_SECOND) / OSSL_TIME_NS;	/	mdiv	O0
CRYPTO_cfb128_1_encrypt	crypto/modes/cfb128.c	198	48	            ((d[0] & 0x80) >> (unsigned int)(n % 8));	%	mdiv	O0
rsa_ossl_public_encrypt	crypto/rsa/rsa_ossl.c	130	11	    num = BN_num_bytes(rsa->n);	B	mdiv	O0
rsa_multiprime_keygen	crypto/rsa/rsa_gen.c	321	16	    quo = bits / primes;	/	mdiv	O0|O3
s_client_main	apps/s_client.c	2970	21	                    openssl_fdset(fileno_stdin(), &readfds);	o	mdiv	O0|Oz
julian_to_date	crypto/o_time.c	193	26	    i = (4000 * (L + 1)) / 1461001;	/	mdiv	O0
print_bin	crypto/ec/eck_prn.c	247	16	        if ((i % 15) == 0) {	%	mdiv	O0
ossl_ifc_ffc_compute_security_bits	crypto/rsa/rsa_lib.c	376	20	                   / log_2);	/	mdiv	O0|Oz
ossl_sha3_init	crypto/sha/sha3.c	30	18	    size_t bsz = SHA3_BLOCKSIZE(bitlen);	S	mdiv	O0
determine_days	crypto/asn1/a_time.c	73	53	    tm->tm_wday = (d + (13 * m) / 5 + y + y / 4 + c / 4 + 5 * c + 6) % 7;	/	mdiv	O0
bnrand	crypto/bn/bn_rand.c	40	22	    bit = (bits - 1) % 8;	%	mdiv	O0
X509_NAME_oneline	crypto/x509/x509_obj.c	92	53	        if ((type == V_ASN1_GENERALSTRING) && ((num % 4) == 0)) {	%	mdiv	O0
txp_generate_stream_frames	ssl/quic/quic_txp.c	2390	54	            = (next_stream != NULL || chunks[(i + 1) % 2].valid);	%	mdiv	O0
WHIRLPOOL_BitUpdate	crypto/whrlpool/wp_dgst.c	121	47	                unsigned int byteoff = bitoff / 8;	/	mdiv	O0
contract	crypto/lhash/lhash.c	302	29	        lh->num_alloc_nodes /= 2;	/	mdiv	O0
ec_guess_cofactor	crypto/ec/ec_lib.c	328	70	    if (BN_num_bits(group->order) <= (BN_num_bits(group->field) + 1) / 2 + 3) {	/	mdiv	O0
CRYPTO_nistcts128_decrypt_block	crypto/modes/cts128.c	215	19	    residue = len % 16;	%	mdiv	O0
generate_ecdhkm	providers/implementations/kem/ec_kem.c	526	57	    size_t secretlen = (EC_GROUP_get_degree(group) + 7) / 8;	/	mdiv	O0|Oz
SRP_Calc_x_ex	crypto/srp/srp_lib.c	159	15	    if ((cs = OPENSSL_malloc(BN_num_bytes(s))) == NULL)	O	mdiv	O0|Oz
cts128_cs2_encrypt	providers/implementations/ciphers/cipher_cts.c	304	13	    if (len % CTS_BLOCK_SIZE == 0) {	%	mdiv	O0
ossl_bio_print_labeled_bignum	crypto/encode_decode/encoder_lib.c	722	9	    if (BN_num_bytes(bn) <= BN_BYTES) {	B	mdiv	O0
DES_string_to_2keys	crypto/des/str2key.c	69	32	                (*key2)[7 - (i % 8)] ^= j;	%	mdiv	O0
prepare_from_text	crypto/params_from_text.c	91	60	        if (p->data_type == OSSL_PARAM_INTEGER && buf_bits % 8 == 0)	%	mdiv	O0
fmtfp	crypto/bio/bio_print.c	713	52	        fconvert[fplace++] = "0123456789"[fracpart % 10];	%	mdiv	O0
n_fold	providers/implementations/kdfs/krb5kdf.c	302	19	        tmp = gcd % remainder;	%	mdiv	O0
sv_body	apps/s_server.c	2677	17	            if (FD_ISSET(fileno_stdin(), &readfds))	F	mdiv	O0|Oz
bit_set	ssl/quic/qlog.c	30	18	        p[bit_no / BITS_PER_WORD] |= mask;	/	mdiv	O0
DES_string_to_key	crypto/des/str2key.c	29	16	        if ((i % 16) < 8)	%	mdiv	O0
cts128_cs1_decrypt	providers/implementations/ciphers/cipher_cts.c	139	19	    residue = len % CTS_BLOCK_SIZE;	%	mdiv	O0
julian_to_date	crypto/o_time.c	189	22	    long n = (4 * L) / 146097;	/	mdiv	O0
CRYPTO_ccm128_encrypt_ccm64	crypto/modes/ccm128.c	350	39	            ctr64_add(ctx->nonce.c, n / 16);	/	mdiv	O0
multiblock_speed	apps/speed.c	5162	63	                fprintf(stdout, " %11.2fk", results[D_EVP][j] / 1e3);	/	mdiv	O0|O1|O2|O3|Os
tls_default_read_n	ssl/record/methods/tls_common.c	317	51	    align = SSL3_ALIGN_PAYLOAD - 1 - ((align - 1) % SSL3_ALIGN_PAYLOAD);	%	mdiv	O0
a2i_ASN1_STRING	crypto/asn1/f_string.c	96	11	        i /= 2;	/	mdiv	O0
ossl_aria_set_encrypt_key	crypto/aria/aria.c	546	27	    int Nr = (bits + 256) / 32;	/	mdiv	O0
CRYPTO_ocb128_encrypt	crypto/modes/ocb128.c	387	20	    last_len = len % 16;	%	mdiv	O0
ossl_ccm_initctx	providers/implementations/ciphers/ciphercommon_ccm.c	610	27	    ctx->keylen = keybits / 8;	/	mdiv	O0
s_client_main	apps/s_client.c	3042	25	                    && !FD_ISSET(SSL_get_fd(con), &readfds)	F	mdiv	O0|Oz
ssl3_cbc_digest_record	ssl/record/methods/ssl3_cbc.c	263	36	                                   / md_block_size) + 1);	/	mdiv	O0
OSSL_sleep	crypto/sleep.c	63	37	    ts.tv_nsec = (long int) (millis % 1000) * 1000000ul;	%	mdiv	O0
cfbr_encrypt_block	crypto/modes/cfb128.c	175	17	    num = nbits / 8;	/	mdiv	O0
DES_ede3_cfb_encrypt	crypto/des/cfb64ede.c	142	60	                        ovec[i] |= ovec[i + 1] >> (8 - num % 8);	%	mdiv	O0
CRYPTO_nistcts128_decrypt	crypto/modes/cts128.c	301	19	    residue = len % 16;	%	mdiv	O0
s_time_main	apps/s_time.c	319	33	         nConn > 0 ? bytes_read / nConn : 0l);	/	mdiv	O0|O1|O2|O3|Os|Oz
chacha_cipher	crypto/evp/e_chacha20_poly1305.c	82	30	    rem = (unsigned int)(len % CHACHA_BLK_SIZE);	%	mdiv	O0
probable_prime_dh	crypto/bn/bn_prime.c	601	38	        if (safe ? (mods[i] + delta) % primes[i] <= 1	%	mdiv	O0
determine_days	crypto/asn1/a_time.c	71	7	    y %= 100;	%	mdiv	O0
bn2binpad	crypto/bn/bn_lib.c	616	20	        l = a->d[i / BN_BYTES];	/	mdiv	O0
s_client_main	apps/s_client.c	2988	17	                openssl_fdset(SSL_get_fd(con), &writefds);	o	mdiv	O0|Oz
date_to_julian	crypto/o_time.c	181	41	    return (1461 * (y + 4800 + (m - 14) / 12)) / 4 +	/	mdiv	O0
CRYPTO_cfb128_encrypt	crypto/modes/cfb128.c	47	33	                    n = (n + 1) % 16;	%	mdiv	O0
CRYPTO_cfb128_1_encrypt	crypto/modes/cfb128.c	197	15	        out[n / 8] = (out[n / 8] & ~(1 << (unsigned int)(7 - n % 8))) |	/	mdiv	O0
chacha20_poly1305_cipher	crypto/evp/e_chacha20_poly1305.c	399	50	                if ((rem = (size_t)actx->len.aad % POLY1305_BLOCK_SIZE))	%	mdiv	O0
speed_main	apps/speed.c	3697	59	                eddsa_results[testnum][0] = (double)count / d;	/	mdiv	O0|O1|O2|O3|Os|Oz
make_addressPrefix	crypto/x509/v3_addr.c	409	59	    int bytelen = (prefixlen + 7) / 8, bitlen = prefixlen % 8;	%	mdiv	O0
b64_write	crypto/evp/bio_b64.c	424	24	                n -= n % 3;	%	mdiv	O0|Oz
bn_get_bits	crypto/bn/bn_exp.c	495	12	    bitpos %= BN_BITS2;	%	mdiv	O0
n_fold	providers/implementations/kdfs/krb5kdf.c	329	35	        tmp = (constant[(rbyte-1) % constant_len] << (8 - rshift)	%	mdiv	O0
speed_main	apps/speed.c	3492	55	            ecdsa_results[testnum][0] = (double)count / d;	/	mdiv	O0|O1|O2|O3|Os|Oz
ASN1_BIT_STRING_get_bit	crypto/asn1/a_bitstr.c	191	11	    w = n / 8;	/	mdiv	O0
