Flag	Count	Types	Levels	Archs	Projs	Versions
--x86-cmov-converter-force-all	1898	cjump	O1|O2|O3|Ofast|Os|Oz	X8664	bearssl|mbedtls|pqclean	18|20
--global-isel	1673	cjump	O1|O2|O3|Ofast|Os|Oz	RISCV	bearssl|pqclean	20
-fglobal-isel	603	cjump	O0|O1|O2|O3|Ofast|Os|Oz	RISCV|X8664	bearssl|mbedtls	18|20
--disable-select-optimize=false	435	cjump	O1|O2|O3|Ofast	AArch64|ARM|MIPS32|MIPS32EL|MIPS64|RISCV|X8664	bearssl|mbedtls|pqclean	18|20
--fast-isel	433	cjump	O1|O2|O3|Ofast|Os|Oz	X8664	bearssl|mbedtls|pqclean	14|18|20
--unroll-count=50	300	cjump	O2|O3|Ofast|Os|Oz	AArch64|ARM|RISCV|X8664	bearssl|mbedtls|pqclean	14|18|20
--unroll-count=100	295	cjump	O2|O3|Ofast|Os|Oz	AArch64|ARM|RISCV|X8664	bearssl|mbedtls|pqclean	14|18|20
--disable-loop-level-heuristics	182	cjump	O3|Ofast	AArch64	bearssl|pqclean	18|20
--rotation-max-header-size=0	122	cjump	O1|O2|O3|Ofast|Os	AArch64|MIPS64|RISCV|X8664	bearssl|mbedtls|pqclean	14|18|20
--unroll-force-peel-count=50	109	cjump	O2|O3|Ofast|Os|Oz	AArch64|RISCV|X8664	bearssl|mbedtls|pqclean	14|18|20
--disable-cgp	103	cjump	O1|O2|O3|Ofast|Os	RISCV|X8664	bearssl|pqclean	14|18
--enable-partial-inlining	96	cjump	O1|O2|O3	AArch64|ARM|MIPS32EL|MIPS64|RISCV|X8664	mbedtls|pqclean	14|18|20
-fapple-kext	86	cjump	O1|O2|O3|Ofast|Os|Oz	AArch64|RISCV|X8664	bearssl|mbedtls|pqclean	14|18|20
--simplifycfg-merge-cond-stores-aggressively	80	cjump	O1|O2|O3|Os|Oz	AArch64|ARM|MIPS32|MIPS32EL|MIPS64|RISCV|X8664	mbedtls	14|18|20
--disable-branch-fold	80	cjump	O1|O2|O3|Ofast|Os|Oz	RISCV	bearssl|mbedtls|pqclean	14|18|20
--partial-unrolling-threshold=100	80	cjump	O2|O3|Ofast	AArch64|RISCV|X8664	bearssl|mbedtls|pqclean	14|18|20
--disable-complex-addr-modes	78	cjump	O1|O3|Ofast	RISCV	bearssl	14|18
--replexitval=always	75	cjump	Os	AArch64|X8664	mbedtls|pqclean	14|18|20
--sroa-skip-mem2reg	70	cjump	O1|O2|O3|Os|Oz	AArch64|ARM|MIPS32|MIPS32EL|MIPS64|RISCV|X8664	mbedtls|pqclean	18|20
-fno-inline	66	cjump	O1|O2|O3|Ofast|Os|Oz	AArch64|MIPS64|RISCV|X8664	bearssl|mbedtls|pqclean	14|18|20
-fno-inline-functions	66	cjump	O1|O2|O3|Ofast|Os|Oz	AArch64|MIPS64|RISCV|X8664	bearssl|mbedtls|pqclean	14|18|20
--select-opti-loop-cycle-gain-threshold=0	64	cjump	O3|Ofast	AArch64	bearssl|pqclean	18|20
--ir-outliner	64	cjump	O1|O2|O3|Os	X8664	pqclean	18|20
--instcombine-max-iterations=0	62	cjump	O1|O2|O3|Ofast|Os|Oz	AArch64|RISCV|X8664	bearssl|mbedtls|pqclean	14
--prefer-predicate-over-epilogue=predicate-dont-vectorize	62	cjump	O2|O3|Ofast	AArch64|X8664	bearssl|mbedtls|pqclean	14|18|20
--prefer-predicate-over-epilogue=predicate-else-scalar-epilogue	62	cjump	O2|O3|Ofast	AArch64|X8664	bearssl|mbedtls|pqclean	14|18|20
--unroll-force-peel-count=100	59	cjump	O2|O3|Ofast|Os	RISCV|X8664	bearssl|mbedtls	14|18|20
--slp-threshold=-1	58	cjump	O2|O3|Os|Oz	X8664	bearssl|pqclean	14|18|20
-fms-compatibility	56	cjump	O1|O2|O3|Os	AArch64|ARM|RISCV|X8664	mbedtls	14|18|20
--unroll-count=0	55	cjump	O2|O3|Ofast|Os	RISCV|X8664	bearssl|mbedtls|pqclean	14|18|20
--mispredict-default-rate=0	54	cjump	O3|Ofast	AArch64	bearssl|pqclean	18|20
--enable-gvn-memdep=false	53	cjump	O2|O3|Ofast|Os|Oz	RISCV|X8664	bearssl|mbedtls|pqclean	14|18|20
--gvn-max-num-deps=0	53	cjump	O2|O3|Ofast|Os|Oz	RISCV|X8664	bearssl|mbedtls|pqclean	14|18|20
--disable-machine-sink	52	cjump	O1|O2|O3|Ofast|Os|Oz	RISCV	bearssl|mbedtls|pqclean	14|18|20
--unroll-runtime	52	cjump	O2|O3|Ofast	AArch64|RISCV	bearssl|mbedtls|pqclean	14|18|20
-fno-unroll-loops	51	cjump	O2|O3|Ofast|Os	RISCV|X8664	bearssl|mbedtls|pqclean	14|18|20
--aarch64-insert-extract-base-cost=0	51	cjump	O2|O3|Ofast|Os	AArch64	bearssl|mbedtls|pqclean	18|20
--memdep-block-number-limit=0	50	cjump	O2|O3|Ofast|Os|Oz	RISCV	bearssl|mbedtls	14|18|20
--partial-unrolling-threshold=50	49	cjump	O2|O3|Ofast	AArch64|RISCV	bearssl|mbedtls|pqclean	14|18|20
--enable-newgvn	47	cjump	O2|O3|Ofast|Os	RISCV|X8664	bearssl|mbedtls|pqclean	14|18|20
--enable-module-inliner	46	cjump	O1|O2|O3|Ofast|Os|Oz	RISCV|X8664	bearssl|mbedtls|pqclean	14|20
--unroll-full-max-count=0	45	cjump	O2|O3|Ofast|Os	RISCV|X8664	bearssl|pqclean	14|18|20
--unroll-threshold=0	43	cjump	O2|O3|Ofast	RISCV|X8664	bearssl|mbedtls|pqclean	14|18|20
--inline-instr-cost=0	43	cjump	O2|O3|Ofast	AArch64|ARM|MIPS32EL|MIPS64|RISCV|X8664	bearssl|mbedtls|pqclean	18|20
--enable-mem-prof	41	cjump	O1|O2|O3|Ofast|Os|Oz	RISCV|X8664	bearssl	14
--unroll-threshold=100	40	cjump	O2|O3|Ofast|Os|Oz	RISCV|X8664	bearssl|pqclean	14|18|20
--unroll-threshold=50	40	cjump	O2|O3|Ofast|Os|Oz	RISCV|X8664	bearssl|mbedtls|pqclean	14|18|20
